"Code","Identifier","Name_En","Name_Es","Name_Fr"
"0301.9190","1000","Live trout ""Salmo trutta, Oncorhynchus mykiss, O. clarki, O. aguabonita, O. gilae""","Las demás truchas vivas","Truites des espèces ''Salmo trutta, Oncorhynchus mykiss, O.clarki, O.aguabonita, O.gilae'', vivantes"
"0301.9200","1001","Live eels ""Anguilla spp.""","Anguilas (Anguilla spp.) vivas","Anguilles ''Anguilla spp.'', vivantes"
"0301.9210","1002","Live eels ""Anguilla spp."", of a length of less than 12 cm","Anguilas (Anguilla spp.) vivas, de longitud inferior a 12 cm","Anguilles ''Anguilla spp.'', vivantes, d'une longueur de moins de 12 cm"
"0301.9230","1003","Live eels ""Anguilla spp."", of a length of 12 cm or more but less than 20 cm","Anguilas (Anguilla spp.) vivas, de longitud igual o superior a 12 cm pero inferior a 20 cm","Anguilles ''Anguilla spp.'', vivantes, d'une longueur de 12 cm ou plus mais de moins de 20 cm"
"0301.9290","1004","Live eels ""Anguilla spp."", of a length of 20 cm or more","Anguilas (Anguilla spp.) vivas, de longitud igual o superior a 20 cm","Anguilles ''Anguilla spp.'', vivantes, d'une longueur de 20 cm ou plus"
"0301.9300","1005","Live carp","Carpas vivas","Carpes, vivantes"
"0301.9400","1006","Live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)","Atunes comunes o de aleta azul, del Atlántico y del Pacífico (Thunnus thynnus, Thunnus orientalis), vivos","Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis), vivants"
"0301.9410","1007","Live Atlantic bluefin tuna ""Thunnus thynnus""","Atunes comunes o de aleta azul del Atlántico (Thunnus thynnus) vivos","Thons rouges de l'Atlantique (Thunnus thynnus), vivants"
"0301.1100","1008","Live ornamental freshwater fish","Peces ornamentales de agua dulce","Poissons d'ornement, d'eau douce, vivants"
"0301.1900","1009","Live ornamental saltwater fish","Peces ornamentales de mar","Poissons d'ornement, de mer, vivants"
"0301.9100","1010","Live trout ""Salmo trutta, Oncorhynchus mykiss, O. clarki, O. aguabonita, O. gilae, O. apache and O. chrysogaster""","Truchas (Salmo trutta, Oncorhynchus mykiss, O.clarki, O.aguabonita, O.gilae, O. apache, O.chrysogaster) vivas","Truites [Salmo trutta, Oncorhynchus mykiss, O.clarki, O.aguabonita, O.gilae, O.apache, O.chrysogaster], vivantes"
"0301.9110","1011","Live trout ""Oncorhynchus apache and O. chrysogaster""","Truchas de las especies Oncorhynchus apache y Oncorhynchus chrysogaster vivas","Truites des espèces ''Oncorhynchus apache et Oncorhynchus chrysogaster'', vivantes"
"0301.9490","1012","Live Pacific bluefin tuna ""Thunnus orientalis""","Atunes comunes o de aleta azul del Pacífico (Thunnus orientalis)","Thons rouges du Pacifique (Thunnus orientalis), vivants"
"0301.9500","1013","Live Southern bluefin tunas ""Thunnus maccoyii""","Atunes del sur (Thunnus maccoyii) vivos","Thons rouges du sud ''Thunnus maccoyii'', vivants"
