Group,Member
4000,4
4001,72
4002,72
4003,72
4004,72
4005,1201
4006,1409
4007,1409
4008,1263
4009,1264
4010,4
4011,4
4012,1409
4013,1410
4014,5
4015,1408
4016,1407
4017,1411
4018,18
4019,18
4020,18
4021,18
4022,16
4023,15
4024,19
4025,23
4026,22
4027,20
4028,21
4029,1006
4030,1013
4031,1015
4032,26
4033,1014
4034,26
4035,114
4036,114
4037,114
4038,115
4039,115
4040,115
4041,112
4042,112
4043,112
4044,116
4045,116
4046,116
4047,113
4048,113
4049,113
4050,113
4051,113
4052,1223
4053,1223
4054,1223
4055,118
4056,118
4057,118
4058,61
4059,65
4060,1213
4061,62
4062,63
4063,64
4064,121
4065,56
4066,56
4067,56
4068,56
4069,1424
4070,117
4071,73
4072,43
4073,73
4074,46
4075,47
4076,1023
4077,1022
4078,1414
4079,1023
4080,1415
4081,2
4082,1621
4083,50
4084,1413
4085,48
4086,1779
4087,89
4088,50
4089,8
4090,9
4091,7
4092,12
4093,1620
4094,122
4095,1202
4096,1426
4097,1605
4098,122
4099,1164
4100,1207
4101,1035
4102,1035
4103,1035
4104,52
4105,52
4106,1416
4107,52
4108,1295
4109,10
4110,1419
4111,1419
4112,53
4113,1051
4114,1420
4115,1058
4116,1048
4117,124
4118,127
4119,1299
4120,1225
4121,1226
4122,134
4123,150
4124,150
4125,150
4126,150
4127,152
4128,1210
4129,129
4130,128
4131,132
4132,1625
4133,156
4134,155
4135,153
4136,154
4137,1063
4138,1070
4139,1072
4140,159
4141,92
4142,92
4143,158
4144,159
4145,199
4146,199
4147,199
4148,202
4149,202
4150,202
4151,204
4152,204
4153,202
4154,197
4155,197
4156,197
4157,205
4158,205
4159,205
4160,198
4161,198
4162,198
4163,198
4164,198
4165,1224
4166,1224
4167,1224
4168,208
4169,208
4170,208
4171,191
4172,1214
4173,193
4174,192
4175,194
4176,216
4177,216
4178,1437
4179,186
4180,186
4181,186
4182,186
4183,1436
4184,207
4185,163
4186,161
4187,1427
4188,162
4189,164
4190,165
4191,1079
4192,1078
4193,1076
4194,1429
4195,1079
4196,1430
4197,166
4198,1626
4199,1073
4200,1074
4201,169
4202,1428
4203,167
4204,1785
4205,1080
4206,94
4207,169
4208,217
4209,1203
4210,1438
4211,1604
4212,217
4213,218
4214,1208
4215,170
4216,170
4217,170
4218,1299
4219,131
4220,1432
4221,1432
4222,180
4223,1100
4224,1431
4225,195
4226,173
4227,1786
4228,95
4229,1107
4230,175
4231,220
4232,223
4233,222
4234,223
4235,1308
4236,1211
4237,899
4238,1109
4239,1627
4240,967
4241,1259
4242,1259
4243,1259
4244,1259
4245,230
4246,238
4247,233
4248,235
4249,238
4250,1169
4251,1439
4252,1308
4253,226
4254,251
4255,280
4256,1631
4257,1634
4258,1640
4259,1572
4260,1574
4261,1444
4262,1315
4263,1228
4264,1229
4265,1212
4266,260
4267,1129
4268,1649
4269,273
4270,272
4271,273
4272,275
4273,290
4274,1145
4275,1144
4276,1142
4277,1145
4278,1446
4279,291
4280,294
4281,273
4282,292
4283,1146
4284,274
4285,294
4286,109
4287,1260
4288,1260
4289,1260
4290,1260
4291,270
4292,266
4293,267
4294,1137
4295,270
4296,1171
4297,1209
4298,302
4299,305
4300,1323
4301,261
4302,296
4303,1448
4304,305
4305,306
4306,306
4307,1205
4308,1603
4309,307
4310,1447
4311,308
4312,1353
4313,1561
4314,1654
4315,81
4316,1654
4317,1258
4318,81
4319,1258
4320,1776
4321,81
4322,1453
4323,1452
4324,1344
4325,1270
4326,1345
4327,1271
4328,1346
4329,1776
4330,1231
