"Group","Member"
"1","4"
"2","72"
"3","72"
"4","72"
"5","72"
"6","1201"
"7","1409"
"8","1409"
"9","1263"
"10","1264"
"11","4"
"12","4"
"13","1409"
"14","1410"
"15","5"
"16","1408"
"17","1407"
"18","1411"
"19","18"
"20","18"
"21","18"
"22","18"
"23","16"
"24","15"
"25","19"
"26","23"
"27","22"
"28","20"
"29","21"
"30","1006"
"31","1013"
"32","1015"
"33","26"
"34","1014"
"35","26"
"36","114"
"37","114"
"38","114"
"39","115"
"40","115"
"41","115"
"42","112"
"43","112"
"44","112"
"45","116"
"46","116"
"47","116"
"48","113"
"49","113"
"50","113"
"51","113"
"52","113"
"53","1223"
"54","1223"
"55","1223"
"56","118"
"57","118"
"58","118"
"59","61"
"60","65"
"61","1213"
"62","62"
"63","63"
"64","64"
"65","121"
"66","56"
"67","56"
"68","56"
"69","56"
"70","1424"
"71","117"
"72","1790"
"73","1811"
"74","1812"
"75","1790"
"76","73"
"77","43"
"78","73"
"79","46"
"80","47"
"81","1023"
"82","1022"
"83","1414"
"84","1023"
"85","1415"
"86","2"
"87","1621"
"88","50"
"89","1413"
"90","48"
"91","1779"
"92","89"
"93","50"
"94","8"
"95","9"
"96","7"
"97","12"
"98","1620"
"99","122"
"100","1814"
"101","1605"
"102","1815"
"103","1816"
"104","1164"
"105","1207"
"106","1035"
"107","1035"
"108","1035"
"109","52"
"110","52"
"111","1416"
"112","52"
"113","1295"
"114","10"
"115","1419"
"116","1419"
"117","53"
"118","1051"
"119","1420"
"120","1058"
"121","1048"
"122","124"
"123","127"
"124","1624"
"125","1623"
"126","1299"
"127","1225"
"128","1226"
"129","134"
"130","150"
"131","150"
"132","150"
"133","150"
"134","152"
"135","1210"
"136","129"
"137","128"
"138","132"
"139","1625"
"140","156"
"141","155"
"142","153"
"143","154"
"144","1063"
"145","1070"
"146","1072"
"147","159"
"148","92"
"149","92"
"150","158"
"151","159"
"152","199"
"153","199"
"154","199"
"155","202"
"156","202"
"157","202"
"158","197"
"159","197"
"160","197"
"161","205"
"162","205"
"163","205"
"164","198"
"165","198"
"166","198"
"167","198"
"168","198"
"169","1224"
"170","1224"
"171","1224"
"172","208"
"173","208"
"174","208"
"175","191"
"176","1214"
"177","193"
"178","192"
"179","194"
"180","216"
"181","216"
"182","1437"
"183","186"
"184","186"
"185","186"
"186","186"
"187","1436"
"188","207"
"189","1791"
"190","195"
"191","1818"
"192","1819"
"193","1791"
"194","163"
"195","161"
"196","1427"
"197","162"
"198","164"
"199","165"
"200","1079"
"201","1078"
"202","1076"
"203","1429"
"204","1079"
"205","1430"
"206","166"
"207","1626"
"208","1073"
"209","1074"
"210","169"
"211","1428"
"212","167"
"213","1785"
"214","1080"
"215","94"
"216","169"
"217","217"
"218","1820"
"219","1604"
"220","1821"
"221","217"
"222","218"
"223","1208"
"224","170"
"225","170"
"226","170"
"227","1299"
"228","131"
"229","1432"
"230","1432"
"231","180"
"232","1100"
"233","1431"
"234","173"
"235","1786"
"236","95"
"237","1107"
"238","175"
"239","220"
"240","223"
"241","222"
"242","223"
"243","1265"
"244","884"
"245","1211"
"246","899"
"247","1109"
"248","1627"
"249","967"
"250","1259"
"251","1259"
"252","1259"
"253","1259"
"254","230"
"255","238"
"256","233"
"257","235"
"258","238"
"259","1169"
"260","1439"
"261","258"
"262","1822"
"263","1823"
"264","1824"
"265","258"
"266","1792"
"267","1308"
"268","226"
"269","251"
"270","280"
"271","1631"
"272","1634"
"273","1640"
"274","1572"
"275","1574"
"276","1793"
"277","1825"
"278","1826"
"279","1827"
"280","1793"
"281","1794"
"282","1444"
"283","1315"
"284","1228"
"285","1229"
"286","1212"
"287","260"
"288","1129"
"289","1649"
"290","273"
"291","272"
"292","273"
"293","275"
"294","290"
"295","1145"
"296","1144"
"297","1142"
"298","1145"
"299","1446"
"300","291"
"301","294"
"302","273"
"303","292"
"304","1146"
"305","274"
"306","294"
"307","109"
"308","1260"
"309","1260"
"310","1260"
"311","1260"
"312","270"
"313","266"
"314","267"
"315","1137"
"316","270"
"317","1171"
"318","1209"
"319","302"
"320","305"
"321","1880"
"322","1205"
"323","1603"
"324","1829"
"325","307"
"326","1810"
"327","1323"
"328","261"
"329","296"
"330","1448"
"331","305"
"332","306"
"333","306"
"334","1447"
"335","308"
"336","1353"
"337","1561"
"338","1654"
"339","81"
"340","1654"
"341","1258"
"342","81"
"343","1258"
"344","1776"
"345","81"
"346","1453"
"347","1452"
"348","1344"
"349","1270"
"350","1345"
"351","1271"
"352","1346"
"353","1776"
"354","1661"
"355","1830"
"356","1831"
"357","1832"
"358","1661"
"359","1795"
"360","1231"
"361","81"
"362","1341"
"363","1272"
"364","1269"
"365","1450"
"366","1455"
"367","1274"
"368","1457"
"369","393"
"370","452"
"371","1675"
"372","1385"
"373","408"
"374","408"
"375","1385"
"376","1748"
"377","1577"
"378","406"
"379","1748"
"380","454"
"381","461"
"382","57"
"383","1679"
"384","453"
"385","1679"
"386","1469"
"387","457"
"388","456"
"389","465"
"390","1469"
"391","395"
"392","394"
"393","357"
"394","1796"
"395","1835"
"396","1834"
"397","1835"
"398","1797"
"399","1578"
"400","1734"
"401","1797"
"402","1744"
"403","1463"
"404","1744"
"405","970"
"406","1262"
"407","1261"
"408","1671"
"409","445"
"410","1262"
"411","368"
"412","401"
"413","445"
"414","451"
"415","885"
"416","1678"
"417","1481"
"418","1480"
"419","1481"
"420","1197"
"421","1194"
"422","1196"
"423","508"
"424","508"
"425","1594"
"426","508"
"427","1193"
"428","1683"
"429","849"
"430","1391"
"431","1684"
"432","1482"
"433","1392"
"434","1877"
"435","1878"
"436","1684"
"437","540"
"438","1185"
"439","540"
"440","1477"
"441","1180"
"442","1800"
"443","1178"
"444","1179"
"445","487"
"446","1838"
"447","487"
"448","1175"
"449","1802"
"450","495"
"451","1839"
"452","494"
"453","496"
"454","1840"
"455","1841"
"456","1842"
"457","1803"
"458","485"
"459","1803"
"460","1805"
"461","1806"
"462","1844"
"463","1845"
"464","541"
"465","1843"
"466","541"
"467","1804"
"468","1846"
"469","1847"
"470","1848"
"471","1849"
"472","1850"
"473","542"
"474","543"
"475","1851"
"476","543"
"477","534"
"478","548"
"479","551"
"480","583"
"481","573"
"482","1495"
"483","585"
"484","1858"
"485","585"
"486","1404"
"487","552"
"488","1493"
"489","1494"
"490","1855"
"491","1856"
"492","1857"
"493","893"
"494","1869"
"495","1870"
"496","1395"
"497","556"
"498","558"
"499","560"
"500","1854"
"501","1395"
"502","1397"
"503","1860"
"504","1861"
"505","1862"
"506","590"
"507","590"
"508","590"
"509","590"
"510","1867"
"511","591"
"512","1868"
"513","1397"
"514","1398"
"515","1875"
"516","1871"
"517","1872"
"518","1873"
"519","1398"
"520","561"
"521","594"
"522","857"
"523","1687"
"524","1809"
"525","1859"
"526","1809"
"527","1599"
"528","546"
"529","1606"
"530","580"
"531","1607"
"532","1268"
"533","1608"
"534","579"
"535","596"
"536","602"
"537","1750"
