"AREA","en","es","fr","ORIGINAL_CODE","PARENT"
"27_3_d_28_1","Atlantic, Northeast / 27.3.d.28.1","Atlántico, nordeste / 27.3.d.28.1","Atlantique, nord-est / 27.3.d.28.1","27.3.d.28.1","27_3_d_28"
"27_3_d_28_2","Atlantic, Northeast / 27.3.d.28.2","Atlántico, nordeste / 27.3.d.28.2","Atlantique, nord-est / 27.3.d.28.2","27.3.d.28.2","27_3_d_28"
"27_5_b_1_a","Atlantic, Northeast / 27.5.b.1.a","Atlántico, nordeste / 27.5.b.1.a","Atlantique, nord-est / 27.5.b.1.a","27.5.b.1.a","27_5_b_1"
"27_5_b_1_b","Atlantic, Northeast / 27.5.b.1.b","Atlántico, nordeste / 27.5.b.1.b","Atlantique, nord-est / 27.5.b.1.b","27.5.b.1.b","27_5_b_1"
"21_5_Z_c","Atlantic, Northwest / 21.5.Z.c","Atl NW / 21.5.Z.c","Atl NW / 21.5.Z.c","21.5.Z.c","21_5_Z_e"
"21_5_Z_u","Atlantic, Northwest / 21.5.Z.u","Atl NW / 21.5.Z.u","Atl NW / 21.5.Z.u","21.5.Z.u","21_5_Z_e"
"27_3_b_23","Atlantic, Northeast / 27.3.b.23","Atlántico, nordeste / 27.3.b.23","Atlantique, nord-est / 27.3.b.23","27.3.b.23","27_3_bc"
"27_2_a_1","Atlantic, Northeast / 27.2.a.1","Atlántico, nordeste / 27.2.a.1","Atlantique, nord-est / 27.2.a.1","27.2.a.1","27_2_a"
"27_2_a_2","Atlantic, Northeast / 27.2.a.2","Atlántico, nordeste / 27.2.a.2","Atlantique, nord-est / 27.2.a.2","27.2.a.2","27_2_a"
"27_2_b_1","Atlantic, Northeast / 27.2.b.1","Atlántico, nordeste / 27.2.b.1","Atlantique, nord-est / 27.2.b.1","27.2.b.1","27_2_b"
"27_2_b_2","Atlantic, Northeast / 27.2.b.2","Atlántico, nordeste / 27.2.b.2","Atlantique, nord-est / 27.2.b.2","27.2.b.2","27_2_b"
"27_5_a_1","Atlantic, Northeast / 27.5.a.1","Atlántico, nordeste / 27.5.a.1","Atlantique, nord-est / 27.5.a.1","27.5.a.1","27_5_a"
"27_5_a_2","Atlantic, Northeast / 27.5.a.2","Atlántico, nordeste / 27.5.a.2","Atlantique, nord-est / 27.5.a.2","27.5.a.2","27_5_a"
"27_6_b_1","Atlantic, Northeast / 27.6.b.1","Atlántico, nordeste / 27.6.b.1","Atlantique, nord-est / 27.6.b.1","27.6.b.1","27_6_b"
"27_6_b_2","Atlantic, Northeast / 27.6.b.2","Atlántico, nordeste / 27.6.b.2","Atlantique, nord-est / 27.6.b.2","27.6.b.2","27_6_b"
"27_7_c_1","Atlantic, Northeast / 27.7.c.1","Atlántico, nordeste / 27.7.c.1","Atlantique, nord-est / 27.7.c.1","27.7.c.1","27_7_c"
"27_7_c_2","Atlantic, Northeast / 27.7.c.2","Atlántico, nordeste / 27.7.c.2","Atlantique, nord-est / 27.7.c.2","27.7.c.2","27_7_c"
"27_7_j_1","Atlantic, Northeast / 27.7.j.1","Atlántico, nordeste / 27.7.j.1","Atlantique, nord-est / 27.7.j.1","27.7.j.1","27_7_j"
"27_7_j_2","Atlantic, Northeast / 27.7.j.2","Atlántico, nordeste / 27.7.j.2","Atlantique, nord-est / 27.7.j.2","27.7.j.2","27_7_j"
"27_7_k_1","Atlantic, Northeast / 27.7.k.1","Atlántico, nordeste / 27.7.k.1","Atlantique, nord-est / 27.7.k.1","27.7.k.1","27_7_k"
"27_7_k_2","Atlantic, Northeast / 27.7.k.2","Atlántico, nordeste / 27.7.k.2","Atlantique, nord-est / 27.7.k.2","27.7.k.2","27_7_k"
"27_8_d_1","Atlantic, Northeast / 27.8.d.1","Atlántico, nordeste / 27.8.d.1","Atlantique, nord-est / 27.8.d.1","27.8.d.1","27_8_d"
"27_8_d_2","Atlantic, Northeast / 27.8.d.2","Atlántico, nordeste / 27.8.d.2","Atlantique, nord-est / 27.8.d.2","27.8.d.2","27_8_d"
"27_8_e_1","Atlantic, Northeast / 27.8.e.1","Atlántico, nordeste / 27.8.e.1","Atlantique, nord-est / 27.8.e.1","27.8.e.1","27_8_e"
"27_8_e_2","Atlantic, Northeast / 27.8.e.2","Atlántico, nordeste / 27.8.e.2","Atlantique, nord-est / 27.8.e.2","27.8.e.2","27_8_e"
"27_9_b_1","Atlantic, Northeast / 27.9.b.1","Atlántico, nordeste / 27.9.b.1","Atlantique, nord-est / 27.9.b.1","27.9.b.1","27_9_b"
"27_9_b_2","Atlantic, Northeast / 27.9.b.2","Atlántico, nordeste / 27.9.b.2","Atlantique, nord-est / 27.9.b.2","27.9.b.2","27_9_b"
