ALPHA3CODE,FULL_NAME_E,FULL_NAME_F,FULL_NAME_S,SCIENTIFIC_NAME,AUTHOR
KDF,American slipper-limpet,Crepidule,Seba,Crepidula fornicata,(Linnaeus 1758)
TXF,,,,Tellina fabula,(Gronovius 1781)
EUG,Northern right whale,Baleine de Biscaye,Ballena franca,Eubalaena glacialis,(Muller 1776)
CPM,Pygmy right whale,Baleine pygmée,Ballena franca pigmea,Caperea marginata,(Gray 1846)
GRW,Gray whale,Baleine grise,Ballena gris,Eschrichtius robustus,(Lilljeborg 1861)
PYW,Pygmy sperm whale,Cachalot pygmée,Cachalote pigmeo,Kogia breviceps,(de Blainville 1838)
DWW,Dwarf sperm whale,Cachalot nain,Cachalote enano,Kogia sima,Owen 1866
JOD,John dory,Saint Pierre,Pez de San Pedro,Zeus faber,Linnaeus 1758
BOR,Boarfishes nei,Sangliers nca,Ochavos nep,Caproidae,
BOE,Black oreo,,,Allocyttus niger,"James, Inada & Nakamura 1988"
ALL,Warty dory,,,Allocyttus verrucosus,(Gilchrist 1906)
BAR,Barracudas nei,Bécunes nca,Picudas nep,Sphyraena spp,
ALF,Alfonsinos nei,Béryx nca,Alfonsinos nep,Beryx spp,
ZNE,Mirror dory,,,Zenopsis nebulosus,(Temminck & Schlegel 1845)
BAW,Arnoux's beaked whale,Béradien d'Arnoux,Ballenato de Arnoux,Berardius arnuxii,Duvernoy 1851
SRW,Southern bottlenose whale,Hyperoodon austral,Ballena nariz de botella sur,Hyperoodon planifrons,Flower 1882
YQY,Lynx cowrie,Porcelaine lynx,,Cyprea lynx,Linnaeus 1758
YQM,Reticulated cowrie,Porcelaine réticulée,,Cyprea maculifera,Schilder 1932
YQO,Money cowrie,Porcelaine monnaie,,Cyprea moneta,Linnaeus 1758
YQV,Walled cowrie,Porcelaine anneau d'or Tahiti,,Cyprea obvelata,Lamarck 1810
YQX,Onyx cowrie,Porcelaine onyx,,Cyprea onyx,Linnaeus 1758
YQH,Schilders' cowrie,Porcelaine de Schilder,,Cyprea schilderorum,Iredale 1939
YPZ,Jester cowrie,Porcelaine bouffon,,Cyprea scurra,Gmelin 1791
YQN,Tummy cowrie,Porcelaine gésier,,Cyprea ventriculus,Lamarck 1810
OVO,Common egg cowrie,Ovule commune,,Ovula ovum,(Linnaeus 1758)
TUN,Tunas nei,Thonidés nca,Atunes nep,Thunnini,
BON,Atlantic bonito,Bonite à dos rayé,Bonito del Atlántico,Sarda sarda,(Bloch 1793)
XKX,Plesionika shrimps nei,Crevettes Plesionika nca,Camarones Plesionika nep,Plesionika spp,
