"ISSCAAP_GROUP","TAXONOMIC_CODE","ALPHA_3_CODE","SCIENTIFIC_NAME","NAME_EN","NAME_FR","NAME_ES","NAME_AR","NAME_ZH","NAME_RU","AUTHOR","FAMILY","ORDER_OR_HIGHER_TAXA","HAS_FISHSTAT_DATA"
"11","140001101001","GXM","Gyrinocheilus aymonieri","Siamese algae-eater",,,,,,"(Tirant 1883)","GYRINOCHEILIDAE","CYPRINIFORMES","NO"
"11","140002101001","CDO","Carpiodes carpio","River carpsucker",,,,,,"(Rafinesque 1820)","CATOSTOMIDAE","CYPRINIFORMES","YES"
"11","140002101002","FMP","Carpiodes cyprinus","Quillback",,,,,,"(Lesueur 1817)","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002101801","ATC","Catostomus catostomus","Longnose sucker",,,,,,"(Forster 1773)","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002101802","ATO","Catostomus commersonii","White sucker",,,,,,"(Lacépède 1803)","CATOSTOMIDAE","CYPRINIFORMES","YES"
"11","140002101803","ATS","Catostomus latipinnis","Flannelmouth sucker",,,,,,"Baird & Girard 1853","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002101804","ATU","Catostomus macrocheilus","Largescale sucker",,,,,,"Girard 1856","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002101805","ATE","Catostomus tahoensis","Tahoe sucker",,,,,,"Gill & Jordan 1878","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002102201","ATJ","Chasmistes cujus","Cui-ui",,,,,,"Cope 1883","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002102601","YCL","Cycleptus elongatus","Blue sucker",,,,,,"(Lesueur 1817)","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002103001","DEU","Deltistes luxatus","Lost River sucker",,,,,,"(Cope 1879)","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002103401","ERU","Erimyzon sucetta","Lake chubsucker",,,,,,"(Lacépède 1803)","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002103801","HYN","Hypentelium nigricans","Northern hog sucker",,,,,,"(Lesueur 1817)","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002104201","BUB","Ictiobus cyprinellus","Bigmouth buffalo","Poisson-taureau",,,"大口胭脂鱼",,"(Valenciennes 1844)","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","1400021042XX","BUF","Ictiobus spp","Buffalofishes NEI","Poissons-taureaux NCA",,,,"Буффало",,"CATOSTOMIDAE","CYPRINIFORMES","YES"
"11","140002104601","MIM","Minytrema melanops","Spotted sucker",,,,,,"(Rafinesque 1820)","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002105001","MOG","Moxostoma congestum","Gray redhorse",,,,,,"(Baird & Girard 1854)","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002105002","MOE","Moxostoma erythrurum","Golden redhorse",,,,,,"(Rafinesque 1818)","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002105003","LAL","Moxostoma lacerum","Harelip sucker",,,,,,"(Jordan & Brayton 1877)","CATOSTOMIDAE","CYPRINIFORMES","NO"
"11","140002105004","MOM","Moxostoma macrolepidotum","Shorthead redhorse",,,,,,"(Lesueur 1817)","CATOSTOMIDAE","CYPRINIFORMES","YES"
