"Acronym","EBX_Attribute","FishStat_Concept","Identifier","IsCode","IsName","Sort"
"NAME","1","1","1","false","true","101"
"EBXID","2","1","2","true","false","107"
"ISO_2_CODE","3","1","3","false","false","104"
"OFFICIAL_NAME","4","1","4","false","false","108"
"UN_CODE","5","1","5","true","false","102"
"ISO_3_CODE","6","1","6","false","false","103"
"ALPHA12_CODE","7","1","7","false","false","105"
"NAME","10","3","10","false","true","101"
"EBXID","11","3","11","true","false","107"
"UN_CODE","12","3","12","true","false","102"
"NAME","15","4","15","false","true","101"
"EBXID","16","4","16","true","false","107"
"UN_CODE","17","4","17","true","false","102"
"NAME","20","7","20","false","true","101"
"EBXID","21","7","21","true","false","107"
"DESCRIPTION","22","7","22","false","false","102"
"NAME","25","5","25","false","true","101"
"EBXID","26","5","26","true","false","107"
"ACRONYM","28","5","28","false","false","103"
"NAME","30","6","30","false","true","101"
"EBXID","31","6","31","true","false","107"
"SHORT_NAME","32","6","32","false","false","101"
"NAME","85","85","35","false","true","101"
"EBXID","86","85","36","true","false","107"
"NAME","431","8","40","false","true","101"
"CODE","432","8","41","true","false","102"
"EBXID","443","8","42","true","false","107"
"CODE","422","9","45","true","false","102"
"NAME","421","9","46","false","true","101"
"EBXID","423","9","47","true","false","107"
"NAME","441","10","50","false","true","101"
"CODE","442","10","51","true","false","102"
"EBXID","443","10","52","true","false","107"
"NAME","481","11","55","false","true","101"
"CODE","482","11","56","true","false","102"
"EBXID","483","11","57","true","false","107"
"NAME","451","12","60","false","true","101"
"CODE","452","12","61","true","false","102"
"EBXID","453","12","62","true","false","107"
"NAME","461","14","65","false","true","101"
"CODE","462","14","66","true","false","102"
"EBXID","463","14","67","true","false","107"
"NAME","411","15","70","false","true","101"
"CODE","412","15","71","true","false","102"
"EBXID","413","15","72","true","false","107"
"NAME","81","38","80","false","true","204"
"EBXID","80","38","81","true","false","107"
"NAME","100","2","100","false","true","204"
"ALPHA_3_CODE","101","2","101","true","false","202"
"EBXID","102","2","102","true","false","207"
"AUTHOR","103","2","103","false","false","208"
"SCIENTIFIC_NAME","104","2","104","false","false","201"
"TAXONOMIC_CODE","105","2","105","true","false","203"
"NAME","110","23","110","false","true","101"
"CODE","111","23","111","true","false","102"
"EBXID","112","23","112","true","false","207"
"NAME","115","24","115","false","true","101"
"CODE","116","24","116","true","false","102"
"EBXID","117","24","117","true","false","207"
"SCIENTIFIC_NAME","120","25","120","false","true","101"
"TAXONOMIC_CODE","121","25","121","true","false","102"
"EBXID","122","25","122","true","false","207"
"SCIENTIFIC_NAME","125","26","125","false","true","101"
"TAXONOMIC_CODE","126","26","126","true","false","102"
"EBXID","127","26","127","true","false","207"
"SCIENTIFIC_NAME","130","27","130","false","true","101"
"TAXONOMIC_CODE","131","27","131","true","false","102"
"EBXID","132","27","132","true","false","207"
"NAME","135","29","135","false","true","101"
"GROUP_CODE","136","29","136","true","false","102"
"EBXID","137","29","137","true","false","107"
"NAME","140","22","140","false","true","101"
"CODE","141","22","141","true","false","102"
"EBXID","142","22","142","true","false","207"
"NAME","150","30","150","false","true","101"
"ALPHA_2_CODE","151","30","151","true","false","102"
"EBXID","152","30","152","true","false","107"
"NAME","160","31","160","false","true","101"
"CODE","161","31","161","true","false","102"
"EBXID","162","31","162","true","false","107"
"NAME","165","32","165","false","true","101"
"CODE","166","32","166","true","false","102"
"EBXID","167","32","167","true","false","107"
"NAME","170","37","170","false","true","101"
"CODE","171","37","171","true","false","102"
"EBXID","173","37","173","true","false","107"
"NAME","175","36","175","false","true","101"
"CODE","176","36","176","true","false","102"
"EBXID","177","36","177","true","false","107"
"NAME","180","35","180","false","true","101"
"CODE","181","35","181","true","false","102"
"EBXID","182","35","182","true","false","107"
"NAME","190","40","190","false","true","101"
"ALPHA_CODE","191","40","191","true","false","102"
"EBXID","192","40","192","true","false","107"
"NAME","200","33","200","false","true","101"
"ALPHA_CODE","201","33","201","true","false","102"
"EBXID","202","33","202","true","false","107"
"NAME","205","17","205","false","true","101"
"FAO_CODE","206","17","206","true","false","102"
"EBXID","207","17","207","true","false","107"
"NAME","1018","52","210","false","true","101"
"CODE","1017","52","211","true","false","102"
"EBXID","1016","52","212","true","false","107"
"NAME","215","19","215","false","true","101"
"CODE","216","19","216","true","false","102"
"EBXID","217","19","217","true","false","107"
"NAME","220","18","220","false","true","101"
"CODE","221","18","221","true","false","102"
"EBXID","222","18","222","true","false","107"
"NAME","225","55","225","false","true","101"
"CODE","226","55","226","true","false","102"
"EBXID","227","55","227","true","false","107"
"NAME","230","20","230","false","true","101"
"CODE","231","20","231","true","false","102"
"EBXID","232","20","232","true","false","107"
"NAME","235","56","235","false","true","101"
