"Acronym","Description_En","Description_Es","Description_Fr","EBXCodelist","Identifier","NameColumn","Name_En","Name_Es","Name_Fr","Notes","Sort"
"COUNTRY","Country or territory","País o territorio","Pays ou territoire","200","1","","Country","País","Pays","20","101"
"SPECIES","ASFIS list of species for fishery statistics purposes","La lista ASFIS de especies para los fines de estadísticas de pesca","La liste ASFIS des espèces pour les besoins des statistiques des pêches","301","2","Scientific_Name+Alpha3_Code","ASFIS species","Especie ASFIS","Espèce ASFIS","","401"
"CONTINENT","Continent","Continente","Continent","201","3","","Continent","Continente","Continent","","102"
"GEO_REGION","Geographical region","Región geográfica","Région géographique","208","4","","Geographical region","Región geográfica","Région géographique","","103"
"ECON_CLASS","World Bank -  Country classification by income","Banco Mundial - Clasificación de los países según el nivel de ingresos","Banque Mondiale - Classification des pays en fonction de leur revenu","202","5","","World Bank income classification","Banco Mundial - clas. según el nivel de ingresos","Banque Mondiale - class. en fonction du revenu","","105"
"ECON_GROUP","Economic group","Grupo económico","Groupe économique","203","6","","Economic group","Grupo económico","Groupe économique","","106"
"COMMISSION","Fishery commission","Comisión de Pesca","Commission de pêche","213","7","","Fishery commission","Comisión de Pesca","Commission de pêche","","108"
"AREA","FAO major fishing area. For statistical purposes, 27 major fishing areas have been internationally established to date. These comprise 8 major inland fishing areas covering the inland waters of the continents and 19 major marine fishing areas covering the waters of the Atlantic, Indian, Pacific and Southern Oceans, with their adjacent seas.","Área principal de pesca FAO","Zone principale de pêche FAO","403","8","","FAO major fishing area","Área principal de pesca FAO","Zone principale de pêche FAO","","201"
"INLAND_MARINE","Inland/Marine areas","Áreas continentales/marítimas","Zones continentales/maritimes","402","9","","Inland/Marine areas","Áreas continentales/marítimas","Zones continentales/maritimes","","202"
"OCEAN","Ocean","Océano","Océan","404","10","","Ocean","Océano","Océan","","203"
"SUB_OCEAN","Oceanic area","Área oceánica","Zone océanique","408","11","","Oceanic area","Área oceánica","Zone océanique","","204"
"FA_REGION","Fishing area region","Región de áreas de pesca","Région des zones de pêche","405","12","","Fishing area region","Región de áreas de pesca","Région des zones de pêche","","205"
"SUB_AREA","FAO subarea","Subárea FAO","Sous-zone FAO","406","14","","FAO subarea","Subárea FAO","Sous-zone FAO","","210"
"DIVISION","FAO division","División FAO","Division FAO","401","15","","FAO division","División FAO","Division FAO","","211"
"COMMODITY","Commodity","Producto","Produit","113","17","","Commodity","Producto","Produit","","300"
"COMMODITY_MAJOR2","FAO major group","Grupo principal FAO","Groupe principal FAO","107","18","","FAO major group","Grupo principal FAO","Groupe principal FAO","","302"
"COMMODITY_YEARBOOK","FAO Yearbook table","Tabla de anuario FAO","Tableau de l'annuaire FAO","115","19","","FAO Yearbook table","Tabla de anuario FAO","Tableau de l'annuaire FAO","","305"
"COMMODITY_SITC","United Nations Standard International Trade Classification (Revision 4)","Clasificación Uniforme para el Comercio Internacional de las Naciones Unidas (Revisión 4)","Classification type pour le commerce international des Nations Unies (Révision 4)","114","20","","SITC 4","CUCI 4","CTCI 4","","306"
"YEARBOOK_GROUP","Yearbook/SOFIA selection","Selección de Anuario/SOFIA","Sélection de l'Annuaire/SOFIA","308","22","","Yearbook/SOFIA selection","Selección de Anuario/SOFIA","Sélection de l'Annuaire/SOFIA","","400"
"ISSCAAP_DIVISION","ISSCAAP division","División de especies CEIUAPA","Division d'espèces CSITAPA","305","23","ISSCAAP_Code+Name_En","ISSCAAP division","División de especies CEIUAPA","Division d'espèces CSITAPA","","402"
"ISSCAAP_GROUP","Group of the ""International Standard Statistical Classification of Aquatic Animals and Plants""","Grupo de especies de la ""Clasificación Estadística Internacional Uniforme de los Animales y Plantas Acuáticos""","Groupe d'espèces de la ""Classification statistique internationale type des animaux et des plantes aquatiques""","304","24","ISSCAAP_Code+Name_En","ISSCAAP group","Grupo de especies CEIUAPA","Groupe d'espèces CSITAPA","","403"
"MAIN_GROUP","Main species grouping","Grupo principal de especies","Groupe principal d'espèces","306","25","Scientific_Name","Main species grouping","Grupo principal de especies","Groupe principal d'espèces","","404"
"ORDER","Aquatic species taxonomic order or higher taxa","Orden taxonómico o taxa superior","Ordre taxonomique ou taxa supérieur","307","26","Scientific_Name","Order or higher taxa","Orden o taxa superior","Ordre ou taxa supérieur","","405"
"FAMILY","Aquatic species taxonomic family","Familia","Famille","302","27","Scientific_Name","Family","Familia","Famille","","406"
"FAOSTAT_GROUP","FAOSTAT group of commodities","Grupo de productos FAOSTAT","Groupe des produits FAOSTAT","108","28","","FAOSTAT group of commodities","Grupo de productos FAOSTAT","Groupe des produits FAOSTAT","","407"
"SPECIES_FAOSTAT","FAOSTAT Group of species","Grupo de especies FAOSTAT","Groupe d'espèces FAOSTAT","303","29","","FAOSTAT group of species","Grupo de especies FAOSTAT","Groupe d'espèces FAOSTAT","","410"
"ENVIRONMENT","Environment","Ambiente de cultivo","Environnement","502","30","","Environment","Ambiente de cultivo","Environnement","","501"
"PRODUCTION_SOURCE","Production source","Origen de producción","Source de production","512","31","","Production source","Origen de producción","Source de production","","601"
"PRODUCTION_SOURCE_DET","Detailed production source","Origen de la producción detallada","Source de la production détaillée","513","32","","Detailed production source","Origen de la producción detallada","Source de la production détaillée","","602"
"TRADE_FLOW_DET","Trade flow","Dirección del comercio","Direction du commerce","510","33","","Trade flow","Dirección del comercio","Direction du commerce","","704"
"ELEMENT","Element","Elemento","Élément","511","34","","Element","Elemento","Élément","","705"
"CPC_DIVISION","Central Product Classification division","División de Clasificación Central de Productos","Division de la Classification centrale de produits","101","35","","CPC division","División de CPC","Division de la CPC","","1001"
"CPC_GROUP","Central Product Classification group","Grupo de Clasificación Central de Productos","Groupe de la Classification centrale de produits","102","36","","CPC group","Grupo de CPC","Groupe de la CPC","","1002"
