"Acronym","Code","Description","Name_En","Name_Es","Name_Fr"
"TITLE","01","Textual label used to refer to the reference metadata structure. It can be used as a semantic name.","Title","Título","Titre"
"DATA_SOURCE_INFO","02","(Information relating to this concept is provided by reporting on its sub-concepts)","Data source information","Información sobre la fuente de datos","Information sur la source de données"
"COMPILING_ORG","02.1","Organization collecting and/or elaborating the data being reported. 
For instance, if the FAO collects data from Member States or/and various data sources, process and disseminate them, the compiling organization should be FAO. If the data was collected and already disseminated by another Organization, but acquired, minimally processed (e.g. through simple data manipulation to fit our FAO data dissemination structures) and re-disseminated by FAO, the compiling organization should be this other Organization.","Compiling Organization","Organización compiladora","Organisation compilatrice"
"DATA_SOURCE","02.2","Location or service from where data and/or metadata can be obtained.
The location includes a resolvable URL which may download a file or be a query that returns data.
Data citation (citation text) or DOI (Digital Object Identifier) may also be included alongside the URL.","Data source","Fuente de datos","Source des données"
"CONTACT","03","Organizational contact points for the data or metadata, including information on how to reach the contact points. (Information relating to this concept is provided by reporting on its sub-concepts)","Contact","Contacto","Contact"
"CONTACT_ORGANISATION","03.1","Food and Agriculture Organization of the United Nations (FAO).","Contact organization","Organización de contacto","Organisation de contact"
"ORGANISATION_UNIT","03.2","Name of the unit, branch or department responsible for the metadata file.","Contact organization unit","Unidad de contacto de la organización","Unité de l'organisation à contacter"
"CONTACT_MAIL","03.3","Postal address of the unit responsible of the statistical domain.","Contact mail address","Dirección de contacto","Adresse de contacter"
"CONTACT_EMAIL","03.4","Generic e-mail address of the unit responsible for the statistical domain.","Contact email address","Correo electrónico de contacto","Courrier électronique de contact"
"META_UPDATE","04","Date on which the metadata element was created or modified. (Information relating to this concept is provided by reporting on its sub-concepts)","Update date","Fecha de actualización","Date de la mise à jour"
"META_POSTED","04.1","Date of the latest dissemination (last posting) of the metadata.","Metadata last posted","Fecha de la última publicación de los metadatos","Date de la dernière publication des metadonnées"
"META_LAST_UPDATE","04.2","Date of last update of the content of the metadata. The update can concern one single concept, but also the metadata file as a whole.","Metadata last update","Fecha de la última actualizacíon de los metadatos","Date de la dernière mise à jour des metadonnées"
"STAT_PRES","05","(Information relating to this concept is provided by reporting on its sub-concepts.)","Statistical presentation","Presentación estadística","Presentation statistique"
"DATA_DESCR","05.1","Main characteristics of the data set described in an easily understandable manner, referring to the data and indicators disseminated. This summary description should provide an immediate understanding of the data to users (also to those who do not have a broader technical knowledge of the dataset in question). Data description can include the main variables covered.","Data description","Descripción de los datos","Description des données"
"COVERAGE","05.2","Definition of the scope of the data compiled. This sub-concept should be used to describe the population covered by the statistics (including eventually its dimensions or levels of disaggregation such as income, sex, age group, disability status, etc.) as well as the geographical coverage of the data series.","Coverage","Cobertura","Couverture"
"COVERAGE_SECTOR","05.3","Main economic or other sectors (e.g. data domains) covered by the statistics. It lists groups and subgroups of related activities or populations covered by the data set produced. These sectors can be institutional sectors, economic or other sectors (e.g. agriculture, forestry, or aquaculture).
It should include at least the data domains and/or subdomains under which the dataset belongs in the Classification of Statistical Activities (CSA) (see https://unstats.un.org/unsd/classifications/CSA2).
For example, the sector coverage of a dataset on employment in agriculture and agrifood system should be associated with Labour statistics (as per CSA).","Sector coverage","Cobertura del sector","Couverture du secteur"
"STAT_CONC_DEF","05.4","List of definitions and descriptions of the main statistical variables provided. There should be reference to FAO and internationally accepted statistical standards, guidelines, or good practices on which the concepts and definitions that are used for compiling the statistics are based (e.g. area under cultivation, species and harvested production).
When relevant, deviations from statistical standards, guidelines or good practices, should be documented. In particular, deviations from international concepts and definitions caused by the use of a particular data source (e.g. a Big data source) should be explained.","Statistical concepts and definitions","Conceptos estadísticos y definiciones","Concepts statistiques et définitions"
"REF_AREA","05.5","Country or geographical or political group of countries or regions to which the measured statistical data set relates. Reference to the code list of the FAO Statistical Standard on Country and Area Codes for Statistical Use  should be made.","Reference area","País o área de referencia","Pays ou zone de référence"
"COVERAGE_TIME","05.6","Period of time for which data set is described. The time period covered can be indicated as a time interval, e.g. ""1985 to 2006"" for annual time series data, or as several intervals or values of time.","Time coverage","Cobertura temporal","Couverture temporelle"
"BASE_PER","05.7","Period of time used as the base of an index number, or to which a constant time series refers. It may not be applicable for many statistical data sets, but for some others a base period is chosen as a benchmark, indices can be applied to current values (e.g. base year 2000 for certain annual data).","Base period","Período base","Période de base"
"UNIT_MEASURE","06","The unit in which the data values are measured. The unit of measure in connection with the unit multiplier provides the level of detail for the value of the variable (e.g. the following units are use: USD, national currency, tonne). The magnitude (e.g. thousands, millions) of numerical units should be included.
Include reference to the FAO Statistical Standard on units of measure .
When multiple units of measure are used within the data domain, the UoM should be specified by data items.","Unit of measure","Unidad de medida","Unité de mesure"
"REF_PERIOD","07","Timespan or point in time to which the measured observation is intended to refer, which can be a specific day or a specific period (e.g. a month, a fiscal year, a calendar year, or several calendar years). In many cases, the reference period and the time period will be identical, but there are also cases where they are different. This can happen if data are not available for the target reference period, but are available for a time period which is judged to be sufficiently close. For example, the reference period may be a calendar year, whereas data may only be available for a fiscal year. In such cases, ""reference period"" should refer to the target reference period rather than the actual time period of the data.
The difference between target and actual reference period can be highlighted in an additional free text note.","Reference period","Período de referencia","Période de référence"
"INST_MANDATE","08","Set of rules or other formal set of instructions assigning responsibility as well as the authority to FAO to an organization (i.e. FAO) for the collection, processing, and dissemination of statistics. It also includes arrangements or procedures to facilitate data sharing and coordination between data producing agencies. (Information relating to this concept is provided by reporting on its sub-concepts)","Institutional mandate","Mandato institucional","Mandat institutionnel"
"INST_MAN_LA_OA","08.1","Legal acts or non-legal measures such as formal or informal agreements administrative arrangements employed to specific organizations that assign responsibility as well as the authority to FAO or an international institution for the collection, processing, and dissemination of statistics. If available, a weblink should be provided.
Use a standard text (and complement it with any relevant formal/informal agreements, if available).
Article I of the FAO Constitution requires the Organization to collect, analyze, interpret and disseminate information relating to nutrition, food and agriculture (FAO, 2017) .

Example of complementary information on relevant agreements, if available.
In line with SDQAF Principle 7 on Coordination with other international organizations producing statistics, FAO collects this data with Eurostat in accordance with the Memorandum of Understanding (MoU) on agriculture statistics that was signed in January 2020.","Legal acts and other agreements","Actos jurídicos y otros acuerdos","Actes juridiques et autres accords"
"INST_MAN_ACQ_TRANS","08.2","Arrangements, procedures or agreements in place for the acquisition, access and transmission of the data used to generate these data outputs. 
If relevant, a reference to the data sharing agreement or the terms of use of the data sourced should be provided as well as a weblink to these if publicly available
If data accessed and transmitted include personal data, a reassurance that the data were accessed, managed and transmitted in accordance with FAO Data protection policy should be provided.
If non-statistical data sources were used, the following should be described:
•	Modes of data access (full access to raw data or access to pre-processed data by FAO or through third party )
•	In case of access to pre-processed data by third-party/data provider: information about the methods applied to the raw data resulting in the pre-processed data 
•	Time and method of transmission
•	Time horizon of the cooperation - Is a long-term access to the data guaranteed?""

Use a standard text, if possible.
For example, EU member country production data for the primary commodities are obtained from Eurostat (with some minor exceptions) since 2018, in accordance with the Memorandum of Understanding (MoU) between Eurostat and FAO on agriculture statistics.","Data acquisition and data transmission","Adquisición y transmisión de datos","Acquisition et transmission de données"
"CONF","09","Property of data indicating whether they are subject to dissemination restrictions.
Data are protected by confidentiality in cases where unauthorized disclosure could be prejudicial or harmful to the interest of the source or other relevant parties.
(Information relating to this concept is provided by reporting on its sub-concepts)","Confidentiality","Confidencialidad","Confidentialité"
"CONF_POLICY","09.1","Legislative measures, rules or other formal procedures related to statistical confidentiality, which prevent unauthorized disclosure of data that identify a person or economic entity either directly or indirectly: It should provide the assurance that all necessary methods assuring confidentiality have been applied to the data.
Use a standard text, if possible.
FAO Data and statistics are produced in accordance with FAO Policy on Data Protection and the implementation modalities of FAO SDQAF Principle 4 on Data protection and Statistical Confidentiality.","Confidentiality - policy","Política de privacidad","Politique de confidentialité"
"CONF_DATA_TR","09.2","Rules applied for treating the data set with regard to statistical confidentiality to ensure that private information from individual units cannot be accessed and to prevent unauthorized disclosure (e.g. cell suppression, aggregation of sensitive information, aggregation rules on aggregated confidential data).
Use a standard text, if possible.
If any, confidential data are suppressed and not disseminated by FAO. They are marked in the database with SDMX flag “Q - Missing value; suppress”. To avoid residual disclosures, aggregates are also suppressed as necessary.","Confidentiality - data treatment","Confidencialidad - tratamiento de datos","Confidentialité - traitement des données"
