"Acronym","FirstPeriod","Format","Identifier","LastPeriod","Name_En","Name_Es","Name_Fr","SWS_Dimension","Size","Symbol","Time","TimeseriesKey","Value","isFishStatJ"
"YEAR","Y1950","YYYY","1010","Y2022","Year","Año","Année","timePointYears","4","STATUS","PERIOD","1010","VALUE","true"
"YEAR","Y1984","YYYY","1020","Y2022","Year","Año","Année","timePointYears","4","STATUS","PERIOD","1020","VALUE","true"
"YEAR","Y1950","YYYY","2001","Y2022","Year","Año","Année","timePointYears","4","STATUS","PERIOD","2001","VALUE","true"
"YEAR","Y1950","YYYY","3001","Y2022","Year","Año","Année","","4","STATUS","PERIOD","3001","VALUE","true"
"YEAR","Y1976","YYYY","4001","Y2018","Year","Año","Année","","4","STATUS","PERIOD","4001","VALUE","true"
"YEAR","Y1976","YYYY","4002","Y2018","Year","Año","Année","","4","STATUS","PERIOD","4002","VALUE","true"
"YEAR","Y1970","YYYY","5001","Y2022","Year","Año","Année","timePointYears","4","STATUS","PERIOD","5001","VALUE","true"
"YEAR","Y1970","YYYY","6001","Y2022","Year","Año","Année","timePointYears","4","STATUS","PERIOD","6001","VALUE","true"
"YEAR","Y1986","YYYY","7001","Y2022","Year","Año","Année","timePointYears","4","STATUS","PERIOD","7001","VALUE","true"
"YEAR","Y1975","YYYY","8001","Y2022","Year","Año","Année","timePointYears","4","STATUS","PERIOD","8001","VALUE","true"
"YEAR","Y1961","YYYY","9001","Y2019","Year","Año","Année","timePointYears","4","STATUS","PERIOD","9001","VALUE","true"
"YEAR","Y1961","YYYY","9011","Y2019","Year","Año","Année","timePointYears","4","STATUS","PERIOD","9011","VALUE","true"
"YEAR","Y2019","YYYY","11001","Y2022","Year","Año","Année","","4","STATUS","PERIOD","11001","VALUE","true"
"YEAR","Y2019","YYYY","11011","Y2022","Year","Año","Année","","4","STATUS","PERIOD","11011","VALUE","true"
"YEAR","Y1976","YYYY","12001","Y2022","Year","Año","Année","","4","STATUS","PERIOD","12001","VALUE","true"
"YEAR","Y1976","YYYY","12005","Y2022","Year","Año","Année","","4","STATUS","PERIOD","12005","VALUE","true"
"YEAR","Y1948","YYYY","12011","Y2022","Year","Año","Année","","4","STATUS","PERIOD","12011","VALUE","true"
"YEAR","Y1948","YYYY","12015","Y2022","Year","Año","Année","","4","STATUS","PERIOD","12015","VALUE","true"
"YEAR","Y1976","YYYY","13001","Y2022","Year","Año","Année","","4","STATUS","PERIOD","13001","VALUE","true"
"YEAR","Y2016M01","YYYY","19001","Y2023M12","Year","Año","Année","","4","STATUS","PERIOD","19001","VALUE","true"
"YEAR","Y2016","YYYY","19002","Y2023","Year","Año","Année","","4","STATUS","PERIOD","19001","VALUE","false"
"MONTH","","MM","19003","","Month","Mes","Mois","","2","","","19001","","false"
