"Acronym","ConceptChild","ConceptParent","Description_En","Description_Es","Description_Fr","Group_Filter","Identifier","Name_En","Name_Es","Name_Fr","Sort"
"CONTINENT_COUNTRY","1","3","Countries by continent","Países por continente","Pays par continent","","1","Countries by continent","Países por continente","Pays par continent","101"
"GEO_REGION_COUNTRY","1","4","Countries by geographical region","Países por regiones geográficas","Pays par région géographique","","2","Countries by geographical region","Países por regiones geográficas","Pays par région géographique","102"
"CONTINENT_GEO_REGION","4","3","Geographical regions by continent","Regiones geográficas por continente","Régions géographiques par continent","","3","Geographical regions by continent","Regiones geográficas por continente","Régions géographiques par continent","103"
"COMMISSION_COUNTRY","1","7","Member countries of fishery commission","Países miembros de comisión de pesca","Pays membres de commision de pêche","","4","Member countries of fishery commission","Países miembros de comisión de pesca","Pays membres de commision de pêche","104"
"ECON_CLASS_COUNTRY","1","5","Countries by income (World Bank class.)","Países por ingreso (Banco Mundial)","Pays par revenu (Banque Mondiale)","","5","Countries by income (World Bank class.)","Países por ingresos (Banco Mundial)","Pays par revenu (Banque Mondiale)","105"
"ECON_GROUP_COUNTRY","1","6","Countries by economic group","Países por grupo económico","Pays par groupe économique","","6","Countries by economic group","Países por grupo económico","Pays par groupe économique","106"
"OTHER_COUNTRY","1","38","Other country groups","Grupos de paises diversos","Groupes de pays divers","","8","Other country groups","Grupos de paises diversos","Groupes de pays divers","108"
"INLAND_MARINE_AREA","8","9","Inland/Marine areas","Áreas continentales/marítimas","Zones continentales/maritimes","","20","Inland/Marine areas","Áreas continentales/marítimas","Zones continentales/maritimes","201"
"OCEAN_AREA","8","10","Areas by ocean","Áreas de pesca por océano","Zones de pêche par océan","","21","Areas by ocean","Áreas de pesca por océano","Zones de pêche par océan","202"
"SUB_OCEAN_AREA","8","11","Areas by sub-ocean","Áreas de pesca por sub-océano","Zones de pêche par sous-océan","","22","Areas by sub-ocean","Áreas de pesca por sub-océano","Zones de pêche par sous-océan","203"
"FA_REGION_AREA","8","12","Areas by fishing region","Áreas de pesca por regione","Zones de pêche par région","","23","Areas by fishing region","Áreas de pesca por regione","Zones de pêche par région","204"
"AREA_SUB_AREA","14","8","FAO subareas by major fishing area","Subáreas FAO por área principal de pesca","Sous-zones FAO par zone principale de pêche","","24","FAO subareas by major fishing area","Subáreas FAO por área principal de pesca","Sous-zones FAO par zone principale de pêche","205"
"SUB_AREA_DIVISION","15","14","FAO divisions by subarea","Divisiones FAO por subárea","Divisions FAO par sous-zone","","25","FAO divisions by subarea","Divisiones FAO por subárea","Divisions FAO par sous-zone","206"
"AREA_DIVISION","15","8","FAO divisions by major fishing area","Divisiones FAO por área principal de pesca","Divisions FAO par zone principale de pêche","","27","FAO divisions by major fishing area","Divisiones FAO por área principal de pesca","Divisions FAO par zone principale de pêche","207"
