"Acronym","Identifier"
"CL_FI_COMMODITY_ISSCFC","1000"
"CL_FI_COMMODITY_ISSCAAPGRP","1010"
"CL_FI_COMMODITY_CPC","1020"
"CL_FI_COMMODITY_FAO","1030"
"CL_FI_COMMODITY_FAOMAJOR","1040"
"CL_FI_COMMODITY_FAOSTAT","1050"
"CL_FI_COMMODITY_SITC4","1060"
"CL_FI_COMMODITY_HS2017","1070"
"CL_FI_COMMODITY_HS2022","1080"
"CL_SPECIES_ISSCAAP","1100"
"CL_SPECIES_TAXONOMIC","1110"
"CL_SPECIES_YEARBOOK","1120"
"CL_SPECIES_FAOSTAT","1130"
"CL_COUNTRY_CONTINENT","1200"
"CL_COUNTRY_ECOCLASS","1210"
"CL_COUNTRY_ECOGROUP","1220"
"CL_COUNTRY_FISHSTAT","1230"
"CL_COUNTRY_RFB","1240"
"CL_WATER_AREA","1300"
