"Code","CodeFormat","EBX_Codelist","HasMultiple","Identifier","Name","Name2","Order","ParentCodeFormat","Parent_Code","Parent_Codelist","SDMX_Dimension"
"206","","113","false","1001","205","","","","206","113","1000"
"116","","304","false","1011","115","","","","","","1010"
"206","","113","false","1012","205","","","","116","304","1010"
"181","","101","false","1021","180","","","","","","1020"
"176","","102","false","1022","175","","","","181","101","1020"
"171","","100","false","1023","170","","","","176","102","1020"
"206","","113","false","1024","205","","","","171","100","1020"
"1002","","103","false","1031","1003","","","","","","1030"
"1005","","104","false","1032","1006","","","","1002","103","1030"
"1008","","105","false","1033","1009","","","","1005","104","1030"
"206","","113","false","1034","205","","","","1008","105","1030"
"236","","106","false","1041","235","","","","","","1040"
"221","","107","false","1042","220","","","","236","106","1040"
"206","","113","false","1043","205","","","","221","107","1040"
"241","","108","false","1051","240","","","","","","1050"
"226","","109","false","1052","225","","","","241","108","1050"
"206","","113","false","1053","205","","","","226","109","1050"
"231","","114","false","1061","230","","","","231","114","1060"
"206","","113","false","1062","205","","","","231","114","1060"
"1011","","122","false","1071","1012","","","","","","1070"
"1014","","121","false","1072","1015","","","","1011","122","1070"
"1017","","120","false","1073","1018","","","","1014","121","1070"
"206","","113","false","1074","205","","","","1017","120","1070"
"1021","","117","false","1075","1022","","","","","","1080"
"1024","","118","false","1076","1025","","","","1021","117","1080"
"1027","","119","false","1077","1028","","","","1024","118","1080"
"206","","113","false","1078","205","","","","1027","119","1080"
"111","","305","false","1101","110","","","","","","1100"
"116","","304","false","1102","115","","","","111","305","1100"
"101","","301","false","1103","100","104","","","116","304","1100"
"121","","306","false","1111","123","","","","","","1110"
"126","","307","false","1112","125","","","","121","306","1110"
"131","","302","false","1113","130","","","","126","307","1110"
"101","","301","false","1114","100","104","","","131","302","1110"
"101","","301","false","1115","100","104","106","","126","307","1110"
"141","","308","false","1121","140","","","","","","1120"
"116","","304","true","1122","115","","","","141","308","1120"
"136","","303","false","1131","135","","","","","","1130"
"116","","304","false","1132","115","","","","136","303","1130"
"12","%03d","201","false","1201","10","","","","","","1200"
"17","%03d","208","false","1202","15","","","%03d","12","201","1200"
"5","%03d","200","false","1203","1","","","%03d","17","208","1200"
"26","%03d","202","false","1211","25","","","","","","1210"
"5","%03d","200","false","1212","1","","","%03d","26","202","1210"
"31","%03d","203","false","1221","30","","","","","","1220"
"5","%03d","200","true","1222","1","","","%03d","31","203","1220"
"80","%03d","214","false","1231","81","","","","","","1230"
"5","%03d","200","true","1232","1","","","%03d","80","214","1230"
"21","%03d","213","false","1241","22","","","","","","1240"
"5","%03d","200","true","1242","1","","","%03d","21","213","1240"
"422","","402","false","1301","421","","","","","","1300"
"432","","403","false","1302","431","","","","422","402","1300"
"462","","406","false","1303","461","","","","432","403","1300"
"412","","401","false","1304","411","","","","432","403","1300"
"412","","401","false","1305","411","","","","462","406","1300"
"462","","406","false","1306","461","","","","432","403","1300"
"472","","407","false","1307","471","","","","412","401","1300"
"492","","409","false","1308","491","","","","472","407","1300"
