"Acronym","Description_En","Description_Es","Description_Fr","Identifier","Name_En","Name_Es","Name_Fr","Provider_En","Provider_Es","Provider_Fr","Version"
"FAO_FI_GLOBAL_PROD","FAO Global Fishery and Aquaculture Production Statistics","Estadísticas mundiales de capturas y producción de acuicultura de la FAO","Statistiques mondiales des captures et de production de l’aquaculture de la FAO","3","FAO Global Fishery and Aquaculture Production Statistics","Estadísticas mundiales de capturas y producción de acuicultura de la FAO","Statistiques mondiales des captures et de production de l’aquaculture de la FAO","Food and Agriculture Organization of the United Nations","Organización de las Naciones Unidas para la Alimentación y la Agricultura","Organisation des Nations Unies pour l'alimentation et l'agriculture","2022.0.1"
"FAO_FI_AQUACULTURE","FAO Global Fishery and Aquaculture Production Statistics","Estadísticas mundiales de capturas y producción de acuicultura de la FAO","Statistiques mondiales des captures et de production de l’aquaculture de la FAO","11","FAO Global Aquaculture Production Statistics","Estadísticas mundiales de capturas y producción de","Statistiques mondiales des captures et de production","Food and Agriculture Organization of the United NationsNations","Organización de las Naciones Unidas para la Alimentación y la Agricultura","Organisation des Nations Unies pour l'alimentation et l'agriculture","2020.0.1"
"FAO_FI_CAPTURE","FAO Global Fishery Capture Production Statistics","FAO Global Fishery Capture Production Statistics","FAO Global Fishery Capture Production Statistics","12","FAO Global Capture Production Statistics","FAO Global Capture Production Statistics","FAO Global Capture Production Statistics","Food and Agriculture Organization of the United NationsNations","Organización de las Naciones Unidas para la Alimentación y la Agricultura","Organisation des Nations Unies pour l'alimentation et l'agriculture","2020.0.1"
"FAO_FI_REGIONAL","FAO Regional capture fisheries statistics","Estadísticas de capturas pesqueras regionales de la FAO","Statistiques des captures de la pêche régionale de la FAO","32","FAO Regional capture fisheries statistics","Estadísticas de capturas pesqueras regionales de la FAO","Statistiques des captures de la pêche régionale de la FAO","Food and Agriculture Organization of the United Nations","Organización de las Naciones Unidas para la Alimentación y la Agricultura","Organisation des Nations Unies pour l'alimentation et l'agriculture","2022.1.0"
"FAO_FI_GLOBAL_TRADE_OLD","FAO Global Fishery and Aquaculture Commodities Statistics","Estadísticas mundiales de los productos de pesca y acuicultura de la FAO","Statistiques mondiales des produits des pêches et de l'aquaculture de la FAO","40","OLD FAO Global Fishery and Aquaculture Commodities Statistics","Estadísticas mundiales de los productos de pesca y acuicultura de la FAO","Statistiques mondiales des produits des pêches et de l'aquaculture de la FAO","Food and Agriculture Organization of the United Nations","Organización de las Naciones Unidas para la Alimentación y la Agricultura","Organisation des Nations Unies pour l'alimentation et l'agriculture","2020.1.0"
"FAO_FI_GLOBAL_TRADE","FAO Global Fish Trade Statistics","Estadísticas mundiales del comercio del pescado de la FAO","Statistiques mondiales du commerce du poisson de la FAO","41","FAO Global Fish Trade Statistics","Estadísticas mundiales del comercio del pescado de la FAO","Statistiques mondiales du commerce de poisson de la FAO","Food and Agriculture Organization of the United Nations","Organización de las Naciones Unidas para la Alimentación y la Agricultura","Organisation des Nations Unies pour l'alimentation et l'agriculture","2022.0.1"
"FAO_FI_GLOBAL_PP","FAO Global Fish Processed Products Production Statistics","Estadísticas mundiales de la FAO de producción de productos pesqueros transformados","Statistiques mondiales de la FAO sur la production de produits transformés de la pêche","42","FAO Global Fish Processed Products Statistics","Estadísticas mundiales de la FAO de productos pesqueros transformados","Statistiques mondiales de la FAO sur les produits transformés de la pêche","Food and Agriculture Organization of the United Nations","Organización de las Naciones Unidas para la Alimentación y la Agricultura","Organisation des Nations Unies pour l'alimentation et l'agriculture","2022.0.1"
"FAO_FI_GLOBAL_TRADE_1948","FAO Global Fish Trade Statistics - 1948 to 2020","Estadísticas mundiales del comercio del pescado de la FAO - 1948 - 2020","Statistiques mondiales du commerce de poisson de la FAO - 1948 - 2020","43","FAO Global Fish Trade Statistics - 1948 to 2020","Estadísticas mundiales del comercio del pescado de la FAO - 1948 - 2020","Statistiques mondiales du commerce de poisson de la FAO - 1948 - 2020","Food and Agriculture Organization of the United Nations","Organización de las Naciones Unidas para la Alimentación y la Agricultura","Organisation des Nations Unies pour l'alimentation et l'agriculture","2022.0.1"
"FAO_FI_FBS","FAO Food balance sheets of fish and fishery products","Pescado y productos pesqueros: hojas de balance de alimentos de la FAO","Poissons et produits de la pêche: bilans alimentaires de la FAO","50","FAO Food balance sheets of fish and fishery products","Pescado y productos pesqueros: hojas de balance de alimentos de la FAO","Poissons et produits de la pêche: bilans alimentaires de la FAO","Food and Agriculture Organization of the United Nations","Organización de las Naciones Unidas para la Alimentación y la Agricultura","Organisation des Nations Unies pour l'alimentation et l'agriculture","2020.1.0"
"FAO_FI_REJECTION","Border Rejections","Border Rejections","Border Rejections","9001","Border Rejections","Border Rejections","Border Rejections","Food and Agriculture Organization of the United Nations","Organización de las Naciones Unidas para la Alimentación y la Agricultura","Organisation des Nations Unies pour l'alimentation et l'agriculture","2022.1.0"
