"Concept","Dataset"
"1","1"
"2","1"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"22","1"
"23","1"
"24","1"
"25","1"
"26","1"
"27","1"
"29","1"
"30","1"
"31","1"
"32","1"
"35","1"
"36","1"
"37","1"
"38","1"
"85","1"
"1","2"
"2","2"
"3","2"
"4","2"
"5","2"
"6","2"
"7","2"
"8","2"
"9","2"
"10","2"
"11","2"
"12","2"
"22","2"
"23","2"
"24","2"
"25","2"
"26","2"
"27","2"
"29","2"
"35","2"
"36","2"
"37","2"
"38","2"
"85","2"
"1","3"
"2","3"
"3","3"
"4","3"
"5","3"
"6","3"
"7","3"
"8","3"
"9","3"
"10","3"
"11","3"
"12","3"
"22","3"
"23","3"
"24","3"
"25","3"
"26","3"
"27","3"
"29","3"
"31","3"
"32","3"
"35","3"
"36","3"
"37","3"
"38","3"
"85","3"
"1","4"
"3","4"
"4","4"
"5","4"
"6","4"
"17","4"
"18","4"
"19","4"
"20","4"
"23","4"
"24","4"
"33","4"
"35","4"
"36","4"
"37","4"
"38","4"
"52","4"
"55","4"
"56","4"
"57","4"
"1","5"
"2","5"
"3","5"
"4","5"
"5","5"
"6","5"
"7","5"
"8","5"
"9","5"
"10","5"
"11","5"
"12","5"
"14","5"
"15","5"
"22","5"
"23","5"
"24","5"
"25","5"
"26","5"
"27","5"
"29","5"
"35","5"
"36","5"
"37","5"
"38","5"
"1","6"
"2","6"
"3","6"
"4","6"
"5","6"
"6","6"
"7","6"
"8","6"
"9","6"
"10","6"
"11","6"
"12","6"
"14","6"
"15","6"
"22","6"
"23","6"
"24","6"
"25","6"
"26","6"
"27","6"
"29","6"
"35","6"
"36","6"
"37","6"
"38","6"
"1","7"
"2","7"
"3","7"
"4","7"
"5","7"
"6","7"
"7","7"
"8","7"
"9","7"
"10","7"
"11","7"
"12","7"
"14","7"
"15","7"
"22","7"
"23","7"
"24","7"
"25","7"
"26","7"
"27","7"
"29","7"
"35","7"
"36","7"
"37","7"
"38","7"
"1","8"
"2","8"
"3","8"
"4","8"
"5","8"
"6","8"
"7","8"
"8","8"
"9","8"
"10","8"
"11","8"
"12","8"
"14","8"
"15","8"
"22","8"
"23","8"
"24","8"
"25","8"
"26","8"
"27","8"
"29","8"
"35","8"
"36","8"
"37","8"
"38","8"
"1","9"
"3","9"
"4","9"
"5","9"
"6","9"
"34","9"
"38","9"
"57","9"
"1","10"
"3","10"
"4","10"
"5","10"
"6","10"
"34","10"
"38","10"
"57","10"
"17","11"
"18","11"
"19","11"
"20","11"
"23","11"
"24","11"
"35","11"
"36","11"
"37","11"
"52","11"
"55","11"
"56","11"
"57","11"
"58","11"
"59","11"
"71","11"
"72","11"
"73","11"
"74","11"
"75","11"
"76","11"
"77","11"
"78","11"
"79","11"
"80","11"
"83","11"
"84","11"
"17","12"
"18","12"
"19","12"
"20","12"
"23","12"
"24","12"
"35","12"
"36","12"
"37","12"
"52","12"
"55","12"
"56","12"
"57","12"
"58","12"
"59","12"
"71","12"
"73","12"
"75","12"
"77","12"
"79","12"
"83","12"
"1","13"
"3","13"
"4","13"
"5","13"
"6","13"
"17","13"
"18","13"
"19","13"
"20","13"
"23","13"
"24","13"
"35","13"
"36","13"
"37","13"
"38","13"
"40","13"
"52","13"
"55","13"
"56","13"
"57","13"
"17","14"
"18","14"
"19","14"
"20","14"
"23","14"
"24","14"
"35","14"
"36","14"
"37","14"
"52","14"
"55","14"
"56","14"
"57","14"
"58","14"
"59","14"
"71","14"
"73","14"
"75","14"
"77","14"
"79","14"
"83","14"
"91","9001"
"92","9001"
"93","9001"
"94","9001"
"95","9001"
"96","9001"
"97","9001"
"98","9001"
"99","9001"
"100","9001"
