"DCAT","Dataset","Name_En","Name_Es","Name_Fr","Reference_year"
"01","1","Global aquaculture production - Metadata","Producción mundial de acuicultura - Metadatos","Production mondiale de l'aquaculture  - Métadonnées","2024"
"02.1","1","Food and Agriculture Organization of the United Nations (FAO)","Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO)","Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO)","2024"
"02.2","1","[Global aquaculture production](https://www.fao.org/fishery/en/collection/aquaculture)","[Producción mundial de acuicultura](https://www.fao.org/fishery/es/collection/aquaculture)","[Production mondiale de l'aquaculture](https://www.fao.org/fishery/fr/collection/aquaculture)","2024"
"03.1","1","Food and Agriculture Organization of the United Nations (FAO)","Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO)","Organisation des Nations Unies pour l'alimentation et l'agriculture (FAO)","2024"
"03.2","1","Statistics and Information Team (NFISI) of the FAO Fisheries and Aquaculture Division (NFI)","Equipo de estadísticas e información (NFISI) de la División de Pesca y Acuicultura (NFI) de la FAO","Équipe Statistiques et Information (NFISI) de la Division des pêches et de l'aquaculture (NFI) de la FAO","2024"
"03.3","1","Viale delle Terme di Caracalla, 00153 Rome, Italy","Viale delle Terme di Caracalla, 00153 Roma, Italia","Viale delle Terme di Caracalla, 00153 Rome, Italie","2024"
"03.4","1","[Fish-Statistics-Inquiries@fao.org](mailto:Fish-Statistics-Inquiries@fao.org)","[Fish-Statistics-Inquiries@fao.org](mailto:Fish-Statistics-Inquiries@fao.org)","[Fish-Statistics-Inquiries@fao.org](mailto:Fish-Statistics-Inquiries@fao.org)","2024"
"04.1","1","28/03/2026","28/03/2026","28/03/2026","2024"
"04.2","1","28/03/2026","28/03/2026","28/03/2026","2024"
"05.1","1","This dataset covers annual series of the volume from 1950 and value from 1984 of total aquaculture production by country or area, species, environment and FAO major fishing area. Data cover aquatic animals (fish, crustaceans, molluscs, etc.), aquatic plants (seaweed and other algae) and aquatic products (shells and pearls) harvested through aquaculture activities, taken from inland waters, brackish and marine areas.  Data include all quantities farmed for both food and non-food purposes.","Este conjunto de datos abarca series anuales del volumen desde 1950 y del valor desde 1984 de la producción total de acuicultura por país o área, especie, entorno y zona pesquera principal de la FAO. Los datos incluyen animales acuáticos (peces, crustáceos, moluscos, etc.), plantas acuáticas (algas marinas y otras algas) y productos acuáticos (conchas y perlas) obtenidos mediante actividades de acuicultura en aguas continentales, salobres y marinas. Los datos incluyen todas las cantidades cultivadas tanto para fines alimentarios como no alimentarios.","Cet ensemble de données présente les séries annuelles du volume (depuis 1950) et de la valeur (depuis 1984) de la production aquacole totale, ventilées par pays ou zone, espèce, milieu et principale zone de pêche de la FAO. Les données concernent les animaux aquatiques (poissons, crustacés, mollusques, etc.), les plantes aquatiques (algues) et les produits aquatiques (coquillages et perles) issus de l’aquaculture en eaux intérieures, saumâtres et marines. Elles incluent toutes les quantités élevées à des fins alimentaires et non alimentaires.","2024"
"05.2","1","The dataset provides comprehensive coverage of the global aquaculture production, including approximately 770 species items, 26 major fishing areas, 3 environments and 216 countries or areas. FAO strives to provide data for all countries and territories covering aquaculture production at the most detailed level of species items.","El conjunto de datos ofrece una cobertura integral de la producción acuícola mundial, incluyendo aproximadamente 770 especies, 26 zonas de pesca principales, 3 entornos y 216 países o territorios. La FAO se esfuerza por proporcionar datos de todos los países y territorios, abarcando la producción acuícola al nivel de detalle más completo posible.","Cet ensemble de données offre une couverture exhaustive de la production aquacole mondiale, incluant environ 770 espèces, 26 principales zones de pêche de la FAO, 3 environnements et 216 pays ou territoires. La FAO s'efforce de fournir des données pour tous les pays et territoires, couvrant la production aquacole avec le niveau de détail le plus fin possible en termes d'espèce.","2024"
"05.3","1","Aquaculture","Acuicultura","Aquaculture","2024"
