"Dataset","Relation"
"1","1"
"1","2"
"1","3"
"1","4"
"1","5"
"1","6"
"1","8"
"1","20"
"1","21"
"1","22"
"1","23"
"1","30"
"1","31"
"1","32"
"1","33"
"1","34"
"1","35"
"1","36"
"1","37"
"1","38"
"1","39"
"1","40"
"1","41"
"1","42"
"1","43"
"1","44"
"1","45"
"1","46"
"1","48"
"2","1"
"2","2"
"2","3"
"2","4"
"2","5"
"2","6"
"2","8"
"2","20"
"2","21"
"2","22"
"2","23"
"2","30"
"2","31"
"2","32"
"2","33"
"2","34"
"2","35"
"2","36"
"2","37"
"2","38"
"2","39"
"2","40"
"2","41"
"2","42"
"2","43"
"2","44"
"2","45"
"2","46"
"3","1"
"3","2"
"3","3"
"3","4"
"3","5"
"3","6"
"3","8"
"3","20"
"3","21"
"3","22"
"3","23"
"3","30"
"3","31"
"3","32"
"3","33"
"3","34"
"3","35"
"3","36"
"3","37"
"3","38"
"3","39"
"3","40"
"3","41"
"3","42"
"3","43"
"3","44"
"3","45"
"3","46"
"3","48"
"4","1"
"4","2"
"4","3"
"4","5"
"4","6"
"4","8"
"4","40"
"4","41"
"4","45"
"4","46"
"4","51"
"4","52"
"4","53"
"4","54"
"4","55"
"4","56"
"4","57"
"4","58"
"4","59"
"4","60"
"4","63"
"5","1"
"5","2"
"5","3"
"5","4"
"5","5"
"5","6"
"5","8"
"5","21"
"5","24"
"5","25"
"5","27"
"5","28"
"5","29"
"5","30"
"5","31"
"5","32"
"5","33"
"5","34"
"5","35"
"5","36"
"5","37"
"5","38"
"5","39"
"5","40"
"5","41"
"5","42"
"5","43"
"5","44"
"5","45"
"5","46"
"6","1"
"6","2"
"6","3"
"6","4"
"6","5"
"6","6"
"6","8"
"6","21"
"6","24"
"6","25"
"6","27"
"6","28"
"6","29"
"6","30"
"6","31"
"6","32"
"6","33"
"6","34"
"6","35"
"6","36"
"6","37"
"6","38"
"6","39"
"6","40"
"6","41"
"6","42"
"6","43"
"6","44"
"6","45"
"6","46"
"7","1"
"7","2"
"7","3"
"7","4"
"7","5"
"7","6"
"7","8"
"7","21"
"7","24"
"7","25"
"7","27"
"7","28"
"7","29"
"7","30"
"7","31"
"7","32"
"7","33"
"7","34"
"7","35"
"7","36"
"7","37"
"7","38"
"7","39"
"7","40"
"7","41"
"7","42"
"7","43"
"7","44"
"7","45"
"7","46"
"8","1"
"8","2"
"8","3"
"8","4"
"8","5"
"8","6"
"8","8"
"8","21"
"8","24"
"8","25"
"8","27"
"8","28"
"8","29"
"8","30"
"8","31"
"8","32"
"8","33"
"8","34"
"8","35"
"8","36"
"8","37"
"8","38"
"8","39"
"8","40"
"8","41"
"8","42"
"8","43"
"8","44"
"8","45"
"8","46"
"9","1"
"9","2"
"9","3"
"9","4"
"9","5"
"9","6"
"9","8"
"10","1"
"10","2"
"10","3"
"10","4"
"10","5"
"10","6"
"10","8"
"11","40"
"11","41"
"11","45"
"11","46"
"11","51"
"11","52"
"11","53"
"11","54"
"11","55"
"11","56"
"11","57"
"11","58"
"11","59"
"11","60"
"11","63"
"11","170"
"11","171"
"11","172"
"11","173"
"11","174"
"11","175"
"11","177"
"11","178"
"11","179"
"11","180"
"11","183"
"11","184"
"12","40"
"12","41"
"12","45"
"12","46"
"12","51"
"12","52"
"12","53"
"12","54"
"12","55"
"12","56"
"12","57"
"12","58"
"12","59"
"12","60"
"12","63"
"12","170"
"12","172"
"12","174"
"12","177"
"12","179"
"12","183"
"13","1"
"13","2"
"13","3"
"13","5"
"13","6"
"13","8"
"13","40"
"13","41"
"13","45"
"13","46"
"13","51"
"13","52"
"13","53"
"13","54"
"13","55"
"13","56"
"13","57"
"13","58"
"13","59"
"13","60"
"13","63"
"14","40"
"14","41"
"14","45"
"14","46"
"14","51"
"14","52"
"14","53"
"14","54"
"14","55"
"14","56"
"14","57"
"14","58"
"14","59"
"14","60"
"14","63"
"14","170"
"14","172"
"14","174"
"14","177"
"14","179"
"14","183"
"9001","9001"
"9001","9002"
"9001","9004"
"9001","9005"
"9001","9006"
"9001","9007"
