Code,Identifier,Name_En,Name_Es,Name_Fr
0301.10,30003,"Ornamental fish, live","Peces ornamentales, vivos","Poissons d'ornement, vivants"
0301.91,30004,"Trout (Salmo spp.), live","Truchas (Salmo spp.), vivas","Truites (Salmo spp.), vivantes"
0301.92,30005,"Eels (Anguilla spp.), live","Anguilas (Anguilla spp.), vivas","Anguilles (Anguilla spp.), vivantes"
0301.93,30006,"Carp, live","Carpas, vivas","Carpes, vivantes"
0301.99,30009,"Other fish, live","Los demás peces, vivos","Autres poissons, vivants"
0302.11,30011,"Trout (Salmo spp.), fresh or chilled","Truchas (Salmo spp.), frescas o refrigeradas","Truites (Salmo spp.), fraîches ou réfrigérées"
0302.12,30012,"Salmon (Oncorhyncus spp., Salmo salar, Hucho hucho), fresh or chilled","Salmones (Oncorhyncus spp., Salmo salar, Hucho hucho), frescos o refrigerados","Saumons (Oncorhyncus spp., Salmo salar, Hucho hucho), frais ou réfrigérés"
0302.19,30013,"Other salmonidae, fresh or chilled","Los demás salmónidos, frescos o refrigerados","Autres salmonidés, frais ou réfrigérés"
0302.21,30014,"Greenland, Atlantic and Pacific halibut, fresh or chilled","Halibut, fresco o refrigerado","Flétans, frais ou réfrigérés"
0302.22,30015,"Plaice (Pleuronectes platessa), fresh or chilled","Sollas (Pleuronectes platessa), frescas o refrigeradas","Plies ou carrelets (Pleuronectes platessa), frais ou réfrigérés"
0302.23,30016,"Sole (Solea spp.), fresh or chilled","Sollas (Solea spp.), frescas o refrigeradas","Soles (Solea spp.), fraîches ou réfrigérées"
0302.29,30017,"Other flatfish, fresh or chilled","Los demás pescados planos, frescos o refrigerados","Autres poissons plats, frais ou réfrigérés"
0302.31,30018,"Albacore or longfinned tuna (Thunnus alalunga), fresh or chilled","Albacoras o atunes blancos (Thunnus alalunga), frescos o refrigerados","Thons blancs ou germons (Thunnus alalunga), frais ou réfrigérés"
0302.32,30019,"Yellowfin tunas (Thunnus albacares), fresh or chilled","Atunes de aleta amarilla [rabiles] (Thunnus albacares), frescos o refrigerados","Thons à nageoires jaunes (Thunnus albacares), frais ou réfrigérés"
0302.33,30020,"Skipjack or stripe-bellied bonito, fresh or chilled","Listados o bonitos de vientre rayado, frescos o refrigerados","Listaos ou bonites à ventre rayé, frais ou réfrigérés"
0302.34,30021,"Bigeye tuna, fresh or chilled","Patudo, fresco o refrigerado","Thons obèses, frais ou réfrigéré"
0302.35,30022,"Bluefin tuna (Thunnus thynnus, Thunnus orientalis), fresh or chilled",Atún rojo (Thunnus thynnus)  fresco o refrigerado,"Thons rouges (Thunnus thynnus), frais ou réfrigéré"
0302.36,30023,Fresh or chilled Southern bluefin tuna (Thunnus maccoyii),"Atún blanco, fresco o refrigerado","Thons rouges du Sud (Thunnus maccoyii), frais ou réfrigéré"
0302.39,30024,"Other tunas, fresh or chilled","Los demás atunes, frescos o refrigerados","Autres thons, frais ou réfrigérés"
0302.40,30025,"Herrings (Clupea spp.), fresh or chilled","Arenques (Clupea spp.), frescos o refrigerados","Harengs (Clupea spp.), frais ou réfrigérés"
0302.50,30026,"Cod (Gadus spp.), fresh or chilled","Bacalaos (Gadus spp.), frescos o refrigerados","Morues (Gadus spp.), fraîches ou réfrigérées"
0302.61,30027,"Sardines, sardinellas, brisling or sprats, fresh or chilled","Sardinas, sardinelas y espadines, frescos o refrigerados","Sardines, sardinelles, sprats ou esprots, frais ou réfrigérés"
0302.62,30028,"Haddock, fresh or chilled","Eglefinos, frescos o refrigerados","Églefins, frais ou réfrigérés"
0302.63,30029,"Coalfish (=Saithe), fresh or chilled","Carboneros, frescos o refrigerados","Lieus noirs, frais ou réfrigérés"
0302.64,30030,"Mackerel (Scomber spp.), fresh or chilled","Caballas (Scomber spp.), frescas o refrigeradas","Maquereaux (Scomber spp.), frais ou réfrigérés"
0302.65,30031,"Dogfish and other sharks, fresh or chilled","Escualos, frescos o refrigerados","Squales, frais ou réfrigérés"
0302.66,30032,"Eels (Anguilla spp.), fresh or chilled","Anguilas (Anguilla spp.), frescas o refrigeradas","Anguilles (Anguilla spp.), fraîches ou réfrigérées"
0302.69,30035,"Other freshwater and saltwater fish, fresh or chilled","Los demás pescados de agua dulce y marinos, frescos o refrigerados","Autres poissons de mer et d'eau douce, frais ou réfrigérés"
0302.70,30036,"Livers and roes, fresh or chilled","Hígados, huevas y lechas, frescos o refrigerados","Foies, oeufs et laitances, frais ou réfrigérés"
0303.11,30039,Sockeye salmon(red salmon)(Oncorhynchus nerka) frozen,"Salmón rojo (Oncorhynchus nerka), congelado","Saumons rouges (Oncorhynchus nerka), congelés"
0303.19,30040,"Other Pacific salmon, frozen","Salmón del Pacifico, nep, congelado","Saumon du Pacifique, nca, congelé"
0303.21,30041,"Trout, frozen","Truchas, congeladas","Truites, congelées"
0303.22,30042,"Atlantic and Danube salmon, frozen","Salmones del Atlántico y del Danubio, congelados","Saumons de l'Atlantique et du Danube, congelés"
0303.29,30043,"Other salmonidae, frozen","Lo demás salmónidos, congelados","Autres salmonoïdes, congelés"
0303.31,30044,"Greenland, Atlantic and Pacific halibut, frozen","Halibut, congelados","Flétans, congelés"
0303.32,30045,"Plaice (Pleuronectes platessa), frozen","Sollas (Pleuronectes platessa), congeladas","Plies ou carrelets (Pleuronectes platessa), congelés"
0303.33,30046,"Sole (Solea spp.), frozen","Lenguados (Solea spp.), congelados","Soles (Solea spp.), congelées"
0303.39,30047,"Other flatfish, frozen","Los demás pescados planos, congelados","Autres poissons plats, congelés"
0303.41,30048,"Albacore or longfinned tunas (Thunnus alalunga), frozen","Albacores o atunes blancos (Thunnus alalunga), congelados","Thons blancs ou germons (Thunnus alalunga), congelés"
0303.42,30049,"Yellowfin tunas (Thunnus albacares), frozen","Atunes de aleta amarilla [rabiles] (Thunnus albacares), congelados","Thons à nageoires jaunes (Thunnus albacares), congelés"
0303.43,30050,"Skipjack or stripe-bellied bonito, frozen","Listados o bonitos de vientre rayado, congelados","Listaos ou bonites à ventre rayé, congelés"
0303.44,30051,"Bigeye tuna, frozen","Patudo, congelado","Thons obèses, congelés"
0303.45,30052,"Bluefin tuna (Thunnus thynnus, Thunnus orientalis), frozen","Atún rojo (Thunnus thynnus, Thunnus orientalis), congelado","Thons rouges (Thunnus thynnus, Thunnus orientalis), congelés"
0303.46,30053,"Southern bluefin tuna (Thunnus maccoyii), frozen","Atún rojo del Sur (Thunnus maccoyii), congelado","Thons rouges du Sud (Thunnus maccoyii), congelés"
0303.49,30054,"Other tunas, frozen","Los demás atunes, congelados","Autres thons, congelés"
0303.50,30055,"Herrings (Clupea spp.), frozen","Arenques (Clupea spp.), congelados","Harengs (Clupea spp.), congelés"
0303.60,30058,"Cod (Gadus spp.), frozen","Bacalaos (Gadus spp.), congelados","Morues (Gadus spp.), congelées"
0303.71,30061,"Sardines, sardinellas, brislings or sprats, frozen","Sardinas, sardinelas y espadines, congelados","Sardines, sardinelles, sprats ou esprots, congelés"
0303.72,30062,"Haddock, frozen","Eglefinos, congelados","Églefins, congelés"
0303.73,30063,"Coalfish (=Saithe), frozen","Carboneros, congelados","Lieus noirs, congelés"
0303.74,30064,"Mackerel (Scomber spp.), frozen","Caballas (Scomber spp.), congeladas","Maquereaux (Scomber spp.), congelés"
0303.75,30065,"Dogfish and other sharks, frozen","Escualos, congelados","Squales, congelés"
0303.76,30066,"Eels (Anguilla spp.), frozen","Anguilas (Anguilla spp.), congeladas","Anguilles (Anguilla spp.), congelées"
0303.77,30067,"Sea bass, frozen","Róbalos, congelados","Bars [loups], congelés"
0303.78,30068,"Hake, frozen","Merluzas, congeladas","Merlus, congelés"
0303.79,30069,"Other freshwater and saltwater fish, frozen","Los demás pescados de agua dulce y marinos, congelados","Autres poissons d'eau douce et de mer, congelés"
0303.80,30070,"Fish livers and roes, frozen","Hígados, huevas y lechas, congelados","Foies, oeufs et laitances, comestibles, congelés"
0304.10,30072,"Fresh or chilled fillets and other fish meat, whether or not minced","Filetes, frescos o refrigerados y demás carnes de pescado (incluso picadas)","Filets de poissons, frais ou réfrigérés et chair de poissons, même hachée"
0304.20,30076,"Fish fillets, frozen","Filetes de pescado, congelados","Filets de poissons, congelés"
0304.90,30080,"Fish meat, whether or not minced, frozen","Carne de pescado (incluso picadas), congelada","Chair de poissons, même hachée, congelée"
0305.10,30085,Fish flours fit for human consumption,Harina de pescado apta para la alimentación humana,Farines de poisson propres à l'alimentation humaine
0305.20,30086,"Fish livers and roes, dried, salted or in brine, smoked","Hígados, huevas y lechas, secos, salados o en salmuera, ahumados","Foies, oeufs et laitances de poissons, séchés, fumés, salés ou en saumure"
0305.30,30087,"Fish fillets, dried, salted or in brine, not smoked","Filetes secos, salados o en salmuera, sin ahumar","Filets de poissons, séchés, salés ou en saumure, mais non fumés"
0305.41,30088,"Salmons, including fillets, smoked","Salmones, incluso los filetes, ahumados","Saumons, y compris les filets, fumés"
0305.42,30089,"Herrings, including fillets, smoked","Arenques, incluso los filetes, ahumados","Harengs, y compris les filets, fumés"
0305.49,30090,"Other fish, including fillets, smoked",Los demás pescados ahumados incluso los filetes,"Autres poissons, y compris les filets, fumés"
0305.51,30091,"Dried cod (Gadus spp.), whether or not salted but not smoked","Bacalaos (Gadus spp.), secos, incluso salados, sin ahumar","Morues (Gadus spp.), séchées, même salées, mais non fumées"
0305.59,30092,"Other fish, dried, whether or not salted but not smoked","Los demás pescados secos, incluso salados, sin ahumar","Autres poissons séchés, même salés, mais non fumés"
0305.61,30093,"Herrings, salted or in brine","Arenques, salados  o en salmuera","Harengs, uniquement salés ou en saumure"
0305.62,30094,"Cod (Gadus spp.), salted or in brine","Bacalaos (Gadus spp.), salados o en salmuera","Morues (Gadus spp.), uniquement salées ou en saumure"
0305.63,30095,"Anchovies, salted or in brine","Anchoas, saladas o en salmuera","Anchois, uniquement salés ou en saumure"
0305.69,30096,"Other fish, salted or in brine","Los demás pescados, salados o en salmuera","Autres poissons, uniquement salés ou en saumure"
0306.11,30098,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), whether in shell or not, frozen","Langostas (Palinurus spp., Panulirus spp., Jasus spp.), incluso peladas, congeladas","Langoustes (Palinurus spp., Panulirus spp., Jasus spp.), même décortiquées, congelées"
0306.12,30099,"Lobsters (Homarus spp.), whether in shell or not, frozen","Bogavantes (Homarus spp.), incluso pelados, congelados","Homards (Homarus spp.), même décortiqués, congelés"
0306.13,30100,"Shrimps and prawns, whether in shell or not, frozen","Camarones, langostinos, quisquillas y gambas, incluso pelados, congelados","Crevettes, même décortiquées, congelées"
0306.14,30101,"Crabs, whether in shell or not, frozen","Cangrejos de mar, incluso pelados, congelados","Crabes, même décortiqués, congelés"
0306.19,30102,"Other crustaceans, whether in shell or not, frozen","Los demás crustáceos, incluso pelados, congelados","Autres crustacés, même décortiqués, congelés"
0306.21,30103,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), whether in shell or not, not frozen","Langostas (Palinurus spp., Panulirus spp., Jasus spp.), incluso peladas, sin congelar","Langoustes (Palinurus spp., Panulirus spp., Jasus spp.), même décortiquées, non congelées"
0306.22,30104,"Lobsters (Homarus spp.), whether in shell or not, not frozen","Bogavantes (Homarus spp.), incluso pelados, sin congelar","Homards (Homarus spp.), même décortiqués, non congelés"
0306.23,30105,"Shrimps and prawns, whether in shell or not, not frozen","Camarones, langostinos, quisquillas y gambas, incluso pelados, sin congelar","Crevettes, même décortiquées, non congelées"
0306.24,30106,"Crabs, whether in shell or not, not frozen","Cangrejos de mar, incluso pelados, sin congelar","Crabes, même décortiqués, non congelés"
0306.29,30107,"Other crustaceans, whether in shell or not, not frozen","Los demás crustáceos, incluso pelados, sin congelar","Autres crustacés, même décortiqués, non congelés"
0307.10,30109,"Oysters, live, fresh, chilled, frozen, dried, salted or in brine","Ostras, vivas, frescas, refrigeradas, congeladas, secas, saladas o en salmuera","Huîtres, vivantes, fraîches, réfrigérées, congelées, séchées, salées ou en saumure"
0307.21,30110,"Scallops, including queen scallop, live, fresh or chilled","Veneras (Vieiras) o volandeiras, vivas, frescas o refrigeradas","Coquilles Saint-Jacques ou peignes, pétoncles ou vanneaux, vivants, frais ou réfrigérés"
0307.29,30111,"Scallops, including queen scallops, other than live, fresh or chilled","Veneras (Vieiras) o volandeiras, excepto vivas, frescas o refrigeradas","Coquilles Saint-Jacques ou peignes, pétoncles ou vanneaux, congelés, séché, salés ou en saumure"
0307.31,30112,"Mussels, live, fresh or chilled","Mejillones, vivos, frescos o refrigerados","Moules, vivantes, fraîches ou réfrigérées"
0307.39,30113,"Mussels,  other than live, fresh or chilled","Mejillones, excepto vivos, frescos o refrigerados","Moules, autres que vivantes, fraîches ou réfrigérées"
0307.41,30114,"Cuttlefish and squid, live, fresh or chilled","Jibias y globitos, calamares y potas, vivos, frescos o refrigerados","Seiches, calmars et encornets, vivants, frais ou réfrigérés"
0307.49,30115,"Cuttlefish and squid,  other than live, fresh or chilled","Jibias, y globitos, calamares y potas, excepto vivos, frescos o refrigerados","Seiches , calmars et encornets,  autres que vivants, frais ou réfrigérés"
0307.51,30116,"Octopus, live, fresh or chilled","Pulpos, vivos, frescos, refrigerados","Poulpes ou pieuvres, vivants, frais ou réfrigérés"
0307.59,30117,"Octopus,  other than live, fresh or chilled","Pulpos, excepto vivos, frescos o refrigerados","Poulpes ou pieuvres, autres que vivants, frais ou réfrigérés"
0307.91,30118,"Other molluscs, including sea urchins, sea cucumbers and other aq. invertebrates, live, fresh or chilled","Los demás moluscos, erizos de mar, cohombros de mar y otros invertebrados acuáticos, vivos, frescos o refrigerados","Autres mollusques, oursins, concombres de mer et autres invertébrés aquatiques, vivants, frais ou réfrigérés"
