"Code","ISSCFCmapping","Identifier","Name_En","Name_Es","Name_Fr"
"0301.91","034.1.2.1.30","200","Trout (Salmo spp.), live","Truchas (Salmo spp.), vivas","Truites (Salmo spp.), vivantes"
"0301.92","034.1.2.1.20","201","Eels (Anguilla spp.), live","Anguilas (Anguilla spp.), vivas","Anguilles (Anguilla spp.), vivantes"
"0301.93","034.1.2.1.10","202","Carp, live","Carpas, vivas","Carpes, vivantes"
"0301.94","034.1.2.1.61","203","Bluefin tunas (Thunnus thynnus, Thunnus orientalis), live","Atunes comunes o de aleta azul (Thunnus thynnus), vivos","Thons rouges (Thunnus Thynnus), vivants"
"0301.95","034.1.2.1.62","204","Southern bluefin tunas (Thunnus maccoyii), live","Atunes del sur (Thunnus maccoyii), vivos","Thons rouges du sud (Thunnus maccoyii), vivants"
"0301.99","034.1.2.1.90","205","Other fish, live","Los demás peces, vivos","Autres poissons, vivants"
"0302.11","034.1.4.3.50","206","Trout (Salmo spp.), fresh or chilled","Truchas (Salmo spp.), frescas o refrigeradas","Truites (Salmo spp.), fraîches ou réfrigérées"
"0302.19","034.1.4.3.90","207","Other salmonidae, fresh or chilled","Los demás salmónidos, frescos o refrigerados","Autres salmonidés, frais ou réfrigérés"
"0302.21","034.1.5.1.19","208","Greenland, Atlantic and Pacific halibut, fresh or chilled","Halibut, fresco o refrigerado","Flétans, frais ou réfrigérés"
"0302.22","034.1.5.1.31","209","Plaice (Pleuronectes platessa), fresh or chilled","Sollas (Pleuronectes platessa), frescas o refrigeradas","Plies ou carrelets (Pleuronectes platessa), frais ou réfrigérés"
"0302.23","034.1.5.1.49","210","Sole (Solea spp.), fresh or chilled","Sollas (Solea spp.), frescas o refrigeradas","Soles (Solea spp.), fraîches ou réfrigérées"
"0302.29","034.1.5.1.90","211","Other flatfish, fresh or chilled","Los demás pescados planos, frescos o refrigerados","Autres poissons plats, frais ou réfrigérés"
"0302.31","034.1.5.6.40","212","Albacore or longfinned tuna (Thunnus alalunga), fresh or chilled","Albacoras o atunes blancos (Thunnus alalunga), frescos o refrigerados","Thons blancs ou germons (Thunnus alalunga), frais ou réfrigérés"
"0302.32","034.1.5.6.50","213","Yellowfin tunas (Thunnus albacares), fresh or chilled","Atunes de aleta amarilla [rabiles] (Thunnus albacares), frescos o refrigerados","Thons à nageoires jaunes (Thunnus albacares), frais ou réfrigérés"
"0302.33","034.1.5.6.20","214","Skipjack or stripe-bellied bonito, fresh or chilled","Listados o bonitos de vientre rayado, frescos o refrigerados","Listaos ou bonites à ventre rayé, frais ou réfrigérés"
"0302.34","034.1.5.6.60","215","Bigeye tuna, fresh or chilled","Patudo, fresco o refrigerado","Thons obèses, frais ou réfrigéré"
