"Code","Identifier","Name_En","Name_Es","Name_Fr"
"0301","400","Fish; live","Peces vivos","Poissons vivants"
"0302","401","Fish; fresh or chilled, excluding fish fillets and other fish meat of heading 03.04","Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04","Poissons frais ou réfrigérés, à l'exception des filets de poissons et autre chair de poissons du n° 03.04"
"0303","402","Fish; frozen, excluding fish fillets and other fish meat of heading 03.04","Pescado congelado, excepto los filetes y demás carne de pescado de la partida 03.04","Poissons congelés, à l'exception des filets de poissons et autre chair de poissons du n° 03.04"
"0304","403","Fish fillets and other fish meat (whether or not minced); fresh, chilled or frozen","Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados","Filets de poissons et autre chair de poissons (même hachée), frais, réfrigérés ou congelés"
"0305","404","Fish, dried, salted or in brine; smoked fish, whether or not cooked before, or during the smoking process","Pescado seco, salado o en salmuera; pescado ahumado, incluso cocido antes o durante el ahumado","Poissons séchés, salés ou en saumure; poissons fumés, même cuits avant ou pendant le fumage"
"0306","405","Crustaceans; in shell or not, live/fresh/chilled/frz/dried/salted or in brine;smoked, cooked or not before or during smoking;in shell, steamed or boiled, whether chilled/frz/dried/salted/in brine","Crustáceos, incluso pelados, vivos/frescos/refrigerados/congelados/secos/salados/salmuera/ahumados - incluso cocidos antes/durante el ahumado; crustáceos sin pelar, cocidos en agua o vapor","Crustacés, même décortiqués, vivants/frais/réfrigérés/congelés/séchés/salés/saumure/fumés - même cuits avant/pendant le fumage;crustacés non décortiqués, cuits à l’eau/à la vapeur"
"0307","406","Molluscs; whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; smoked molluscs, whether in shell or not, whether or not cooked before or during the smoking process","Moluscos, incluso separados de sus valvas, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; moluscos ahumados, incluso pelados, incluso cocidos antes o durante el ahumado","Mollusques, même séparés de leur coquille, vivants, frais, réfrigérés, congelés, séchés, salés ou en saumure; mollusques, même décortiqués, fumés, même cuits avant ou pendant le fumage"
"0308","407","Aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; smoked - whether or not cooked before or during the smoking process","Invertebrados acuáticos, excepto los crustáceos y moluscos, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; ahumados - incluso cocidos antes o durante el ahumado","Invertébrés aquatiques autres que les crustacés et mollusques, vivants, frais, réfrigérés, congelés, séchés, salés ou en saumure; fumés - même cuits avant ou pendant le fumage"
"0309","408","Flours, meals and pellets of fish, crustaceans, molluscs and other aquatic invertebrates, fit for human consumption","Harina, polvo y «pellets» de pescado, crustáceos, moluscos y demás invertebrados acuáticos, aptos para la alimentación humana","Farines, poudres et agglomérés sous forme de pellets de poisson, crustacés, mollusques et autres invertébrés aquatiques, propres à l’alimentation humaine"
"0508","409","Coral and similar materials, unworked or simply prepared, shells of molluscs, crustaceans or echinoderms and cuttle-bone, not cut to shape powder and waste thereof","Coral y materias similares, en bruto o simplemente preparados; valvas y caparazones de moluscos, crustáceos o equinodermos, y jibiones, en bruto o simplemente preparados","Corail et matières similaires, bruts ou simplement préparés; coquilles et carapaces de mollusques, de crustacés ou d'échinodermes et os de seiches, bruts ou simplement préparés"
"0511","410","Animal products not elsewhere specified or included; dead animals of chapter 1 or 3, unfit for human consumption","Productos de origen animal no expresados ni comprendidos en otra parte; animales muertos de los Capítulos 1 ó 3, impropios para la alimentación humana","Produits d'origine animale, non dénommés ni compris ailleurs; animaux morts des Chapitres 1 ou 3, impropres à l'alimentation humaine"
"1212","411","Locust beans, seaweeds and other algae, sugar beet, sugar cane, fresh/chilled/frzn/dried, whether or not ground; fruit stones, kernels and other vegetable products used primarily for human cons. nec","Algarrobas, algas, remolacha azucarera y caña de azúcar, frescas, refrigeradas, congeladas o secas, incluso pulverizadas","Caroubes, algues, betteraves à sucre et cannes à sucre, fraîches, réfrigérées, congelées ou séchées, même pulvérisées"
"1302","412","Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products","Jugos y extractos vegetales; materias pécticas, pectinatos y pectatos; agar-agar y demás mucílagos y espesativos derivados de los vegetales, incluso modificados","Sucs et extraits végétaux; matières pectiques, pectinates et pectates; agar-agar et autres mucilages et épaississants dérivés des végétaux, même modifiés"
