"Group","Member"
"30002","30004"
"30002","30005"
"30002","30006"
"30002","30007"
"30002","30008"
"30002","30009"
"30002","30164"
"30002","30165"
"30010","30011"
"30010","30013"
"30010","30014"
"30010","30015"
"30010","30016"
"30010","30017"
"30010","30018"
"30010","30019"
"30010","30020"
"30010","30021"
"30010","30022"
"30010","30023"
"30010","30024"
"30010","30166"
"30010","30167"
"30010","30168"
"30010","30169"
"30010","30170"
"30010","30171"
"30010","30172"
"30010","30173"
"30010","30174"
"30010","30175"
"30010","30176"
"30010","30177"
"30010","30178"
"30010","30179"
"30010","30180"
"30010","30181"
"30010","30182"
"30010","30183"
"30010","30184"
"30010","30185"
"30010","30186"
"30010","30187"
"30010","30188"
"30010","30189"
"30010","30190"
"30010","30191"
"30010","30192"
"30010","30193"
"30010","30194"
"30037","30039"
"30037","30044"
"30037","30045"
"30037","30046"
"30037","30047"
"30037","30048"
"30037","30049"
"30037","30050"
"30037","30051"
"30037","30052"
"30037","30053"
"30037","30054"
"30037","30056"
"30037","30195"
"30037","30196"
"30037","30197"
"30037","30198"
"30037","30199"
"30037","30200"
"30037","30201"
"30037","30202"
"30037","30203"
"30037","30204"
"30037","30205"
"30037","30206"
"30037","30207"
"30037","30208"
"30037","30209"
"30037","30210"
"30037","30211"
"30037","30212"
"30037","30213"
"30037","30214"
"30037","30215"
"30037","30216"
"30037","30217"
"30037","30218"
"30037","30219"
"30037","30220"
"30037","30306"
"30037","30307"
"30071","30081"
"30071","30082"
"30071","30083"
"30071","30221"
"30071","30222"
"30071","30223"
"30071","30224"
"30071","30225"
"30071","30226"
"30071","30227"
"30071","30228"
"30071","30229"
"30071","30230"
"30071","30231"
"30071","30232"
"30071","30233"
"30071","30234"
"30071","30235"
"30071","30236"
"30071","30237"
"30071","30238"
"30071","30239"
"30071","30240"
"30071","30241"
"30071","30242"
"30071","30243"
"30071","30244"
"30071","30245"
"30071","30246"
"30071","30247"
"30071","30248"
"30071","30249"
"30071","30250"
"30071","30251"
"30071","30252"
"30071","30253"
"30071","30254"
"30071","30255"
"30071","30256"
"30071","30257"
"30071","30258"
"30084","30085"
"30084","30086"
"30084","30088"
"30084","30089"
"30084","30090"
"30084","30091"
"30084","30092"
"30084","30093"
"30084","30094"
"30084","30095"
"30084","30096"
"30084","30259"
"30084","30260"
"30084","30261"
"30084","30262"
"30084","30263"
"30084","30264"
"30084","30265"
"30084","30266"
"30084","30267"
"30097","30098"
"30097","30099"
"30097","30101"
"30097","30102"
"30097","30103"
"30097","30104"
"30097","30106"
"30097","30107"
"30097","30268"
"30097","30269"
"30097","30270"
"30097","30271"
"30097","30272"
"30097","30273"
"30108","30110"
"30108","30111"
"30108","30112"
"30108","30113"
"30108","30114"
"30108","30115"
"30108","30116"
"30108","30117"
"30108","30274"
"30108","30275"
"30108","30276"
"30108","30277"
"30108","30278"
"30108","30279"
"30108","30308"
"30108","30309"
"30121","30122"
"30125","30126"
"30125","30127"
"30129","30287"
"30129","30288"
"30132","30133"
"30135","30136"
"30135","30137"
"30135","30138"
"30140","30141"
"30140","30142"
"30140","30143"
"30140","30144"
"30140","30145"
"30140","30146"
"30140","30147"
"30140","30148"
"30140","30289"
"30140","30290"
"30140","30291"
"30150","30151"
"30150","30153"
"30150","30154"
"30150","30292"
"30150","30293"
"30150","30294"
"30150","30295"
"30150","30296"
"30150","30297"
"30150","30298"
"30150","30299"
"30150","30300"
"30150","30301"
"30150","30302"
"30150","30303"
"30150","30304"
"30150","30305"
"30157","30158"
"30160","30161"
"30162","30163"
"30280","30281"
"30280","30282"
"30280","30283"
"30280","30284"
"30280","30285"
"30280","30286"
