Group,Member
30004,4
30005,72
30006,1201
30007,1409
30008,1410
30009,5
30011,18
30013,19
30014,23
30015,1006
30016,25
30017,26
30018,114
30019,115
30020,112
30021,116
30022,113
30023,1223
30024,118
30039,1225
30044,156
30045,1063
30046,158
30047,159
30048,199
30049,202
30050,197
30051,205
30052,198
30053,1224
30054,208
30056,191
30081,1353
30082,1561
30083,1231
30085,393
30086,452
30088,454
30089,461
30090,1469
30091,395
30092,1744
30093,970
30094,1262
30095,1261
30096,445
30098,1481
30099,1197
30101,508
30102,540
30103,1275
30104,1276
30106,1278
30107,1279
30110,1495
30111,1281
30112,552
30113,1283
30114,1395
30115,1285
30116,561
30117,1400
30122,1254
30126,935
30127,1255
30133,984
30136,772
30137,784
30138,788
30141,625
30142,634
30143,1215
30144,659
30145,673
30146,642
30147,1531
30148,914
30151,721
30153,722
30154,726
30158,700
30161,837
30163,1253
30164,1263
30165,1264
30166,16
30167,15
30168,1015
30169,61
30170,65
30171,1213
30172,121
30173,56
30174,1424
30175,117
30176,73
30177,46
30178,47
30179,1023
30180,2
30181,1621
30182,50
30183,8
30184,9
30185,7
30186,12
30187,1620
30188,122
30189,1164
30190,1207
30191,1035
30192,52
30193,1295
30194,127
30195,1226
30196,134
30197,150
30198,1210
30199,129
30200,128
30201,132
30202,1072
30203,1214
30204,216
30205,186
30206,1436
30207,207
30208,163
30209,164
30210,165
30211,1079
30212,166
30213,1626
30214,169
30215,217
30216,218
30217,1208
30218,170
30219,1299
30220,223
30221,1211
30222,899
30223,1109
30224,1627
30225,967
30226,1259
30227,230
30228,238
30229,1169
30230,1439
30231,1308
30232,1631
30233,1634
30234,1640
30235,1572
30236,1574
30237,1444
30238,1212
30239,260
30240,1129
30241,1649
30242,273
30243,275
30244,290
30245,1145
30246,291
30247,294
30248,109
30249,1260
30250,270
30251,1171
30252,1209
30253,302
30254,305
30255,1323
30256,1654
30257,1258
30258,1776
30259,1675
30260,1385
30261,1748
30262,57
30263,1679
30264,1671
30265,451
30266,885
30267,1678
30268,1193
30269,1683
30270,1684
30271,1488
30272,1685
30273,1277
30274,551
30275,1691
30276,1687
30277,1692
30278,546
30279,1619
30281,1750
30282,1764
30283,1751
30284,1765
30285,1767
30286,1769
30287,1000
30288,1001
30289,953
30290,678
30291,679
30292,727
30293,1589
30294,731
30295,734
30296,733
30297,1711
30298,1552
30299,748
30300,729
30301,750
30302,1772
30303,1773
30304,1774
30305,1775
30306,152
30307,1625
30308,579
30309,1287
