"Group","ISSCFCmapping","Member"
"200","true","4"
"201","true","72"
"202","true","1201"
"203","true","1409"
"204","true","1410"
"205","true","5"
"205","false","6"
"205","false","1407"
"205","false","1408"
"205","false","1411"
"205","false","1788"
"206","true","18"
"207","false","14"
"207","true","19"
"207","false","1161"
"208","false","20"
"208","false","21"
"208","false","22"
"208","true","23"
"209","true","1006"
"210","true","25"
"210","false","1013"
"211","false","1"
"211","false","24"
"211","true","26"
"211","false","1005"
"211","false","1007"
"211","false","1008"
"211","false","1009"
"211","false","1010"
"211","false","1011"
"211","false","1012"
"211","false","1014"
"212","true","114"
"213","true","115"
"214","true","112"
"215","true","116"
"216","true","113"
"217","true","1223"
"218","true","118"
"219","true","1225"
"220","false","153"
"220","false","154"
"220","false","155"
"220","true","156"
"221","true","1063"
"222","true","158"
"222","false","1070"
"223","false","92"
"223","false","157"
"223","true","159"
"223","false","901"
"223","false","1064"
"223","false","1065"
"223","false","1066"
"223","false","1067"
"223","false","1068"
"223","false","1069"
"223","false","1071"
"223","false","1152"
"224","true","199"
"224","false","200"
"224","false","201"
"225","true","202"
"225","false","203"
"225","false","204"
"226","true","197"
"226","false","1567"
"226","false","1568"
"227","true","205"
"227","false","1569"
"227","false","1570"
"228","true","198"
"229","true","1224"
"230","true","208"
"230","false","209"
"230","false","210"
"231","false","189"
"231","false","190"
"231","true","191"
"232","true","1353"
"233","true","1561"
"234","false","75"
"234","false","76"
"234","false","77"
"234","false","80"
"234","false","81"
"234","false","335"
"234","false","340"
"234","false","890"
"234","false","892"
"234","false","1230"
"234","true","1231"
"234","false","1249"
"234","false","1269"
"234","false","1272"
"234","false","1273"
"234","false","1274"
"234","false","1341"
"234","false","1348"
"234","false","1350"
"234","false","1354"
"234","false","1450"
"234","false","1451"
"234","false","1455"
"234","false","1456"
"234","false","1457"
"234","false","1652"
"234","false","1656"
"234","false","1658"
"234","false","1659"
"234","false","1663"
"234","false","1719"
"234","false","1720"
"234","false","1721"
"234","false","1833"
"235","true","393"
"236","false","363"
"236","false","364"
"236","false","365"
"236","false","366"
"236","false","373"
"236","false","374"
"236","false","449"
"236","false","450"
"236","true","452"
"236","false","468"
"237","true","454"
"238","false","460"
"238","true","461"
"239","false","45"
"239","false","160"
"239","false","410"
"239","false","418"
"239","false","455"
"239","false","456"
"239","false","457"
"239","false","458"
"239","false","459"
"239","false","462"
"239","false","463"
"239","false","464"
"239","false","465"
"239","false","466"
"239","false","467"
"239","false","904"
"239","false","919"
"239","false","1220"
"239","false","1389"
"239","false","1466"
"239","false","1468"
"239","true","1469"
"239","false","1680"
"239","false","1682"
"240","false","357"
"240","false","394"
"240","true","395"
"241","false","397"
"241","false","403"
"241","false","415"
"241","false","443"
"241","false","912"
"241","false","972"
"241","false","976"
"241","false","981"
"241","false","1359"
"241","false","1362"
"241","false","1363"
"241","false","1365"
"241","false","1366"
"241","false","1459"
"241","false","1463"
