"Code","Identifier","Max_Length","Min_Length","Name","Type"
"100","100","11.999","0","Up to 11.9","Decked"
"110","110","17.999","12","12-17.9","Decked"
"120","120","23.999","18","18-23.9","Decked"
"130","130","29.999","24","24-29.9","Decked"
"140","140","35.999","30","30-35.9","Decked"
"150","150","44.999","36","36-44.9","Decked"
"160","160","59.999","45","45-59.9","Decked"
"170","170","74.999","60","60-74.9","Decked"
"180","180","999","75","75 and over","Decked"
"200","200","5.999","0","Up to 5.9","Undecked"
"210","210","11.999","6","6-11.9","Undecked"
"220","220","17.999","12","12-17.9","Undecked"
"230","230","23.999","18","18-23.9","Undecked"
"240","240","29.999","24","24-29.9","Undecked"
"250","250","999.999","30","30 and over","Undecked"
"900","900","999.999","0","Unknown","Unidentified"
