"Code","Subcatgory","Abbreviation","Level1_Code","Level1_Catgory","Level1_Abbreviation"
"1.4","Side trawlers","TS","1","Trawlers","TO"
"1.5","Stern trawlers","TT","1","Trawlers","TO"
"1.3","Beam trawlers","BT","1","Trawlers","TO"
"1.9","Trawler nei","TOX","1","Trawlers","TO"
"2.9","Purse seiners nei","SPX","2","Purse seiners","SP"
"6.1","Drifters","GD","6","Gillnetters","GO"
"6.9","Gillnetters nei","GOX","6","Gillnetters","GO"
"7.1","Pot vessels","WP","7","Trap setters","WO"
"7.9","Trap setters nei","WOX","7","Trap setters","WO"
"8.9","Longliners nei","LLX","8","Longliners","LL"
"9.1","Jigger vessels","LJ","9","Line vessels (other)","LO"
"9.4","Hand liner vessels","LH","9","Line vessels (other)","LO"
"9.2","Pole and Line vessels","LP","9","Line vessels (other)","LO"
"9.3","Trollers","LT","9","Line vessels (other)","LO"
"10.1","Purse seine/pelagic trawlers","MTS","10","Multipurpose vessels","MO"
"10.9","Multipurpose vessels nei","MOX","10","Multipurpose vessels","MO"
"4.9","Dredgers nei","DOX","4","Dredgers","DO"
"5.9","Lift netters nei","NOX","5","Lift netters","NO"
"18.9","Recreational fishing vessels nei","ROX","18","Recreational fishing vessels","RO"
"20.9","Motherships nei","HOX","20","Motherships","HO"
"2.1","Purse Seiners - American type","SPA","2","Purse seiners","SP"
"2.2","Purse Seiners - European type","SPE","2","Purse seiners","SP"
"3.9","Seiners nei","SOX","3","Seiners (other)","SO"
"2.3","Drum seiners","SPD","2","Purse seiners","SP"
"10.2","Multipurpose trawlers (in combination with longline, trap, gillnet, dredge)","MTW","10","Multipurpose vessels","MO"
"10.3","Multipurpose non trawlers (longline, gillnet, trap)","MLG","10","Multipurpose vessels","MO"
"1.1","Otter trawlers","OT","1","Trawlers","TO"
"1.2","Pair trawlers","PT","1","Trawlers","TO"
"8.1","Bottom longliners","LB","8","Longliners","LL"
"8.2","Midwater longliners","LM","8","Longliners","LL"
"6.2","Set netters","GS","6","Gillnetters","GO"
"19.9","Other fishing vessels nei","FXX","19","Other fishing vessels","FX"
"21.1","Refrigerated transport vessels","FR","21","Fish carriers and reefers","FO"
"21.9","Fisher carriers and reefers nei","FOX","21","Fish carriers and reefers","FO"
"23.1","Bunkering tanker vessels","SB","23","Support vessels","SA"
"23.2","Towing vessels","ST","23","Support vessels","SA"
"23.9","Support and auxiliary ships nei","SAX","23","Support vessels","SA"
"25.9","Fishery research and survey vessels nei","RTX","25","Fishery research and survey vessels","RT"
"26.9","Patrol vessels nei","PXX","26","Patrol vessels","PX"
"27.9","Fishery training vessels","COX","27","Fishery training vessels","CO"
"29.1","Multipurpose vessels supporting fishing related activities","VOM","29","Vessels supporting fishing related activities","VO"
"29.9","Vessels supporting fishing related activities, nei","VOX","29","Vessels supporting fishing related activities","VO"
"9.9","Line vessels nei","LOX","9","Line vessels (other)","LO"
