"Code","Lower_Limit","Upper_Limit","Level1_Code","Level1_Lower_Limit","Level1_Upper_Limit"
"02","1","24.9","021","1","4.9"
"02","1","24.9","022","5","9.9"
"02","1","24.9","023","10","14.9"
"02","1","24.9","024","15","19.9"
"02","1","24.9","025","20","24.9"
"06","150","249.9","061","150","199.9"
"06","150","249.9","062","200","249.9"
"07","250","499.9","071","250","299.9"
"07","250","499.9","072","300","349.9"
"07","250","499.9","073","350","399.9"
"07","250","499.9","074","400","449.9"
"07","250","499.9","075","450","499.9"
"08","500","999.9","081","500","599.9"
"08","500","999.9","082","600","699.9"
"08","500","999.9","083","700","799.9"
"08","500","999.9","084","800","899.9"
"08","500","999.9","085","900","999.9"
"10","2000","3999.9","101","2000","2999.9"
"10","2000","3999.9","102","3000","3999.9"
"11","4000","9999.9","111","4000","4999.9"
"11","4000","9999.9","112","5000","5999.9"
"11","4000","9999.9","113","6000","6999.9"
"11","4000","9999.9","114","7000","7999.9"
"11","4000","9999.9","115","8000","8999.9"
"11","4000","9999.9","116","9000","9999.9"
"12","10000","99999.9","111","10000","19999.9"
"12","10000","99999.9","112","20000","29999.9"
"12","10000","99999.9","113","30000","39999.9"
"12","10000","99999.9","114","40000","49999.9"
"12","10000","99999.9","115","50000","99999.9"
