"Code","Identifier","Lower_Limit","Upper_Limit"
"021","21","1","4.9"
"022","22","5","9.9"
"023","23","10","14.9"
"024","24","15","19.9"
"025","25","20","24.9"
"061","61","150","199.9"
"062","62","200","249.9"
"071","71","250","299.9"
"072","72","300","349.9"
"073","73","350","399.9"
"074","74","400","449.9"
"075","75","450","499.9"
"081","81","500","599.9"
"082","82","600","699.9"
"083","83","700","799.9"
"084","84","800","899.9"
"085","85","900","999.9"
"101","101","2000","2999.9"
"102","102","3000","3999.9"
"111","111","4000","4999.9"
"112","112","5000","5999.9"
"113","113","6000","6999.9"
"114","114","7000","7999.9"
"115","115","8000","8999.9"
"116","116","9000","9999.9"
"111","121","10000","19999.9"
"112","122","20000","29999.9"
"113","123","30000","39999.9"
"114","124","40000","49999.9"
"115","125","50000","99999.9"
