"Abbreviation","Code","Identifier","Name_En"
"OT","1.1","11","Otter trawlers"
"PT","1.2","12","Pair trawlers"
"BT","1.3","13","Beam trawlers"
"TS","1.4","14","Side trawlers"
"TT","1.5","15","Stern trawlers"
"TOX","1.9","19","Trawler nei"
"SPA","2.1","21","Purse Seiners - American type"
"SPE","2.2","22","Purse Seiners - European type"
"SPD","2.3","23","Drum seiners"
"SPX","2.9","29","Purse seiners nei"
"SOX","3.9","39","Seiners nei"
"DOX","4.9","49","Dredgers nei"
"NOX","5.9","59","Lift netters nei"
"GD","6.1","61","Drifters"
"GS","6.2","62","Set netters"
"GOX","6.9","69","Gillnetters nei"
"WP","7.1","71","Pot vessels"
"WOX","7.9","79","Trap setters nei"
"LB","8.1","81","Bottom longliners"
"LM","8.2","82","Midwater longliners"
"LLX","8.9","89","Longliners nei"
"LJ","9.1","91","Jigger vessels"
"LP","9.2","92","Pole and Line vessels"
"LT","9.3","93","Trollers"
"LH","9.4","94","Hand liner vessels"
"LOX","9.9","99","Line vessels nei"
"MTS","10.1","101","Purse seine/pelagic trawlers"
"MTW","10.2","102","Multipurpose trawlers (in combination with longline, trap, gillnet, dredge)"
"MLG","10.3","103","Multipurpose non trawlers (longline, gillnet, trap)"
"MOX","10.9","109","Multipurpose vessels nei"
"ROX","18.9","189","Recreational fishing vessels nei"
"FXX","19.9","199","Other fishing vessels nei"
"HOX","20.9","209","Motherships nei"
"FR","21.1","211","Refrigerated transport vessels"
"FOX","21.9","219","Fisher carriers and reefers nei"
"SB","23.1","231","Bunkering tanker vessels"
"ST","23.2","232","Towing vessels"
"SAX","23.9","239","Support and auxiliary ships nei"
"RTX","25.9","259","Fishery research and survey vessels nei"
"PXX","26.9","269","Patrol vessels nei"
"COX","27.9","279","Fishery training vessels"
"VOM","29.1","291","Multipurpose vessels supporting fishing related activities"
"VOX","29.9","299","Vessels supporting fishing related activities, nei"
