"Group","Member"
"10","20"
"10","30"
"10","120"
"10","130"
"10","930"
"10","940"
"21","2110"
"21","2190"
"23","2310"
"23","2320"
"23","2390"
"26","2690"
"29","2910"
"29","2990"
"140","160"
"140","710"
"140","720"
"140","733"
"200","210"
"200","220"
"200","1000"
"230","240"
"230","250"
"260","310"
"260","970"
"260","990"
"380","400"
"380","420"
"380","800"
"380","830"
"430","1990"
"440","470"
"480","500"
"530","530"
"550","600"
"650","2590"
"660","2790"
"700","730"
"750","330"
"750","340"
"750","350"
"750","360"
"750","9900"
