FAO ISSCFC ,Basic Level,Parent Code,ISSCAAP Code, HS 2012 , SITC3 Code, CPC 2.1, FAO ISSCFC description in English
03,0,ROOT,X,03,03,,"Fish, crustaceans, molluscs and preparations"
034,0,03,X,0302,034,,"Fish fresh (live or dead), chilled or frozen"
034.1,0,034,X,0302,034.1,,"Fish, fresh (live or dead) or chilled (excluding fillets)"
034.1.1,0,034.1,39,0301.99,034.11,,"Fish live, not for human consumption"
034.1.1.1,0,034.1.1,39,0301.19,034.11,,Fish for ornamental purposes
034.1.1.1.11,1,034.1.1.1,13,0301.11,034.11,0411,Ornamental freshwater fish
034.1.1.1.12,1,034.1.1.1,39,0301.19,034.11,0411,Ornamental saltwater fish
034.1.1.1.19,1,034.1.1.1,39,0301.19,034.11,0411,Ornamental fish nei
034.1.1.2,0,034.1.1,X,0301.99,034.11,,Fish for culture
034.1.1.2.90,1,034.1.1.2,39,0301.99,034.11,0419,"Fish for culture incl. ova, fingerlings etc."
034.1.2,0,034.1,X,0301.99,034.11,,"Fish live, for human consumption"
034.1.2.1,0,034.1.2,X,0301.99,034.11,,Miscellaneous fish live for human food
034.1.2.1.10,1,034.1.2.1,11,0301.93,034.11,0421,Carps live
034.1.2.1.19,1,034.1.2.1,13,0301.99,034.11,0421,"Freshwater fish nei, live"
034.1.2.1.20,1,034.1.2.1,22,0301.92,034.11,0429,Eels and elvers live
034.1.2.1.22,1,034.1.2.1,21,0301.99,034.11,0429,"Sturgeon, live"
034.1.2.1.25,1,034.1.2.1,23,0301.99,034.11,0422,"Salmons, live"
034.1.2.1.30,1,034.1.2.1,23,0301.91,034.11,0422,Trouts and chars live
034.1.2.1.61,1,034.1.2.1,36,0301.94,034.11,0425,"Atlantic (Thunnus thynnus), Pacific (T.orientalis) bluefin tuna, live"
034.1.2.1.62,1,034.1.2.1,36,0301.95,034.11,0425,"Southern bluefin tuna (Thunnus maccoyii), live"
034.1.2.1.89,1,034.1.2.1,39,0301.99,034.11,0429,"Saltwater fish nei, live"
034.1.2.1.90,1,034.1.2.1,39,0301.99,034.11,0429,"Fish live, nei"
034.1.3,0,034.1,13,0302.89,034.18,,"Freshwater fish, fresh or chilled"
034.1.3.1,0,034.1.3,11,0302.73,034.18,,"Carps, barbels and other cyprinids, fresh or chilled"
034.1.3.1.10,1,034.1.3.1,11,0302.73,034.18,0421,"Carps, fresh or chilled"
034.1.3.2,0,034.1.3,12,0302.71,034.18,,"Tilapias and other cichlids, fresh or chilled"
034.1.3.2.20,1,034.1.3.2,12,0302.71,034.18,0421,"Tilapias, fresh or chilled"
034.1.3.9,0,034.1.3,13,0302.89,034.18,,"Miscellaneous freshwater fish, fresh or chilled"
034.1.3.9.20,1,034.1.3.9,13,0302.89,034.18,0421,"Pike, fresh or chilled"
034.1.3.9.30,1,034.1.3.9,13,0302.72,034.18,0421,"Catfish, fresh or chilled"
034.1.3.9.40,1,034.1.3.9,13,0302.89,034.18,0421,"Perch, fresh or chilled"
034.1.3.9.50,1,034.1.3.9,13,0302.79,034.18,0421,"Nile perch, fresh or chilled"
034.1.3.9.55,1,034.1.3.9,13,0302.79,034.18,0421,"Nile perch and snakeheads (Channa spp.),  fresh or chilled"
034.1.3.9.90,1,034.1.3.9,13,0302.89,034.18,0421,"Freshwater fish, nei, fresh or chilled"
034.1.4,0,034.1,25,0302.89,034.18,,"Diadromous fish, fresh or chilled"
034.1.4.1,0,034.1.4,21,0302.89,034.18,,"Sturgeons, paddlefishes, fresh or chilled"
034.1.4.1.10,1,034.1.4.1,21,0302.89,034.18,0429,"Sturgeons, fresh or chilled"
034.1.4.2,0,034.1.4,22,0302.74,034.18,,"River eels, fresh or chilled"
034.1.4.2.10,1,034.1.4.2,22,0302.74,034.18,0429,"Eels, fresh or chilled"
034.1.4.2.11,1,034.1.4.2,22,0302.74,034.18,0429,"Elvers, fresh or chilled"
034.1.4.3,0,034.1.4,23,0302.19,034.12,,"Salmons, trouts, smelts, fresh or chilled"
034.1.4.3.10,1,034.1.4.3,23,0302.19,034.12,0422,"Whitefishes, fresh or chilled"
034.1.4.3.20,1,034.1.4.3,23,0302.14,034.12,0422,"Atlantic and Danube salmons, fresh or chilled"
034.1.4.3.30,1,034.1.4.3,23,0302.13,034.12,0422,"Pacific salmons, fresh or chilled"
034.1.4.3.39,1,034.1.4.3,23,0302.14,034.12,0422,"Salmons, fresh or chilled, nei"
034.1.4.3.50,1,034.1.4.3,23,0302.11,034.12,0422,"Trouts and chars, fresh or chilled"
034.1.4.3.60,1,034.1.4.3,23,0302.19,034.18,0422,"Smelt, fresh or chilled"
