"CPC_Code","Identifier","Name_En"
"411","319","Ornamental fish"
"4111","320","Wild ornamental fish"
"4112","321","Farmed ornamental fish"
"419","322","Other live fish, not for human consumption, including seeds and feeds for aquaculture"
"4191","323","Other wild live fish, not for human consumption, including seeds and feeds for aquaculture"
"4192","324","Other farmed live fish, not for human consumption, including seeds and feeds for aquaculture"
"421","327","Freshwater fish, live, fresh or chilled"
"4211","328","Wild freshwater fish, live, fresh or chilled"
"4212","329","Farmed freshwater fish, live, fresh or chilled"
"422","330","Salmonidae, live, fresh or chilled"
"4221","331","Wild salmonidae, live, fresh or chilled"
"4222","332","Farmed salmonidae, live, fresh or chilled"
"423","333","Flatfish, live, fresh or chilled"
"4231","334","Wild flatfish, live, fresh or chilled"
"4232","335","Farmed flatfish, live, fresh or chilled"
"424","336","Fish of Gadiformes, live, fresh or chilled"
"4241","337","Wild fish of Gadiformes, live, fresh or chilled"
"4242","338","Farmed fish of Gadiformes, live, fresh or chilled"
"425","342","Tunas, skipjack or stripe-bellied bonito, live, fresh or chilled"
"4251","343","Wild tunas, skipjack or stripe-bellied bonito, live, fresh or chilled"
"4252","344","Farmed tunas, skipjack or stripe-bellied bonito, live, fresh or chilled"
"429","345","Other fish, live, fresh or chilled"
"4291","346","Other wild fish, live, fresh or chilled"
"4292","347","Other farmed fish, live, fresh or chilled"
"431","351","Crabs, live, fresh or chilled"
"4311","352","Wild crabs, live, fresh or chilled"
"4312","353","Farmed crabs, live, fresh or chilled"
"432","354","Rock lobster and other sea crawfish, live, fresh or chilled"
"433","357","Lobsters (Homarus spp.), live, fresh or chilled"
"4331","358","Wild lobsters (Homarus spp.), live, fresh or chilled"
"4332","359","Farmed lobsters (Homarus spp.), live, fresh or chilled"
"434","360","Norway lobsters, live, fresh or chilled"
"4341","361","Wild Norway lobsters, live, fresh or chilled"
"4342","362","Farmed Norway lobsters, live, fresh or chilled"
"435","363","Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled"
"4351","364","Wild cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled"
"4352","365","Farmed cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled"
"436","366","Other shrimps and prawns, live, fresh or chilled"
"4361","367","Other wild shrimps and prawns, live, fresh or chilled"
"4362","368","Other farmed shrimps and prawns, live, fresh or chilled"
"439","369","Other crustaceans, live, fresh or chilled"
"4391","370","Other wild crustaceans, live, fresh or chilled"
"4392","371","Other farmed crustaceans, live, fresh or chilled"
"441","374","Abalone, live, fresh or chilled"
"4411","375","Wild abalone, live, fresh or chilled"
"4412","376","Farmed abalone, live, fresh or chilled"
"442","377","Oysters, live, fresh or chilled"
"4421","378","Wild oysters, live, fresh or chilled"
"4422","379","Farmed oysters, live, fresh or chilled"
"443","380","Mussels, live, fresh or chilled"
"4431","381","Wild mussels, live, fresh or chilled"
"4432","382","Farmed mussels, live, fresh or chilled"
"444","383","Scallops, live, fresh or chilled"
"4441","384","Wild scallops, live, fresh or chilled"
"4442","385","Farmed scallops, live, fresh or chilled"
"445","386","Clams, cockles and ark shells, live, fresh or chilled"
"4451","387","Wild clams, cockles and ark shells, live, fresh or chilled"
"4452","388","Farmed clams, cockles and ark shells, live, fresh or chilled"
"446","389","Cuttle fish and squid, live, fresh or chilled"
"4461","390","Wild cuttle fish and squid, live, fresh or chilled"
"4462","391","Farmed cuttle fish and squid, live, fresh or chilled"
"447","392","Octopus, live, fresh or chilled"
"4471","393","Wild octopus, live, fresh or chilled"
"4472","394","Farmed octopus, live, fresh or chilled"
"449","396","Other molluscs, live, fresh or chilled"
"4491","397","Other wild molluscs, live, fresh or chilled"
"4492","398","Other farmed molluscs, live, fresh or chilled"
"451","401","Sea cucumbers, live, fresh or chilled"
"4511","402","Wild sea cucumbers, live, fresh or chilled"
"4512","403","Farmed sea cucumbers, live, fresh or chilled"
"452","404","Sea urchins, live, fresh or chilled"
"4521","405","Wild sea urchins, live, fresh or chilled"
"4522","406","Farmed sea urchins, live, fresh or chilled"
"453","407","Jellyfish, live, fresh or chilled"
"4530","408","Jellyfish, live, fresh or chilled"
"459","409","Other aquatic invertebrates, live, fresh or chilled, n.e.c."
"4590","410","Other aquatic invertebrates, live, fresh or chilled, n.e.c."
"491","412","Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone; live aquatic plants and animals for ornamental purpose"
"4911","413","Coral and similar products, shells of molluscs, crustaceans or echinoderms and cuttle-bone"
"4912","414","Wild live aquatic plants and animals for ornamental purpose"
"4913","415","Farmed live aquatic plants and animals for ornamental purpose"
"492","416","Natural sponges of aquatic animal origin"
"4920","417","Natural sponges of aquatic animal origin"
"493","418","Seaweeds and other algae, fresh, frozen or dried, whether or not ground"
"4931","420","Wild seaweeds and other algae, fresh, frozen or dried, whether or not ground, fit for human consumption"
"4932","421","Farmed seaweeds and other algae, fresh, frozen or dried, whether or not ground, fit for human consumption"
"4933","422","Wild seaweeds and other algae, fresh, frozen or dried, whether or not ground, unfit for human consumption"
"4934","423","Farmed seaweeds and other algae, fresh, frozen or dried, whether or not ground, unfit for human consumption"
"2121","579","Fish, frozen (excluding fish fillets and fish meat)"
"21211","581","Freshwater fish, frozen"
"21212","582","Salmonidae, frozen"
"21213","583","Flatfish, frozen"
"21214","584","Fish of Gadiformes, frozen"
"21215","585","Tunas, skipjack or stripe-bellied bonito, frozen"
"21216","586","Other pelagic fish, frozen"
"21219","587","Other fish, frozen"
"2122","588","Fish fillets and meat; fish livers and roes"
"21221","589","Fish fillets and fish meat (whether or not minced), fresh or chilled"
"21222","590","Fish fillets, frozen"
"21223","591","Fish meat, whether or not minced, frozen"
"21224","592","Fish fillets, dried, salted or in brine, but not smoked"
"21225","593","Fish livers and roes, fresh or chilled"
"21226","594","Fish livers and roes, frozen"
"21227","595","Fish livers and roes dried, smoked, salted or in brine"
"2123","596","Fish, dried, whether or not salted, or in brine; smoked incl. fillets; edible fish meal"
"21231","597","Fish, dried, but not smoked; salted, but not dried or smoked; or in brine"
"21232","598","Fish including fillets, smoked"
"21233","599","Edible fish meal"
"21234","600","Edible fish offal ; fish fins, heads, tails, maws and other edible fish offal"
"2124","601","Fish, otherwise prepared or preserved; caviar and caviar substitutes"
"21241","602","Prepared dishes and meals based on fish, molluscs and crustaceans"
"21242","603","Fish, otherwise prepared or preserved"
"21243","604","Caviar and caviar substitutes"
"2125","605","Crustaceans, frozen, dried, salted or in brine"
"21251","607","Crabs, frozen, dried, salted or in brine"
"21252","608","Rock lobster and other sea crawfish, frozen, dried, salted or in brine"
"21253","609","Lobsters, frozen, dried, salted or in brine"
"21254","610","Norway lobsters, frozen, dried, salted or in brine"
"21255","611","Cold-water shrimps and prawns, frozen, dried, salted or in brine"
"21256","612","Other shrimps and prawns, frozen, dried, salted or in brine"
"21259","613","Other crustaceans, frozen, dried, salted or in brine"
"2126","614","Molluscs and other aquatic invertebrates, frozen, smoked, dried, salted or in brine"
"21261","616","Abalone, frozen, smoked, dried, salted or in brine"
"21262","617","Oysters, frozen, smoked, dried, salted or in brine"
"21263","618","Mussels, frozen, smoked, dried, salted or in brine"
"21264","619","Scallops, frozen, smoked, dried, salted or in brine"
"21265","620","Clams, cockles and ark shells, frozen, smoked, dried, salted or in brine"
"21266","621","Cuttle fish and squid, frozen, smoked, dried, salted or in brine"
"21267","622","Octopus, frozen, smoked, dried, salted or in brine"
"21268","623","Other molluscs, frozen, smoked, dried, salted or in brine"
"21269","624","Other aquatic invertebrates, frozen, smoked, dried, salted or in brine"
"2127","625","Crustaceans, otherwise prepared or preserved"
"21270","626","Crustaceans, otherwise prepared or preserved"
"2128","627","Molluscs and other aquatic invertebrates, otherwise prepared or preserved"
"21280","628","Molluscs and other aquatic invertebrates, otherwise prepared or preserved"
"2129","629","Flours, meals and pellets, inedible, and other products n.e.c., of fish or of crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, molluscs or other aquatic invertebrates unfit for human consumption"
"21291","630","Flours, meals and pellets, inedible, of fish, crustaceans, molluscs or other aquatic invertebrates"
"21299","631","Products n.e.c. of fish, crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, molluscs or other aquatic invertebrates unfit for human consumption"
"2152","688","Animal fats, rendered"
"21524","692","Fish-liver oils and their fractions"
