FAOSTAT_Code,Identifier,Name_En,Name_Es,Name_Fr
1501,72002,"Freshwater & diadromous fish, fresh","Peces de agua dulce et diádromos, frescos","Poissons d'eau douce et diadromes, frais"
1502,72003,"Freshwater & diadromous, frozen, whole","Peces de agua dulce et diádromos, congelados enteros","Poissons d'eau douce et diadromes, congelés, entiers"
1503,72004,"Freshwater & diadromous, fresh fillets","Peces de agua dulce et diádromos, filetes frescos","Poissons d'eau douce et diadromes, filets frais"
1504,72005,"Freshwater & diadromous, frozen fillets","Peces de agua dulce et diádromos, filetes congelados","Poissons d'eau douce et diadromes, filets congelés"
1505,72006,"Freshwater & diadromous, cured","Peces de agua dulce et diádromos, curados","Poissons d'eau douce et diadromes, séchés, salés, fumés"
1506,72007,"Freshwater & diadromous, canned",Peces de agua dulce et diádromos en conserva,"Poissons d'eau douce et diadromes, en conserve"
1507,72008,"Freshwater & diadromous, preparations nei","Peces de agua dulce et diádromos, preparaciones nep","Poissons d'eau douce et diadromes, préparations nca"
1508,72009,"Freshwater & diadromous, meals","Peces de agua dulce et diádromos, harina","Poissons d'eau douce et diadromes, farine"
1509,72010,"Freshwater & diadromous, body oils","Peces de agua dulce et diádromos, aceite","Poissons d'eau douce et diadromes, huile"
1510,72011,"Freshwater & diadromous, liver oils","Peces de agua dulce et diádromos, aceite higado","Poissons d'eau douce et diadromes, huile de foie"
1511,72012,"Freshwater & diadromous, meal from offal","Peces de agua dulce et diádromos, harina despojos","Poissons d'eau douce et diadromes, farine d'abats"
1512,72013,"Freshwater & diadromous, dried, salted","Peces de agua dulce et diádromos, secos, salados","Poissons d'eau douce et diadromes, séchés, salés"
1513,72014,"Freshwater & diadromous, smoked","Peces de agua dulce et diádromos, ahumados","Poissons d'eau douce et diadromes, séchés, fumés"
1514,72016,"Demersal fish, fresh","Peces demersales, frescos","Poissons démersaux, frais"
1515,72017,"Demersal, frozen, whole","Demersales, congelados enteros","Démersaux, congelés entiers"
1516,72018,"Demersal, fresh fillets","Demersales, filetes frescos","Démersaux, filetes frais"
1517,72019,"Demersal frozen, fillets","Demersales, filetes congelados","Démersaux, filetes congelés"
1518,72020,"Demersal, cured","Demersales, curados","Démersaux, séchés, salés, fumés"
1519,72021,"Demersal, canned",Demersales en conserva,Démersaux en conserve
1520,72022,"Demersal, preparations nei","Demersales, preparaciones nep","Démersaux, préparations nca"
1521,72023,"Demersal, meals","Demersales, harina","Démersaux, farine"
1522,72024,"Demersal, body oils","Demersales, aceite","Démersaux, huile"
1523,72025,"Demersal, liver oils","Demersales, aceite higado","Démersaux, huile de foie"
1524,72026,"Demersal, meal from offal","Demersales, harina despojos","Démersaux, farine d'abats"
1525,72027,"Demersal, dried, unsalted","Demersales, secos sin salar","Démersaux, séchés, non salés"
1526,72028,"Demersal, dried, salted","Demersales, secos, salados","Démersaux, séchés, salés"
1527,72030,"Pelagic fish, fresh",Peces pelágicos frescos,"Poissons pélagiques, frais"
1528,72031,"Pelagic, frozen, whole","Pelágicos, congelados enteros","Pélagiques, congelés entiers"
1529,72032,"Pelagic, fresh fillets","Pelágicos, filetes frescos","Pélagiques, filetes frais"
1530,72033,"Pelagic, frozen fillets","Pelágicos, filetes congelados","Pélagiques, filetes congelés"
1531,72034,"Pelagic, cured","Pelágicos, curados","Pélagiques, séchés, salés, fumés"
1532,72035,"Pelagic, canned",Pelágicos en conserva,Pélagiques en conserve
1533,72036,"Pelagic, preparations nei","Pelágicos, preparaciones nep","Pélagiques, préparations nca"
1534,72037,"Pelagic, meals","Pelágicos, harina","Pélagiques, farine"
1535,72038,"Pelagic, body oils","Pelágicos, aceite","Pélagiques, huile"
1536,72039,"Pelagic, liver oils","Pelágicos, aceite higado","Pélagiques, huile de foie"
1537,72040,"Pelagic, meal from offal","Pelágicos, harina despojos","Pélagiques, farine d'abats"
1538,72041,"Small pelagics, dried, salted","Pequenos pelágicos, secos, salados","Petits pélagiques, séchés, salés"
1539,72042,"Small pelagics, smoked","Pequenos pelágicos, ahumados","Petits pélagiques, fumés"
1540,72044,"Marine fish nei, fresh","Peces marinos nep, frescos","Poissons marins nca, frais"
1541,72045,"Marine fish nei, frozen, whole","Peces marinos nep, congelados enteros","Poissons marins nca, congelés entiers"
1542,72046,"Marine fish nei, fresh fillets","Peces marinos nep, filetes frescos","Poissons marins nca, filets"
1543,72047,"Marine fish nei, frozen fillets","Peces marinos nep, filetes congelados","Poissons marins nca, filetes congelés"
1544,72048,"Marine fish nei, cured","Peces marinos nep, curados","Poissons marins nca, séchés, salés, fumés"
1545,72049,"Marine fish nei, canned",Peces marinos nep en conserva,Poissons marins nca en conserve
1546,72050,"Marine fish nei,  preparations nei","Peces marinos nep, preparaciones nep","Poissons marins nca, préparations nca"
1547,72051,"Marine fish nei, meals","Peces marinos nep, harina","Poissons marins nca, farine"
1548,72052,"Marine fish nei, body oils","Peces marinos nep, aceite","Poissons marins nca, huile"
