"CPCv2.1","Code","ISSCAAP","ISSCFC_Parent","Identifier","Name_En","Name_Es","Name_Fr","Observations","SITCv4"
"423","034.1.5.1.50","31","034.1.5.1","1","Flounder, fresh or chilled","Platija, fresca o refrigerada","Flet, frais ou réfrigéré","true","034.13"
"424","034.1.5.2.45","32","034.1.5.2","2","Alaska pollock, fresh or chilled","Colín de Alaska, fresco o refrigerado","Lieu d'Alaska, frais ou réfrigéré","true","034.18"
"21222","034.4.1.5.3.80","33","034.4.1.5.3","3","Atka mackerel fillets, frozen","Lorcha de Atka en filetes, congelada","Filets de maquereau d'Atka, congelés","true","034.4"
"422","034.1.2.1.30","23","034.1.2.1","4","Trouts and chars live","Truchas vivas","Truites et ombles, vivants","true","034.11"
"429","034.1.2.1.90","39","034.1.2.1","5","Fish live, nei","Peces vivos, nep","Poisson vivant, nca","true","034.11"
"419","034.1.1.2.90","39","034.1.1.2","6","Fish for culture incl. ova, fingerlings etc.","Peces para cultivo incl. huevas, crias etc.","Poissons pour l'élevage y incl. oeufs, frai etc.","true","034.11"
"421","034.1.3.1.10","11","034.1.3.1","7","Carps, fresh or chilled","Carpa, fresca o refrigerada","Carpes, fraîches ou réfrigérées","true","034.18"
"421","034.1.3.2.20","12","034.1.3.2","8","Tilapias, fresh or chilled","Tilapia, fresca o refrigerada","Tilapias, frais ou réfrigérés","true","034.18"
"421","034.1.3.9.30","13","034.1.3.9","9","Catfish, fresh or chilled","Bagre, fresco o refrigerado","Silures, frais ou réfrigérés","true","034.18"
"421","034.1.3.9.90","13","034.1.3.9","10","Freshwater fish, nei, fresh or chilled","Peces de agua dulce, nep, frescos o refrigerados","Poissons d'eau douce, nca, frais ou réfrigérés","true","034.18"
"429","034.1.4.1.10","21","034.1.4.1","11","Sturgeons, fresh or chilled","Esturiones, frescos o refrigerados","Esturgeons, frais ou réfrigérés","true","034.18"
"429","034.1.4.2.10","22","034.1.4.2","12","Eels, fresh or chilled","Anguilas, frescas o refrigeradas","Anguilles, fraîches ou réfrigérées","true","034.18"
"429","034.1.4.2.11","22","034.1.4.2","13","Elvers, fresh or chilled","Angulas, frescas o refrigeradas","Civelles, fraîches ou réfrigérées","true","034.18"
"422","034.1.4.3.10","23","034.1.4.3","14","Whitefishes, fresh or chilled","Corégono, fresco o refrigerado","Corégones, frais ou réfrigérés","true","034.12"
"422","034.1.4.3.20","23","034.1.4.3","15","Atlantic and Danube salmons, fresh or chilled","Salmones del Atlántico y del Danubio, frescos o refrigerados","Saumons de l'Atlantique et du Danube, frais ou réfrigérés","true","034.12"
"422","034.1.4.3.30","23","034.1.4.3","16","Pacific salmons, fresh or chilled","Salmón del Pacífico, fresco o refrigerado","Saumon du Pacifique, frais ou réfrigéré","true","034.12"
"422","034.1.4.3.39","23","034.1.4.3","17","Salmons, fresh or chilled, nei","Salmones, frescos o refrigerados, nep","Saumons, frais ou réfrigérés, nca","true","034.12"
"422","034.1.4.3.50","23","034.1.4.3","18","Trouts and chars, fresh or chilled","Truchas, frescas o refrigeradas","Truites et ombles, frais ou réfrigérés","true","034.12"
"422","034.1.4.3.90","23","034.1.4.3","19","Salmonoids, fresh or chilled, nei","Salmónidos, frescos o refrigerados, nep","Salmonoïdes, frais ou réfrigérés, nca","true","034.12"
"423","034.1.5.1.11","31","034.1.5.1","20","Atlantic halibut, fresh or chilled","Halibut del Atlántico, fresco o refrigerado","Flétan de l'Atlantique, frais ou réfrigéré","true","034.13"
"423","034.1.5.1.12","31","034.1.5.1","21","Pacific halibut, fresh or chilled","Halibut del Pacífico, fresco o refrigerado","Flétan du Pacifique, frais ou réfrigéré","true","034.13"
"423","034.1.5.1.13","31","034.1.5.1","22","Greenland halibut, fresh or chilled","Halibut negro, fresco o refrigerado","Flétan noir, frais ou réfrigéré","true","034.13"
"423","034.1.5.1.19","31","034.1.5.1","23","Halibuts, fresh or chilled, nei","Halibuts, frescos o refrigerados, nep","Flétans, frais ou réfrigérés, nca","true","034.13"
"423","034.1.5.1.39","31","034.1.5.1","24","Plaices, fresh or chilled, nei","Sollas, frescas o refrigeradas, nep","Plies, fraîches ou réfrigérées, nca","true","034.13"
"423","034.1.5.1.49","31","034.1.5.1","25","Soles (Solea spp), fresh or chilled, nei","Lenguados, frescos o refrigerados, nep","Soles, fraîches ou réfrigérées, nca","true","034.13"
"423","034.1.5.1.90","31","034.1.5.1","26","Flatfish, fresh or chilled, nei","Peces planos, frescos o refrigerados, nep","Poissons plats, frais ou réfrigérés, nca","true","034.13"
"","034.1.1.1","","034.1.1","27","Fish for ornamental purposes","Peces ornamentales","Poissons d'ornement","false",""
"","034.1.2.1","","034.1.2","28","Miscellaneous fish live for human food","Peces vivos diversos, para consumo humano","Poissons vivants divers, destinés à la consommation humaine","false",""
"","034.1.3.1","","034.1.3","29","Carps, barbels and other cyprinids, fresh or chilled","Carpas, barbos y otros cyprínidos, frescos o refrigerados","Carpes, barbeaux et autres cyprinides, frais ou réfrigérés","false",""
"","034.1.3.2","","034.1.3","30","Tilapias and other cichlids, fresh or chilled","Tilapias y otros cíclidos, frescos o refrigerados","Tilapias et autres cichlides, frais ou réfrigérés","false",""
"","034.1.3.9","","034.1.3","31","Miscellaneous freshwater fish, fresh or chilled","Peces de agua dulce diversos, frescos o refrigerados","Poissons d'eau douce divers, frais ou ou réfrigérés","false",""
"","034.1.4.1","","034.1.4","32","Sturgeons, paddlefishes, fresh or chilled","Esturiones, sollos, frescos o refrigerados","Esturgeons, spatules, frais ou réfrigérés","false",""
"","034.1.4.2","","034.1.4","33","River eels, fresh or chilled","Anguilas, frescas o refrigeradas","Anguilles, fraîches ou réfrigérées","false",""
"","034.1.4.3","","034.1.4","34","Salmons, trouts, smelts, fresh or chilled","Salmones, truchas, eperlanos, frescos o refrigerados","Saumons, truites, éperlans, frais ou réfrigérés","false",""
"","034.1.5.1","","034.1.5","35","Flounders, halibuts, soles, fresh or chilled","Platijas, halibuts, lenguados, frescos o refrigerados","Flets, flétans, soles, frais ou réfrigérés","false",""
"","034","","03","36","Fish fresh (live or dead), chilled or frozen","Pescado, fresco (vivo o muerto), refrigerado o congelado","Poissons frais (vivants ou morts), réfrigérés ou congelés","false",""
"","034.1","","034","37","Fish, fresh (live or dead) or chilled (excluding fillets)","Pescado, fresco (vivo o muerto) o refrigerado (excepto filetes)","Poissons frais (vivants ou morts) ou réfrigérés (à l'exception des filets)","false",""
"","034.1.1","","034.1","38","Fish live, not for human consumption","Peces vivos, no destinados al consumo humano","Poissons vivants, non destinés à la consommation humaine","false",""
"","034.1.2","","034.1","39","Fish live, for human consumption","Peces vivos, para consumo humano","Poissons vivants, destinés à la consommation humaine","false",""
"","034.1.3","","034.1","40","Freshwater fish, fresh or chilled","Peces de agua dulce, frescos o refrigerados","Poissons d'eau douce, frais ou réfrigérés","false",""
"","034.1.4","","034.1","41","Diadromous fish, fresh or chilled","Peces diádromos, frescos o refrigerados","Poissons diadromes, frais ou réfrigérés","false",""
"","034.1.5","","034.1","42","Marine fishes, fresh or chilled","Peces marinos, frescos o refrigerados","Poissons marins, frais ou réfrigérés","false",""
"424","034.1.5.2.11","32","034.1.5.2","43","Atlantic cod, fresh or chilled","Bacalao del Atlántico, fresco o refrigerado","Morue de l'Atlantique, fraîche ou réfrigérée","true","034.16"
"424","034.1.5.2.12","32","034.1.5.2","44","Pacific cod, fresh or chilled","Bacalao del Pacífico, fresco o refrigerado","Morue du Pacifique, fraîche ou réfrigérée","true","034.16"
"21232","035.03.5.1.90","31","035.03.5.1","45","Flatfish nei, smoked","Peces planos nep, ahumados","Poissons plats nca, fumés","true","035.3"
"424","034.1.5.2.30","32","034.1.5.2","46","Haddock, fresh or chilled","Eglefino, fresco o refrigerado","Églefin, frais ou réfrigéré","true","034.18"
"424","034.1.5.2.40","32","034.1.5.2","47","Saithe (=Pollock), fresh or chilled","Carbonero (=Colín), fresco o refrigerado","Lieu noir, frais ou réfrigéré","true","034.18"
"424","034.1.5.2.53","32","034.1.5.2","48","Whiting (Merlangius merlangus), fresh or chilled","Merlán (=Plegonero)(Merlangius merlangus), fresco o refrigerado","Merlan (Merlangius merlangus), frais ou réfrigéré","true","034.18"
"424","034.1.5.2.90","32","034.1.5.2","50","Gadiformes, fresh or chilled, nei","Gadiformes, frescos o refrigerados, nep","Poissons gadiformes, frais ou réfrigérés, nca","true","034.18"
