Identifier,Name_En,Name_Es,Name_Fr,Yearbook_Code
41001,Fish for ornamental purposes,Peces ornamentales,Poissons pour aquarium,001
41002,"Carps, live","Carpas, vivas","Carpes, vivantes",002
41003,"Eels, live","Anguilas, vivas","Anguilles, vivantes",003
41004,"Trouts, live","Truchas, vivas","Truites, vivantes",004
41005,"Fish, other live","Peces, otros vivos","Poissons, autres vivants",005
41006,"Freshwater fishes, fresh or chilled","Peces de agua dulce, frescos o refrigerados","Poissons d'eau douce, frais ou réfrigérés",006
41007,"Eels, fresh or chilled","Anguilas, frescas o refrigeradas","Anguilles, fraîches ou réfrigérées",007
41008,"Salmons, fresh or chilled","Salmones, frescos o refrigerados","Saumons, frais ou réfrigérés",008
41009,"Trouts, fresh or chilled","Truchas, frescas o refrigeradas","Truites, fraîches ou réfrigérées",009
41010,"Salmonidae, other fresh or chilled","Salmónidos, otros frescos o refrigerados","Salmonidés, autres frais ou réfrigérés",010
41011,"Halibut, fresh or chilled","Halibut, fresco o refrigerado","Flétan, frais ou réfrigéré",011
41012,"Plaice, European fresh or chilled","Solla Europea, fresca o refrigerada","Plie d'Europe, fraîche ou réfrigérée",012
41013,"Common Sole, fresh or chilled","Lenguado, fresco o refrigerado","Sole commune, fraîche ou réfrigérée",013
41014,"Flatfishes, other fresh or chilled","Peces planos, otros frescos o refrigerados","Poissons plats, autres frais ou réfrigérés",014
41015,"Cods, fresh or chilled","Bacalaos, frescos o refrigerados","Morues, fraîches ou réfrigérées",015
41016,"Haddock, fresh or chilled","Eglefino, fresco o refrigerado","Eglefin, frais ou réfrigéré",016
41017,"Saithe (=Pollock), fresh or chilled","Carbonero (Colín), fresco o refrigerado","Lieu noir, frais ou réfrigéré",017
41018,"Hake, fresh or chilled","Merluza, fresca o refrigerada","Merlu, frais ou réfrigérés",018
41019,"Gadiformes, other fresh or chilled","Gadiformes, otros frescos o refrigerados","Gadiformes, autres frais ou réfrigérés",019
41020,"Seabream, seabass, fresh or chilled","Sargo, lubina, frescos o refrigerados","Spare, bar, frais ou réfrigérés",020
41021,"Snappers, groupers, croakers, drums, fresh or chilled","Pargos, meros, esciénidos, frescos o refrigerados","Vivaneaux, mérous, sciaenidés ,frais ou réfrigérés",021
41022,"Redfishes, fresh or chilled","Gallinetas, frescas o refrigeradas","Rascasses, fraîches ou réfrigérées",022
41023,"Angler (=Monk), fresh or chilled","Rape, fresco o refrigerado","Baudroie, fraîche ou réfrigérée",023
41024,"Demersal and coastal fishes, other fresh or chilled","Peces demersales y costeros, otros frescos o refrigerados","Poissons démersaux et côtiers, autres frais ou réfrigérés",024
