"Group","Member"
"72001","72002"
"72001","72003"
"72001","72004"
"72001","72005"
"72001","72006"
"72001","72007"
"72001","72008"
"72001","72009"
"72001","72010"
"72001","72011"
"72001","72012"
"72001","72013"
"72001","72014"
"72001","72093"
"72001","72094"
"72015","72016"
"72015","72017"
"72015","72018"
"72015","72019"
"72015","72020"
"72015","72021"
"72015","72022"
"72015","72023"
"72015","72024"
"72015","72025"
"72015","72026"
"72015","72027"
"72015","72028"
"72029","72030"
"72029","72031"
"72029","72032"
"72029","72033"
"72029","72034"
"72029","72035"
"72029","72036"
"72029","72037"
"72029","72038"
"72029","72039"
"72029","72040"
"72029","72041"
"72029","72042"
"72029","72084"
"72029","72107"
"72043","72044"
"72043","72045"
"72043","72046"
"72043","72047"
"72043","72048"
"72043","72049"
"72043","72050"
"72043","72051"
"72043","72052"
"72043","72053"
"72043","72054"
"72043","72055"
"72043","72056"
"72043","72065"
"72043","72066"
"72043","72075"
"72043","72085"
"72043","72109"
"72057","72058"
"72057","72059"
"72057","72060"
"72057","72061"
"72057","72062"
"72057","72063"
"72057","72064"
"72057","72102"
"72067","72068"
"72067","72069"
"72067","72070"
"72067","72071"
"72067","72072"
"72067","72073"
"72067","72074"
"72067","72101"
"72076","72077"
"72076","72078"
"72076","72079"
"72076","72080"
"72076","72081"
"72076","72082"
"72076","72083"
"72086","72087"
"72086","72088"
"72086","72089"
"72086","72090"
"72086","72091"
"72086","72092"
"72095","72096"
"72095","72097"
"72095","72098"
"72095","72099"
"72095","72100"
"72095","72108"
"72103","72104"
"72103","72105"
"72103","72106"
