"Group","Member"
"72002","4"
"72002","7"
"72002","8"
"72002","9"
"72002","10"
"72002","11"
"72002","12"
"72002","13"
"72002","14"
"72002","15"
"72002","16"
"72002","17"
"72002","18"
"72002","19"
"72002","72"
"72002","342"
"72002","900"
"72002","963"
"72002","1002"
"72002","1003"
"72002","1159"
"72002","1160"
"72002","1161"
"72002","1201"
"72002","1263"
"72002","1292"
"72002","1315"
"72002","1407"
"72002","1408"
"72002","1620"
"72002","1630"
"72002","1631"
"72002","1634"
"72002","1636"
"72002","1788"
"72003","75"
"72003","128"
"72003","129"
"72003","130"
"72003","131"
"72003","132"
"72003","133"
"72003","134"
"72003","136"
"72003","150"
"72003","151"
"72003","152"
"72003","1060"
"72003","1061"
"72003","1062"
"72003","1210"
"72003","1225"
"72003","1226"
"72003","1247"
"72003","1341"
"72003","1625"
"72003","1652"
"72003","1653"
"72003","1654"
"72003","1656"
"72003","1719"
"72003","1720"
"72003","1721"
"72004","106"
"72004","224"
"72004","225"
"72004","226"
"72004","899"
"72004","967"
"72004","968"
"72004","1108"
"72004","1109"
"72004","1211"
"72004","1259"
"72004","1627"
"72005","108"
"72005","109"
"72005","260"
"72005","261"
"72005","263"
"72005","309"
"72005","310"
"72005","1129"
"72005","1212"
"72005","1260"
"72005","1319"
"72005","1325"
"72005","1649"
"72006","57"
"72006","160"
"72006","370"
"72006","400"
"72006","401"
"72006","402"
"72006","403"
"72006","410"
"72006","453"
"72006","454"
"72006","455"
"72006","969"
"72006","1250"
"72006","1359"
"72006","1362"
"72006","1369"
"72006","1462"
"72006","1577"
"72006","1665"
"72006","1671"
"72006","1675"
"72006","1679"
"72006","1724"
"72006","1725"
"72006","1726"
"72006","1745"
"72006","1796"
"72007","617"
"72007","618"
"72007","619"
"72007","620"
"72007","621"
"72007","622"
"72007","623"
"72007","624"
"72007","625"
"72007","852"
"72007","953"
"72007","1251"
"72007","1510"
"72007","1511"
"72007","1512"
"72007","1513"
"72007","1514"
"72007","1515"
"72007","1516"
"72008","102"
"72008","373"
"72008","678"
"72008","690"
"72008","691"
"72008","1566"
"72008","1701"
"72008","1770"
"72008","1789"
"72009","818"
"72010","358"
"72010","1714"
"72016","1"
"72016","2"
"72016","20"
"72016","21"
"72016","22"
"72016","23"
"72016","24"
"72016","25"
"72016","26"
"72016","43"
"72016","44"
"72016","46"
"72016","47"
"72016","48"
"72016","50"
"72016","51"
"72016","52"
"72016","53"
"72016","54"
"72016","58"
"72016","73"
"72016","89"
"72016","90"
"72016","91"
"72016","119"
"72016","122"
"72016","123"
"72016","1005"
"72016","1006"
"72016","1007"
"72016","1008"
"72016","1009"
"72016","1010"
"72016","1011"
"72016","1012"
"72016","1013"
"72016","1014"
"72016","1015"
"72016","1016"
"72016","1017"
"72016","1018"
"72016","1019"
"72016","1020"
"72016","1021"
"72016","1022"
"72016","1023"
"72016","1024"
"72016","1025"
"72016","1026"
"72016","1027"
"72016","1028"
"72016","1029"
"72016","1030"
"72016","1031"
"72016","1032"
"72016","1033"
"72016","1034"
"72016","1035"
"72016","1036"
"72016","1037"
"72016","1038"
"72016","1039"
"72016","1040"
"72016","1041"
"72016","1042"
"72016","1043"
"72016","1044"
"72016","1045"
"72016","1046"
"72016","1047"
"72016","1048"
"72016","1049"
"72016","1050"
"72016","1051"
"72016","1052"
"72016","1053"
"72016","1054"
"72016","1055"
"72016","1056"
"72016","1057"
"72016","1058"
"72016","1149"
"72016","1150"
"72016","1151"
"72016","1162"
"72016","1164"
"72016","1202"
"72016","1207"
"72016","1412"
"72016","1413"
"72016","1414"
"72016","1415"
"72016","1416"
"72016","1426"
"72016","1574"
"72016","1575"
"72016","1605"
"72016","1621"
"72016","1638"
"72016","1640"
"72016","1642"
"72016","1648"
"72016","1779"
"72016","1793"
"72016","1794"
"72016","1814"
"72016","1815"
"72016","1816"
"72016","1825"
"72016","1826"
"72016","1827"
"72017","76"
"72017","77"
"72017","78"
"72017","92"
