Group,Member
41001,71
41001,1263
41001,1264
41002,1201
41003,72
41004,4
41005,5
41005,6
41005,1407
41005,1408
41005,1409
41005,1410
41005,1411
41005,1788
41006,7
41006,8
41006,9
41006,10
41006,1003
41006,1159
41006,1160
41006,1620
41007,12
41007,13
41008,15
41008,16
41008,17
41009,18
41010,14
41010,19
41010,1161
41011,20
41011,21
41011,22
41011,23
41012,24
41012,1006
41012,1007
41012,1008
41013,1013
41014,1
41014,25
41014,26
41014,1005
41014,1009
41014,1010
41014,1011
41014,1012
41014,1014
41014,1015
41015,43
41015,44
41015,73
41015,1412
41015,1413
41016,46
41017,47
41018,1018
41018,1019
41018,1020
41018,1021
41018,1022
41018,1023
41018,1162
41018,1414
41018,1415
41019,2
41019,48
41019,50
41019,89
41019,90
41019,1016
41019,1017
41019,1024
41019,1621
41019,1779
41020,52
41020,1035
41020,1043
41020,1044
41020,1416
41021,51
41021,1034
41021,1036
41021,1040
41021,1041
41022,53
41022,1051
41022,1052
41023,1058
41024,54
41024,58
41024,91
41024,119
41024,1025
41024,1026
41024,1027
41024,1028
41024,1029
41024,1030
41024,1031
41024,1032
41024,1033
41024,1037
41024,1038
41024,1039
41024,1042
41024,1045
41024,1046
41024,1047
41024,1048
41024,1049
41024,1050
41024,1053
41024,1054
41024,1055
41024,1056
41024,1057
41024,1149
41024,1150
41024,1151
41024,1207
41025,59
41025,60
41025,61
41026,62
41026,63
41026,64
41026,1213
41027,65
41027,66
41028,112
41029,114
41030,115
41031,113
41031,116
41031,117
41031,118
41031,1223
41031,1245
41031,1293
41031,1417
41031,1418
41031,1419
41031,1811
41031,1812
41032,120
41032,121
41032,853
41032,1425
41033,56
41034,55
41034,74
41034,1163
41034,1216
41034,1420
41034,1421
41034,1422
41034,1423
41034,1424
41034,1790
41035,122
41035,123
41035,1164
41035,1202
41035,1426
41035,1605
41035,1814
41035,1815
41035,1816
41036,125
41036,126
41036,127
41037,11
41037,124
41037,342
41037,900
41037,911
41037,1002
41037,1292
41037,1295
41037,1623
41038,128
41038,129
41038,131
41038,1062
41038,1210
41038,1625
41039,132
41040,134
41041,1225
41041,1226
41042,150
41043,133
41043,136
41043,151
41043,152
41044,153
41044,154
41044,155
41044,156
41045,157
41045,1063
41045,1064
41045,1065
41046,158
41046,1070
41047,92
41047,159
41047,901
41047,1066
41047,1067
41047,1068
41047,1069
41047,1071
41047,1072
41047,1152
41048,161
41048,162
41048,163
41048,1427
41048,1428
41049,164
41050,165
41051,1075
41051,1076
41051,1077
41051,1078
41051,1079
41051,1147
41051,1165
41051,1429
41051,1430
41052,93
41052,94
41052,166
41052,167
41052,169
41052,1073
41052,1074
41052,1080
41052,1626
41052,1785
41053,170
41053,173
41053,1095
41053,1096
41053,1786
41054,171
41054,172
41054,1092
41054,1093
41054,1153
41055,180
41055,1100
41055,1101
41056,1107
41057,97
41057,174
41057,175
41057,181
41057,182
41057,188
41057,214
41057,1081
41057,1082
41057,1083
41057,1084
41057,1085
41057,1086
41057,1087
41057,1088
41057,1089
41057,1090
41057,1091
41057,1094
41057,1097
41057,1098
41057,1099
41057,1102
41057,1103
41057,1104
41057,1105
41057,1154
41057,1155
41057,1156
41057,1157
41057,1158
41057,1208
41058,189
41058,190
41058,191
41059,192
41059,193
41059,194
41059,1214
41060,195
41060,196
41061,96
41061,197
41061,1567
41061,1568
41062,199
41062,200
41062,201
41063,202
41063,203
41063,204
41064,198
41064,205
41064,206
41064,207
41064,208
41064,209
41064,210
41064,1224
41064,1246
41064,1297
41064,1431
41064,1432
41064,1569
41064,1570
41064,1818
41064,1819
41065,79
41065,215
41065,216
41065,1437
41066,186
41067,183
41068,95
41068,184
41068,185
41068,187
41068,1217
41068,1433
41068,1434
41068,1435
41068,1436
41068,1791
41069,217
41069,218
41069,219
41069,1203
41069,1438
41069,1604
41069,1820
41069,1821
41070,98
41070,99
41070,100
41070,101
41070,102
41070,221
41070,222
41070,223
41071,220
41071,884
41071,1060
41071,1061
41071,1247
41071,1299
41072,104
41072,106
41072,224
41072,225
41072,226
41072,227
41072,228
41072,229
41072,230
41072,231
41072,232
41072,233
41072,234
41072,235
41072,236
41072,238
41072,251
41072,252
41072,253
41072,254
41072,255
41072,256
41072,257
41072,258
41072,280
41072,899
41072,967
41072,968
41072,1108
41072,1109
41072,1110
41072,1111
41072,1112
41072,1113
41072,1114
41072,1115
41072,1116
41072,1117
41072,1118
41072,1119
41072,1120
41072,1121
41072,1122
41072,1123
