"Identifier","Name_En","Name_Es","Name_Fr","Short_Name_En","Short_Name_Es","Short_Name_Fr"
"1050","North America developed","América del Norte desarrollada","Amérique du Nord développée","North America developed","América del Norte desarrollada","Amérique du Nord développée"
"1051","European Union (27)","Unión Europea (27)","Union Européenne (27)","European Union (27)","Unión Europea (27)","Union Européenne (27)"
"1052","Western Europe, others","Europa occidental, otros","Europe occidentale, autres","Western Europe, others","Europa occidental, otros","Europe occidentale, autres"
"1053","Oceania developed","Oceanía desarrollada","Océanie développée","Oceania developed","Oceanía desarrollada","Océanie développée"
"1054","Other developed","Otros desarrollados","Autres développés","Other developed","Otros desarrollados","Autres développés"
"1055","Eastern Europe","Europa oriental","Europe orientale","Eastern Europe","Europa oriental","Europe orientale"
"1056","Former USSR area","Área de la ex URSS","Zone de l'ex-URSS","Former USSR area","Área de la ex URSS","Zone de l'ex-URSS"
"1057","Former USSR area in Europe","Área de la ex URSS en Europa","Zone de l'ex-URSS en Europe","Former USSR area in Europe","Área de la ex URSS en Europa","Zone de l'ex-URSS en Europe"
"1058","Former USSR area in Asia","Área de la ex URSS en Asia","Zone de l'ex-URSS en Asie","Former USSR area in Asia","Área de la ex URSS en Asia","Zone de l'ex-URSS en Asie"
"1059","Northwestern Africa","África noroccidental","Afrique nord-occidentale","Northwestern Africa","África noroccidental","Afrique nord-occidentale"
"1060","Western Africa","África occidental","Afrique occidentale","Western Africa","África occidental","Afrique occidentale"
"1061","Central Africa","África central","Afrique centrale","Central Africa","África central","Afrique centrale"
"1062","Eastern Africa","África oriental","Afrique orientale","Eastern Africa","África oriental","Afrique orientale"
"1063","Southern Africa developing","África meridional en desarrollo","Afrique méridionale en développement","Southern Africa developing","África meridional en desarrollo","Afrique méridionale en développement"
"1064","Northern America developing","América del Norte en desarrollo","Amérique du Nord en développement","Northern America developing","América del Norte en desarrollo","Amérique du Nord en développement"
"1065","Central America","América central","Amérique centrale","Central America","América central","Amérique centrale"
"1066","Caribbean","Caribe","Caraïbes","Caribbean","Caribe","Caraïbes"
"1067","South America","América del Sur","Amérique du Sud","South America","América del Sur","Amérique du Sud"
"1068","Near East (Africa)","Cercano Oriente (África)","Proche-Orient (Afrique)","Near East (Africa)","Cercano Oriente (África)","Proche-Orient (Afrique)"
"1069","Near East (Asia)","Cercano Oriente (Asia)","Proche-Orient (Asie)","Near East (Asia)","Cercano Oriente (Asia)","Proche-Orient (Asie)"
"1070","Southern Asia","Asia meridional","Asie méridionale","Southern Asia","Asia meridional","Asie méridionale"
"1071","East and Southeast Asia","Asia oriental y sudoriental","Asie orientale et sud-orientale","East and Southeast Asia","Asia oriental y sudoriental","Asie orientale et sud-orientale"
"1072","China","China","Chine","China","China","Chine"
"1073","Oceania developing","Oceanía en desarrollo","Océanie en développement","Oceania developing","Oceanía en desarrollo","Océanie en développement"
"1074","Antarctica","Antártida","Antarctique","Antarctica","Antártida","Antarctique"
