"Identifier","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Short_Name_Ar","Short_Name_Cn","Short_Name_En","Short_Name_Es","Short_Name_Fr","Short_Name_Ru"
"305","","","European Union (15)","Unión Europea (15)","Union Européenne (15)","","","","EU (15)","UE (15)","UE (15)",""
"330","","","North Am Free Trade Agr","Trat Libre Com AmerNorte","Acc Libre-Echange NordAm","","","","NAFTA","TLC","ALENA",""
"342","منظمة التعاون والتنمية في الميدان الاقتصادي","经济合作与发展组织","Organisation for Economic Co-operation and Development","Organización para la Cooperación y el Desarrollo Económicos","Organisation de coopération et de développement économiques","Организация экономического сотрудничества и развития","OECD","OECD","OECD","OCDE","OCDE","ОЭСР"
"379","","","European Union (28)","Unión Europea (28)","Union Européenne (28)","","","","EU (28)","UE (28)","UE (28)",""
"391","","","Latamerican Eco System","Sist Eco Latinoamericano","Sys Econ Latinoamericain","","","","LAES","SELA","SELA",""
"393","","","Cen America Common Mkt","Merca Comun Centroamer","Marche Commun Centramer","","","","CACM","MCCA","MCCA",""
"394","","","Caribbean Community Secr","Secr Comunidad Caribe","Secr Comm des Caraibes","","","","CARICOM","CARICOM","CARICOM",""
"395","","","Andean Common Market","Mercado Comun Andino","Marche Commun Andin","","","","ANCOM","MCA","MCA",""
"399","","","CentrAfr Customs Ecunion","Un Aduan&Eco AfricaCent","Un Douaniere&Econ AfrCen","","","","CACEU","UDEAC","UDEAC",""
"411","","","Bangkok Agreement","Acuerdo de Bangkok","Accord de Bangkok","","","","BANGKOK  Agr","BANGKOK Ac","BANGKOK Acc",""
"412","رابطة أمم جنوب شرق آسيا","东南亚国家联盟","Association of Southeast Asian Nations","Asociación de Naciones del Asia Sudoriental","Association des nations de l'Asie du Sud-Est","Ассоциация государств Юго-Восточной Азии","","","ASEAN","ASEAN","ANASE",""
"434","الاتحاد الاقتصادى والنقدى لغرب أفريقيا","西非经济与货币联盟","West African Economic and Monetary Union","Unión Económica y Monetaria del África Occidental","Union économique et monétaire ouest-africaine","Западноафриканское валютно-экономическое сообщество","","","WAEMU","UEMAO","UEMOA",""
"437","","","S Asian Assoc Reg Coop","Aso Asia Mer Coop Region","Ass Sud-Asiat Coop Reg","","","","SAARC","AAMCR","ASACR",""
"454","","","Arab Maghreb Union","Union del Magreb Arabe","Union du Maghreb Arabe","","","","AMU","UMA","UMA",""
"455","","","Econ Com Cent Afr States","Com Econ Africa Central","Comm Econ Etats Afr Cent","","","","ECCAS","CEAC","CEEAC",""
"456","","","Econ Com Great Lakes","Com Econ Grandes Lagos","Comm Econ Grands Lacs","","","","ECGL","CEPGL","CEPGL",""
"457","","","Com Drought Contr Sahel","Com contra Sequia Sahel","Com Lotte Secheres Sahel","","","","CILSS","CILSS","CILSS",""
"458","","","Econ Com Wafrican States","Com Econ Estados AfrOcc","Comm Econ Etats AfrOuest","","","","ECOWAS","CEDEAO","CEDEAO",""
"460","","","Com Mkt East&Southrn Afr","Merc Comun Afr Or y Aus","Marche Com Afr Or&Austr","","","","COMESA","COMESA","COMESA",""
"461","","","S Afr Development Commun","Comunidad Desar Afr Mer","Comun Develop Afri Aus","","","","SADC","SADC","SADC",""
"462","","","LatAmer Integration Ass","Aso Latinamer Integracio","Ass Lat-Amer d'Integrati","","","","LAIA","ALADI","ALADI",""
"463","","","Org Eastern Caribbean","Org Estados Caribe Orien","Org Etats Caraibes Orien","","","","OECS","OECO","OECO",""
"464","","","Arab Cooperation Council","Consejo Cooper Arabe","Conseil Cooperation Arab","","","","ACC","CCA","CCA",""
"465","","","Gulf Cooperation Council","Consejo Coop en el Golfo","Conseil Cooper du Golfe","","","","GCC","CCG","CCG",""
"474","","","Commonwealth of Independent States","Comunidad de Estados Independientes","Communauté des États indépendants","","","","CIS","CEI","CEI",""
"477","","","European Free Trade Ass","Aso Europ Libre Comercio","Ass Europ Libre-Echange","","","","EFTA","AELC","AELE",""
"478","","","Pacific Community","Comunidad del Pacifico","Communaute du Pacifique","","","","SPC","CPS","CPS",""
"479","","","S Pacific Bureau Ec Coop","Ofi Pacif Sur Coop Econ","Bureau Coop Econ Pac Sud","","","","SPEC","BCEPS","BCEPS",""
"525","","","Group of 77","Grupo de los 77","Groupe des 77","","","","G-77","G-77","G-77",""
