"Identifier","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Short_Name_Ar","Short_Name_Cn","Short_Name_En","Short_Name_Es","Short_Name_Fr","Short_Name_Ru"
"342","منظمة التعاون والتنمية في الميدان الاقتصادي","经济合作与发展组织","Organisation for Economic Co-operation and Development","Organización para la Cooperación y el Desarrollo Económicos","Organisation de coopération et de développement économiques","Организация экономического сотрудничества и развития","OECD","OECD","OECD","OCDE","OCDE","ОЭСР"
"378","الدول الجزرية الصغيرة النامية","小岛屿发展中国家","Small Island Developing States","Pequeños Estados insulares en desarrollo","Petits États insulaires en développement","малое островное развивающееся государство","","","SIDS","PEID","PEID","МОСТРАГ"
"381","الإتحاد الأوروبي (27)","欧洲联盟 (27)","European Union (27)","Unión Europea (27)","Union Européenne (27)","Европейский союз (27)","EU (27)","EU (27)","EU (27)","UE (27)","UE (27)","EC (27)"
"401","البلدان النامية المستوردة الصافية للأغذية","粮食净进口发展中国家","Net food-importing developing countries","Países en desarrollo importadores netos de alimentos","Pays en développement importateurs nets de produits","развивающиеся страны, являющиеся чистыми импортерами продовольствия","","","NFIDC","NFIDC","NFIDC",""
"402","بلد نام غير ساحلي","内陆发展中国家","Land-locked developing countries","Países en desarrollo sin litoral","Pays en développement sans littoral","развивающаяся страна, не имеющая выхода к морю","","","LLDC","PDL","LLDC",""
"412","رابطة أمم جنوب شرق آسيا","东南亚国家联盟","ASEAN Association of Southeast Asian Nations","Asociación de Naciones del Asia Sudoriental","Association des nations de l'Asie du Sud-Est","Ассоциация государств Юго-Восточной Азии","","","ASEAN","ASEAN","ANASE",""
"415","البلدان الأقل نموا","最不发达国家","Least Developed Countries","Países menos adelantados","Pays les moins avancés","наименее развитые страны","","","LDC","PMA","PMA","НРС"
"434","الاتحاد الاقتصادى والنقدى لغرب أفريقيا","西非经济与货币联盟","West African Economic and Monetary Union","Unión Económica y Monetaria del África Occidental","Union économique et monétaire ouest-africaine","Западноафриканское валютно-экономическое сообщество","","","WAEMU","UEMAO","UEMOA",""
"469","","","Former USSR area","Área de la ex URSS","Zone de l'ex-URSS","","","","Former USSR area","Área de la ex URSS","Zone de l'ex-URSS",""
"474","رابطة الدول المستقلة","独立国家联合体","Commonwealth of Independent States","Comunidad de Estados Independientes","Communauté des États indépendants","Содружество Независимых Государств","","","CIS","CEI","CEI","СНГ"
"525","","","Group of 77","Grupo de los 77","Groupe des 77","","","","G-77","G-77","G-77",""
"876","بلدان العجز الغذائي ذات الدخل المنخفض","低收入缺粮国","Low-income food-deficit countries","Países de bajos ingresos y con déficit de alimentos","Pays à faible revenu et à déficit vivrier","страна с низким уровнем дохода и дефицитом продовольствия","","","LIFDCs (2026)","PBIDA (2026)","PFRDV (2026)","СНДДП"
