"Identifier","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Short_Name_En","Short_Name_Es","Short_Name_Fr","UN_Code"
"1000","شرق أفريقيا","东非","Eastern Africa","África oriental","Afrique orientale","Восточная Африка","E Africa","África orien","Afrique E","014"
"1001","وسط أفريقيا","中非","Middle Africa","África central","Afrique centrale","Центральная Африка","C Africa","África centr","Afrique ce.","017"
"1002","آسيا الوسطى","中亚","Central Asia","Asia central","Asie centrale","Центральная Азия","C Asia","Asia central","Asie centr.","143"
"1003","أفريقيا الشمالية","北非","Northern Africa","África septentrional","Afrique septentrionale","Северная Африка","N Africa","África sept","Afrique N","015"
"1004","الجنوب الأفريقي","南部非洲","Southern Africa","África austral","Afrique australe","Южная часть Африки","S Africa","África austr","Afrique S","018"
"1005","غرب أفريقيا","西非","Western Africa","África occidental","Afrique occidentale","Западная Африка","W Africa","África occid","Afrique O","011"
"1006","شرقي آسيا","东亚","Eastern Asia","Asia oriental","Asie orientale","Восточная Азия","E Asia","Asia orient","Asie E","030"
"1007","جنوب آسيا","南亚","Southern Asia","Asia meridional","Asie méridionale","Южная Азия","S Asia","Asia meridio","Asie S","034"
"1008","جنوب شرقي آسيا","东南亚","South-Eastern Asia","Asia sudoriental","Asie du Sud-Est","Юго-Восточная Азия","SE Asia","Asia sudorie","Asie Sud-Est","035"
"1009","غربي آسيا","西亚","Western Asia","Asia occidental","Asie occidentale","Западная Азия","W Asia","Asia occiden","Asie O","145"
"1010","أمريكا الشمالية","北美","Northern America","América del Norte","Amérique du Nord","Северная Америка","N America","América Norte","Amérique N","021"
"1011","منطقة البحر الكاريبي","加勒比","Caribbean","Caribe","Caraïbes","Карибский бассейн","Caribbean","Caribe","Caraïbes","029"
"1012","أمريكا الجنوبية","南美洲","South America","América del Sur","Amérique du Sud","Южная Америка","S America","América Sur","Amérique S","005"
"1013","أمريكا الوسطى","中美洲","Central America","América central","Amérique centrale","Центральная Америка","C America","América cent","Amérique ce.","013"
"1014","أوروبا الشرقية","东欧","Eastern Europe","Europa oriental","Europe orientale","Восточная Европа","E Europe","Europa orien","Europe E","151"
"1015","أوروبا الشمالية","北欧","Northern Europe","Europa del Norte","Europe septentrionale","Северная Европа","N Europe","Europa Norte","Europe N","154"
"1016","أوروبا الغربية","西欧","Western Europe","Europa occidental","Europe occidentale","Западная Европа","W Europe","Europa occid","Europe O","155"
"1017","أوروبا الجنوبية","南欧","Southern Europe","Europa meridional","Europe méridionale","Южная Европа","S Europe","Europa merid","Europe S","039"
"1018","أستراليا ونيوزيلندا","澳大利亚和新西兰","Australia and New Zealand","Australia y Nueva Zelandia","Australie et Nouvelle-Zélande","Австралия и Новая Зеландия","Austr-NZeal","Aust-NZeland","Austral-NZél","053"
"1019","ميلانيزيا","美拉尼西亚","Melanesia","Melanesia","Mélanésie","Меланезия","Melanesia","Melanesia","Mélanésie","054"
"1020","ميكرونيزيا","密克罗尼西亚","Micronesia","Micronesia","Micronésie","Микронезия","Micronesia","Micronesia","Micronésie","057"
"1021","بولينيزيا","波利尼西亚","Polynesia","Polinesia","Polynésie","Полинезия","Polynesia","Polinesia","Polynésie","061"
