"Identifier","Name_En","Name_Es","Name_Fr"
"1111","Sub-Saharan Africa","África Subsahariana","Afrique Subsaharienne"
"1112","Northern Africa","África septentrional","Afrique septentrionale"
"1113","Western Asia","Asia occidental","Asie occidentale"
"1114","Central Asia","Asia central","Asie centrale"
"1115","Southern Asia","Asia meridional","Asie méridionale"
"1116","Eastern Asia","Asia oriental","Asie orientale"
"1117","South-Easterrn Asia","Asia sudoriental","Asie sud-orientale"
"1118","Caribbean","Caribe","Caraïbes"
"1119","Central America","América central","Amérique centrale"
"1120","South America","América meridional","Amérique méridionale"
"1121","Australia and New Zealand","Australia y Nueva Zelandia","Australie et Nouvelle-Zélande"
"1122","Oceania (excl. AUS & NZl)","Oceanía (excl. AUS y NZL)","Océanie (à l'excl. de AUS et NZL)"
"1123","Northern America","América del Norte","Amérique du Nord"
"1124","Europe","Europa","Europe"
