"Identifier","Name_Ar","Name_Cn","Name_En","Name_Es","Name_Fr","Name_Ru","Short_Name_En","Short_Name_Es","Short_Name_Fr"
"305","الإتحاد الأوروبي (15)","欧洲联盟 (15)","European Union (15)","Unión Europea (15)","Union Européenne (15)","Европейский союз (15)","EU (15)","UE (15)","UE (15)"
"330","اتفاقية التجارة الحرة لأمريكا الشمالية","北美自由贸易协定","North American Free Trade Agreement","Tratado de Libre Comercio de América del Norte","Accord de libre-échange nord-américain","Североамериканское соглашение о свободной торговле","NAFTA","TLCAN","ALÉNA"
"362","","","World","Mundo","Monde","","World","Mundo","Monde"
"379","الإتحاد الأوروبي (28)","欧洲联盟 (28)","European Union (28)","Unión Europea (28)","Union Européenne (28)","Европейский союз (28)","EU (28)","UE (28)","UE (28)"
"399","الاتحاد الجمركى والاقتصادى لأفريقيا الوسطى","","Central African Customs and Economic Union","Unión Aduanera y Económica de África Central","Union douanière et économique de l'Afrique centrale","Таможенный и экономический союз Центральной Африки","CACEU","UDEAC","UDEAC"
"437","رابطة التعاون الاقليمى فى جنوب آسيا","南亚区域合作协会","South Asian Association for Regional Cooperation","Asociación del Asia Meridional para la Cooperación Regional","Association sud-asiatique de coopération régionale","Ассоциация регионального сотрудничества стран Южной Азии","SAARC","AAMCR","ASACR"
"455","الجماعة الاقتصادية لدول وسط أفريقيا","中部非洲国家经济共同体","Economic Community of Central African States","Comunidad Económica de Estados de África Central","Communauté Économique des États de l'Afrique Centrale","Экономическое сообщество центральноафриканских государств","ECCAS","CEEAC","CEEAC"
"456","المجموعة الاقتصادية لبلدان البحيرات الكبرى","大湖国家经济共同体","Economic Community of the Great Lakes Countries","Comunidad Económica de los Países de los Grandes Lagos","Communauté économique des pays des Grands Lacs","Экономическое сообщество стран Великих озер","ECGL","CEPGL","CEPGL"
"457","اللجنة الدائمة المشتركة بين الدول المعنية بمكافحة الجفاف في منطقة الساحل","萨赫勒地带国家间抗旱常设委员会","The Permanent Interstate Committee for Drought Control in the Sahel","Comité Interestatal Permanente de Lucha contra la Sequía en el Sahel","Comité Permanent Inter-Etats de Lutte contre la Sécheresse dans le Sahel","Постоянный межгосударственный комитет по борьбе с засухой в Сахеле","CILSS","CILSS","CILSS"
"458","الجماعة الاقتصادية لدول غرب أفريقيا","","Economic Community of West African States","Comunidad Económica de Estados de África Occidental","Communauté Economique des Etats de l’Afrique de l’Ouest","","ECOWAS","CEDEAO","CEDEAO"
"460","السوق المشتركة لشرق أفريقيا والجنوب الأفريقي","东部及南部非洲共同市场","Common Market for Eastern and Southern Africa","Mercado Común para África Oriental y Meridional","Marché commun de l'Afrique orientale et australe","Общий рынок Восточной и Южной Африки","COMESA","COMESA","COMESA"
"461","الجماعة الانمائية للجنوب الأفريقي","南部非洲发展共同体","Southern African Development Community","Comunidad de Desarrollo de África Austral","Communauté de développement d'Afrique australe","Сообщество по вопросам развития стран юга Африки","SADC","SADC","SADC"
"462","رابطة تكامل أمريكا اللاتينية","拉丁美洲一体化协会","Latin American Integration Association","Asociación Latinoamericana de Integración","Association latino-américaine d’intégration","Латиноамериканская ассоциация интеграции","LAIA","ALADI","ALADI"
"463","منظمة دول شرق الكاريبى","东加勒比海国家组织","Organisation of Eastern Caribbean States","Organización de Estados del Caribe Oriental","Organisation des États de la Caraïbe orientale","Организация восточнокарибских государств","OECS","OECO","OECO"
"465","مجلس التعاون لدول الخليج العربية","阿拉伯海湾国家合作理事会","Gulf Cooperation Council","Consejo de Cooperación del Golfo","Conseil de coopération du Golfe","Совет сотрудничества арабских государств Залива","GCC","CCG","CCG"
"477","الرابطة الأوروبية للتجارة الحرة","欧洲自由贸易协会","European Free Trade Association","Asociación Europea de Libre Comercio","Association européenne de libre-échange","Европейская ассоциация свободной торговли","EFTA","AELC","AELE"
"478","جماعة المحيط الهادئ","太平洋共同体","Pacific Community","Comunidad del Pacifico","Communauté du Pacifique","Тихоокеанское сообщество","SPC","CPS","CPS"
