"End_Year","Group","Member","Notes","Start_Year"
"2003","260","2","Annual and split year rates available up to 2002 (End date:31/01/2003)","1900"
"9999","261","4","","1900"
"2001","262","6","","1900"
"1991","263","9","Start date: 01/01/1986 End date: 31/12/1991","1986"
"1985","264","9","End date: 31/12/1985","1900"
"9999","265","9","Start date: 01/01/1992","1992"
"9999","266","1","Start date: 01/09/1994","1994"
"9999","267","22","","1900"
"9999","268","10","Annual and split year rates available (Start date: 01/01/1960)","1960"
"9999","268","42","","1900"
"9999","268","43","","1900"
"9999","268","83","","1900"
"9999","268","148","","1900"
"9999","268","227","","1900"
"2005","269","52","Start date: 1/01/1992 End date: 31/12/2005","1992"
"9999","270","12","","1900"
"9999","271","13","","1900"
"9999","272","216","","1900"
"9999","273","166","","1900"
"9999","274","14","","1900"
"2001","275","57","Start date: 01/07/1994 End date: 31/01/2001","1994"
"2016","276","57","Start date: 01/01/2000 End date: 31/12/2016","2000"
"2001","277","255","End date: 31/12/2001","1900"
"9999","278","23","","1900"
"9999","279","17","","1900"
"2007","280","236","End date: 31/12/2007","1900"
"1987","281","19","End date: 28/02/1987","1900"
"9999","282","19","Start date: 01/01/1987","1987"
"9999","283","21","Start date: 01/01/1995","1995"
"9999","284","26","","1900"
"9999","285","27","Start date: 01/07/1999","1999"
"9999","286","29","","1900"
"9999","287","32","","1900"
"9999","287","37","","1900"
"9999","287","39","","1900"
"9999","287","46","","1900"
"9999","287","61","Start date: 01/01/1986","1986"
"9999","287","74","","1900"
"9999","288","53","","1900"
"9999","288","107","","1900"
"9999","288","133","Start date: 01/01/1984","1984"
"9999","288","158","","1900"
"9999","288","175","Start date: 01/01/2002","2002"
"9999","288","195","","1900"
"9999","288","217","","1900"
"9999","288","233","","1900"
"9999","289","70","","1900"
"9999","289","153","","1900"
"9999","289","243","","1900"
"9999","290","33","","1900"
"9999","291","35","","1900"
"9999","292","36","","1900"
"2007","293","81","End date: 30/06/2007","1900"
"9999","294","40","","1900"
"9999","295","44","","1900"
"9999","296","45","","1900"
"9999","297","80","Start date: 01/01/1998","1998"
"1990","298","157","End date: 31/12/1990","1900"
"9999","299","157","Start date: 01/01/1991","1991"
"9999","300","48","","1900"
"9999","301","98","Start date: 01/01/1995","1995"
"1989","302","21","Start date: 28/02/1986 End date: 14/01/1989","1986"
"1967","303","21","Start date: 01/11/1942 End date: 12/02/1967","1942"
"9999","304","49","","1900"
"2007","305","50","End date: 31/12/2007","1900"
"9999","306","167","Start date: 01/01/1993","1993"
"9999","307","75","Annual and split year rates available","1900"
"9999","308","54","","1900"
"9999","308","64","","1900"
"9999","308","85","","1900"
"9999","309","154","Start date: 01/01/1992","1992"
"2001","310","79","End date: 31/12/2001","1900"
"1994","311","98","Start date: 01/01/1992 End date: 31/12/1994","1992"
"9999","312","72","","1900"
"2017","313","193","End date: 25/08/2017","1900"
"9999","314","56","","1900"
"9999","315","237","","1900"
"2001","316","84","End date: 31/12/2001","1900"
"9999","317","6","Start date: 1/01/2002","2002"
"9999","317","11","For Int. trade ECU and from 1999, EUR (Start date: 01/01/2002)","2002"
"9999","317","50","Start date: 01/01/2008","2008"
"9999","317","63","Start date: 01/01/2011","2011"
"9999","317","67","For Int. trade ECU and from 1999, EUR (Start date: 01/01/2002)","2002"
"9999","317","68","For Int. trade ECU and from 1999, EUR (Start date: 01/01/2002)","2002"
"9999","317","69","Start date: 01/01/2002","2002"
"9999","317","71","For Int. trade ECU and from 1999, EUR (Start year: 01/01/2002)","2002"
"9999","317","79","Start date: 01/01/2002","2002"
"9999","317","84","For Int. trade ECU and from 1999, EUR (Start date: 01/01/2002)","2002"
"9999","317","87","For Int. trade from 1999, EUR (Start date: 01/01/2002)","2002"
"9999","317","94","","2002"
"9999","317","104","For Int. trade ECU and from 1999, EUR (Start date: 01/01/2002)","2002"
"9999","317","106","For Int. trade ECU and from 1999, EUR (Start date: 01/01/2002)","2002"
"9999","317","119","Start date: 01/01/2014","2014"
"9999","317","126","Start date: 01/01/2015","2015"
"9999","317","134","Start date: 01/01/2008","2008"
"9999","317","135","Start date: 01/01/2002","2002"
"9999","317","140","For Int. trade ECU and from 1999, EUR (Start date: 01/01/2002)","2002"
"9999","317","150","Start date: 01/01/2002","2002"
"9999","317","174","Start date: 01/01/2002","2002"
"9999","317","182","Start date: 01/01/2002","2002"
"9999","317","190","Start date: 01/01/2002","2002"
"9999","317","192","For Int. trade ECU and from 1999, EUR (Start date: 01/01/2002)","2002"
"9999","317","198","Start date: 01/01/2007","2007"
"9999","317","199","Start date: 01/01/2009","2009"
"9999","317","203","Start date: 01/01/2002","2002"
"9999","317","255","For Int. trade ECU and from 1999, EUR (Start date: 01/01/2002)","2002"
"9999","317","256","Start date: 01/01/2002","2002"
"9999","317","270","Start date: 01/01/2002","2002"
"9999","317","273","Start date: 01/01/2006","2006"
"9999","317","282","","2002"
"9999","317","287","Start date: 01/01/2007","2007"
"9999","317","288","Start date: 01/01/2007","2007"
"9999","318","8","","1900"
"9999","318","55","","1900"
"9999","318","86","","1900"
"9999","318","142","","1900"
"9999","318","188","","1900"
"9999","318","189","","1900"
"9999","318","191","","1900"
"9999","318","258","","1900"
"9999","319","59","","1900"
"1985","320","61","Start date: 01/01/1975 End date: 31/12/1985","1975"
"2001","321","60","Start date: 01/01/1892 End date: 31/12/2001","1892"
"1990","322","62","End date: 31/12/1990","1900"
"1997","322","178","Start date: 01/01/1993 End date: 31/12/1997","1993"
"9999","322","238","Start date: 01/01/1991","1991"
"9999","324","65","","1900"
"9999","325","66","Start date: 01/01/1960","1960"
"9999","326","97","","1900"
"9999","327","250","Start date: 01/01/1999","1999"
"2001","328","68","End date: 31/12/2001","1900"
"2001","328","69","End date: 31/12/2001","1900"
"2001","328","71","End date: 31/12/2001","1900"
"2001","328","87","End date: 31/12/2001","1900"
"2001","328","135","End date: 31/12/2001","1900"
"2001","328","182","End date: 31/12/2001","1900"
"2001","328","190","End date: 31/12/2001","1900"
"2001","328","270","End date: 31/12/2001","1900"
"9999","329","82","","1900"
"9999","330","93","Annual and split year rates available","1900"
"9999","331","169","","1900"
"9999","332","90","Start date: 01/01/1986","1986"
"2001","333","175","End date: 31/12/2001","1900"
"9999","334","91","","1900"
"9999","335","96","","1900"
"9999","336","230","Start date: 01/01/1996","1996"
"9999","337","99","","1900"
"9999","338","100","Annual and split year rates available","1900"
"1991","339","170","Start date: 01/01/1985 End date: 31/12/1991","1985"
"9999","340","102","Annual and split year rates available","1900"
"9999","341","103","","1900"
"2001","342","104","End date: 31/12/2001","1900"
"2001","343","106","End date: 31/12/2001","1900"
"9999","344","109","","1900"
"9999","345","112","","1900"
"1995","346","230","Start date: 01/01/1992 End date: 31/12/1995","1992"
"9999","347","114","","1900"
"9999","348","168","Annual and split year rates available","1900"
"9999","349","120","","1900"
"1992","350","51","End date: 31/12/1992","1900"
"2010","351","63","Start date: 01/01/1992 End date: 31/12/2010","1992"
"9999","352","118","Start date: 01/01/1961","1961"
"9999","353","130","","1900"
"2012","354","251","End date: 31/12/2012","1900"
"9999","355","7","Start date: 01/01/2000","2000"
"1991","356","7","End date: 31/3/1991","1900"
"1989","357","28","End date: 31/12/1989","1900"
"9999","358","28","Start date: 01/01/1990","1990"
"9999","359","73","Start date: 01/01/1992","1992"
"2013","360","119","Start date: 01/01/1992 End date: 31/12/2013","1992"
"9999","361","121","","1900"
"9999","362","3","","1900"
"9999","363","95","","1900"
"2022","364","197","End date: 30/06/2022","1900"
"2005","365","183","End date: 30/06/2005","1900"
"1999","366","27","End date: 30/06/1999","1900"
"9999","367","123","","1900"
"9999","368","124","Start date: 01/01/1970","1970"
"9999","369","209","Annual and split year rates available","1900"
"2014","370","126","Start date: 01/01/1994 End date: 31/12/2014","1994"
"9999","371","122","Start date: 01/01/1986","1986"
"2001","372","256","End date: 31/12/2001","1900"
"2003","373","129","End date: 31/12/2003","1900"
"9999","374","131","","1900"
