"End_Year","Group","Member","Start_Year"
"9999","354","3","1900"
"9999","354","6","1900"
"9999","354","10","1900"
"9999","354","11","1900"
"9999","354","15","1900"
"9999","354","17","1990"
"9999","354","27","1900"
"9999","354","33","1900"
"9999","354","42","1990"
"9999","354","43","1990"
"9999","354","50","1990"
"1992","354","51","1900"
"9999","354","54","1900"
"9999","354","57","1992"
"9999","354","63","1992"
"9999","354","64","1900"
"9999","354","67","1900"
"9999","354","68","1900"
"9999","354","77","1900"
"9999","354","78","1900"
"9999","354","79","1900"
"9999","354","80","1992"
"9999","354","82","1900"
"9999","354","84","1900"
"9999","354","85","1990"
"9999","354","92","1990"
"9999","354","94","1900"
"9999","354","97","1900"
"9999","354","98","1992"
"9999","354","99","1900"
"9999","354","104","1900"
"9999","354","105","1900"
"9999","354","106","1900"
"9999","354","110","1900"
"9999","354","119","1992"
"9999","354","125","1900"
"9999","354","126","1992"
"9999","354","134","1900"
"9999","354","140","1900"
"9999","354","146","1992"
"9999","354","150","1900"
"9999","354","154","1992"
"9999","354","156","1900"
"9999","354","161","1990"
"9999","354","162","1900"
"9999","354","167","1993"
"9999","354","173","1900"
"9999","354","174","1900"
"9999","354","183","1900"
"9999","354","185","1992"
"9999","354","186","1992"
"9999","354","190","1990"
"9999","354","192","1900"
"9999","354","198","1992"
"9999","354","199","1993"
"9999","354","203","1900"
"9999","354","210","1900"
"9999","354","211","1900"
"1991","354","228","1900"
"9999","354","229","1900"
"9999","354","230","1992"
"9999","354","231","1900"
"1991","354","248","1900"
"9999","354","255","1900"
"9999","354","256","1900"
"9999","354","259","1900"
"9999","354","260","1900"
"9999","354","264","1900"
"9999","354","272","2006"
"9999","354","273","2006"
"9999","354","282","2003"
"9999","354","284","1900"
"9999","354","285","1900"
"9999","354","294","1900"
"9999","415","2","1900"
"9999","415","7","1900"
"9999","415","16","1900"
"9999","415","18","1900"
"9999","415","25","1900"
"9999","415","28","1900"
"9999","415","29","1900"
"9999","415","37","1900"
"9999","415","39","1900"
"9999","415","45","1900"
"9999","415","53","1900"
"9999","415","62","1900"
"9999","415","72","1900"
"9999","415","75","1900"
"9999","415","83","1900"
"9999","415","90","1900"
"9999","415","93","1900"
"9999","415","115","1900"
"9999","415","120","1900"
"9999","415","122","1900"
"9999","415","123","1900"
"9999","415","129","1900"
"9999","415","130","1900"
"9999","415","133","1900"
"9999","415","136","1900"
"9999","415","144","1900"
"9999","415","149","1900"
"9999","415","155","1900"
"9999","415","158","1900"
"9999","415","175","1900"
"9999","415","176","1900"
"9999","415","178","1900"
"9999","415","184","1900"
"9999","415","193","1900"
"9999","415","195","1900"
"9999","415","197","1900"
"9999","415","201","1900"
"2011","415","206","1900"
"9999","415","215","1900"
"9999","415","217","1900"
"9999","415","226","1900"
"9999","415","227","1900"
"9999","415","233","1900"
"9999","415","238","1900"
"9999","415","246","1900"
"9999","415","247","1900"
"9999","415","249","1900"
"9999","415","250","1900"
"9999","415","251","1900"
"9999","415","276","1900"
"9999","415","290","2011"
"9999","415","298","2011"
"9999","416","1","1990"
"9999","416","4","1900"
"9999","416","5","1900"
"9999","416","8","1900"
"9999","416","9","1900"
"9999","416","12","1900"
"9999","416","13","1900"
"9999","416","14","1900"
"9999","416","19","1900"
"9999","416","20","1900"
"9999","416","21","1900"
"9999","416","22","1900"
"9999","416","23","1900"
"9999","416","24","1900"
"9999","416","26","1900"
"9999","416","31","1900"
"9999","416","32","1900"
"9999","416","35","1900"
"9999","416","36","1900"
"9999","416","38","1900"
"9999","416","40","1900"
"9999","416","41","1900"
"9999","416","44","1900"
"9999","416","46","1900"
"9999","416","47","1900"
"9999","416","48","1900"
"9999","416","49","1900"
"9999","416","52","1990"
"9999","416","55","1900"
"9999","416","56","1900"
"9999","416","58","1900"
"9999","416","59","1900"
"9999","416","60","1900"
"9999","416","61","1900"
"9999","416","65","1900"
"9999","416","66","1900"
"9999","416","69","1900"
"9999","416","70","1900"
"9999","416","71","1900"
"9999","416","73","1990"
"9999","416","74","1900"
"9999","416","76","1900"
"9999","416","81","1900"
"9999","416","86","1900"
"9999","416","87","1900"
"9999","416","88","1900"
"9999","416","89","1900"
"9999","416","91","1900"
"9999","416","95","1900"
"9999","416","96","1900"
"9999","416","100","1900"
"9999","416","101","1900"
"9999","416","102","1900"
"9999","416","103","1900"
"9999","416","107","1900"
"9999","416","108","1990"
"9999","416","109","1900"
"9999","416","112","1900"
"9999","416","113","1990"
"9999","416","114","1900"
"9999","416","116","1900"
"9999","416","117","1900"
"9999","416","118","1900"
"9999","416","121","1900"
"9999","416","124","1900"
"9999","416","127","1900"
"9999","416","128","1900"
"9999","416","131","1900"
"9999","416","132","1900"
"9999","416","135","1900"
"9999","416","137","1900"
"9999","416","138","1900"
"9999","416","141","1900"
"9999","416","142","1900"
"9999","416","143","1900"
"9999","416","145","1900"
"9999","416","147","1900"
"9999","416","148","1900"
"9999","416","151","1900"
"9999","416","153","1900"
"9999","416","157","1900"
"9999","416","159","1900"
"9999","416","160","1900"
"9999","416","163","1900"
"9999","416","165","1900"
"9999","416","166","1900"
"9999","416","168","1900"
"9999","416","169","1900"
"9999","416","170","1900"
"9999","416","171","1900"
"9999","416","172","1900"
"9999","416","177","1900"
"9999","416","179","1900"
"9999","416","180","1900"
"9999","416","181","1900"
"9999","416","182","1900"
"9999","416","187","1900"
"9999","416","188","1900"
"9999","416","189","1900"
"9999","416","191","1900"
"9999","416","194","1900"
"9999","416","196","1900"
"9999","416","200","1900"
"9999","416","202","1990"
"9999","416","205","1900"
"9999","416","207","1900"
"9999","416","208","1990"
"9999","416","209","1900"
"9999","416","212","1900"
"9999","416","213","1990"
"9999","416","214","1900"
"9999","416","216","1900"
"9999","416","218","1900"
"9999","416","219","1900"
"9999","416","220","1900"
"9999","416","221","1900"
"9999","416","222","1900"
"9999","416","223","1900"
"9999","416","224","1900"
"9999","416","225","1900"
"9999","416","232","1900"
"9999","416","234","1900"
"9999","416","235","1990"
"9999","416","236","1900"
"9999","416","237","1900"
"9999","416","239","1900"
"9999","416","240","1900"
"9999","416","243","1900"
"9999","416","244","1900"
"9999","416","258","1900"
"9999","416","270","1900"
"9999","416","271","1900"
"9999","416","283","2010"
"9999","416","286","2010"
"9999","416","287","2007"
"9999","416","288","2007"
"9999","416","289","2010"
"9999","416","299","1900"
