"End_Year","Group","Member","Start_Year"
"9999","1050","33","1900"
"9999","1050","231","1900"
"9999","1051","11","1900"
"9999","1051","15","1900"
"9999","1051","27","1900"
"9999","1051","50","1900"
"9999","1051","54","1900"
"9999","1051","63","1900"
"9999","1051","67","1900"
"9999","1051","68","1900"
"9999","1051","77","1900"
"9999","1051","78","1900"
"9999","1051","79","1900"
"9999","1051","84","1900"
"9999","1051","97","1900"
"9999","1051","98","1900"
"9999","1051","104","1900"
"9999","1051","106","1900"
"9999","1051","119","1900"
"9999","1051","126","1900"
"9999","1051","134","1900"
"9999","1051","150","1900"
"9999","1051","167","1900"
"9999","1051","173","1900"
"9999","1051","174","1900"
"9999","1051","183","1900"
"9999","1051","198","1900"
"9999","1051","199","1900"
"9999","1051","203","1900"
"9999","1051","210","1900"
"9999","1051","255","1900"
"9999","1051","256","1900"
"9999","1051","282","1900"
"9999","1052","6","1900"
"9999","1052","64","1900"
"9999","1052","82","1900"
"9999","1052","94","1900"
"9999","1052","99","1900"
"9999","1052","125","1900"
"9999","1052","140","1900"
"9999","1052","162","1900"
"9999","1052","192","1900"
"9999","1052","211","1900"
"9999","1052","229","2021"
"9999","1052","259","1900"
"9999","1052","260","1900"
"9999","1052","264","1900"
"9999","1052","284","1900"
"9999","1052","285","1900"
"9999","1052","294","1900"
"9999","1053","10","1900"
"9999","1053","156","1900"
"9999","1054","105","1900"
"9999","1054","110","1900"
"9999","1054","202","1900"
"9999","1055","3","1900"
"9999","1055","51","1900"
"9999","1055","80","1900"
"9999","1055","154","1900"
"9999","1055","186","1900"
"9999","1055","248","1900"
"9999","1055","272","1900"
"9999","1055","273","1900"
"9999","1056","228","1900"
"9999","1057","57","1900"
"9999","1057","146","1900"
"9999","1057","185","1900"
"9999","1057","230","1900"
"9999","1058","1","1900"
"9999","1058","52","1900"
"9999","1058","73","1900"
"9999","1058","108","1900"
"9999","1058","113","1900"
"9999","1058","208","1900"
"9999","1058","213","1900"
"9999","1058","235","1900"
"9999","1059","4","1900"
"9999","1059","143","1900"
"9999","1059","205","1900"
"9999","1059","222","1900"
"9999","1060","35","1900"
"9999","1060","53","1900"
"9999","1060","75","1900"
"9999","1060","81","1900"
"9999","1060","90","1900"
"9999","1060","107","1900"
"9999","1060","123","1900"
"9999","1060","133","1900"
"9999","1060","136","1900"
"9999","1060","158","1900"
"9999","1060","159","1900"
"9999","1060","175","1900"
"9999","1060","195","1900"
"9999","1060","197","1900"
"9999","1060","217","1900"
"9999","1060","233","1900"
"9999","1061","7","1900"
"9999","1061","32","1900"
"9999","1061","37","1900"
"9999","1061","39","1900"
"9999","1061","46","1900"
"9999","1061","61","1900"
"9999","1061","74","1900"
"9999","1061","193","1900"
"9999","1061","250","1900"
"9999","1062","24","1900"
"9999","1062","29","1900"
"9999","1062","45","1900"
"9999","1062","62","1900"
"9999","1062","72","1900"
"9999","1062","114","1900"
"9999","1062","129","1900"
"9999","1062","130","1900"
"9999","1062","137","1900"
"9999","1062","144","1900"
"9999","1062","178","1900"
"9999","1062","181","1900"
"9999","1062","182","1900"
"9999","1062","184","1900"
"9999","1062","196","1900"
"9999","1062","201","1900"
"9999","1062","215","1900"
"9999","1062","226","1900"
"9999","1062","238","1900"
"9999","1062","251","1900"
"9999","1062","270","1900"
"9999","1062","276","1900"
"9999","1062","290","1900"
"9999","1063","20","1900"
"9999","1063","71","1900"
"9999","1063","122","1900"
"9999","1063","147","1900"
"9999","1063","187","1900"
"9999","1063","209","1900"
"9999","1064","17","1900"
"9999","1064","85","1900"
"9999","1064","190","1900"
"9999","1065","23","1900"
"9999","1065","48","1900"
"9999","1065","60","1900"
"9999","1065","89","1900"
"9999","1065","95","1900"
"9999","1065","138","1900"
"9999","1065","157","1900"
"9999","1065","166","1900"
"9999","1066","8","1900"
"9999","1066","12","1900"
"9999","1066","14","1900"
"9999","1066","22","1900"
"9999","1066","36","1900"
"9999","1066","49","1900"
"9999","1066","55","1900"
"9999","1066","56","1900"
"9999","1066","86","1900"
"9999","1066","87","1900"
"9999","1066","93","1900"
"9999","1066","109","1900"
"9999","1066","135","1900"
"9999","1066","142","1900"
"9999","1066","151","1900"
"9999","1066","177","1900"
"9999","1066","188","1900"
"9999","1066","189","1900"
"9999","1066","191","1900"
"9999","1066","220","1900"
"9999","1066","224","1900"
"9999","1066","239","1900"
"9999","1066","240","1900"
"9999","1066","258","1900"
"9999","1066","283","1900"
"9999","1066","286","1900"
"9999","1066","287","1900"
"9999","1066","288","1900"
"9999","1066","289","1900"
"9999","1067","9","1900"
"9999","1067","19","1900"
"9999","1067","21","1900"
"9999","1067","40","1900"
"9999","1067","44","1900"
"9999","1067","58","1900"
"9999","1067","65","1900"
"9999","1067","69","1900"
"9999","1067","91","1900"
"9999","1067","169","1900"
"9999","1067","170","1900"
"9999","1067","207","1900"
"9999","1067","234","1900"
"9999","1067","236","1900"
"9999","1068","59","1900"
"9999","1068","124","1900"
"9999","1068","206","1900"
"9999","1068","298","1900"
"9999","1069","2","1900"
"9999","1069","13","1900"
"9999","1069","76","1900"
"9999","1069","102","1900"
"9999","1069","103","1900"
"9999","1069","112","1900"
"9999","1069","118","1900"
"9999","1069","121","1900"
"9999","1069","179","1900"
"9999","1069","194","1900"
"9999","1069","212","1900"
"9999","1069","221","1900"
"9999","1069","223","1900"
"9999","1069","225","1900"
"9999","1069","246","1900"
"9999","1069","247","1900"
"9999","1069","249","1900"
"9999","1069","299","1900"
"9999","1070","16","1900"
"9999","1070","18","1900"
"9999","1070","38","1900"
"9999","1070","100","1900"
"9999","1070","132","1900"
"9999","1070","149","1900"
"9999","1070","165","1900"
"9999","1071","26","1900"
"9999","1071","28","1900"
"9999","1071","101","1900"
"9999","1071","115","1900"
"9999","1071","116","1900"
"9999","1071","117","1900"
"9999","1071","120","1900"
"9999","1071","131","1900"
"9999","1071","141","1900"
"9999","1071","171","1900"
"9999","1071","176","1900"
"9999","1071","200","1900"
"9999","1071","216","1900"
"9999","1071","237","1900"
"9999","1072","41","1900"
"9999","1072","96","1900"
"9999","1072","128","1900"
"9999","1072","214","1900"
"9999","1073","5","1900"
"9999","1073","25","1900"
"9999","1073","42","1900"
"9999","1073","43","1900"
"9999","1073","47","1900"
"9999","1073","66","1900"
"9999","1073","70","1900"
"9999","1073","83","1900"
"9999","1073","88","1900"
"9999","1073","127","1900"
"9999","1073","145","1900"
"9999","1073","148","1900"
"9999","1073","153","1900"
"9999","1073","155","1900"
"9999","1073","160","1900"
"9999","1073","161","1900"
"9999","1073","163","1900"
"9999","1073","168","1900"
"9999","1073","172","1900"
"9999","1073","180","1900"
"9999","1073","218","1900"
"9999","1073","219","1900"
"9999","1073","227","1900"
"9999","1073","232","1900"
"9999","1073","243","1900"
"9999","1073","244","1900"
"9999","1074","31","1900"
"9999","1074","92","1900"
"9999","1074","271","1900"
