"End_Year","Group","Member","Start_Year"
"9999","305","11","1900"
"9999","305","15","1900"
"9999","305","54","1900"
"9999","305","67","1900"
"9999","305","68","1900"
"9999","305","77","1900"
"9999","305","78","1900"
"9999","305","79","1900"
"9999","305","84","1900"
"9999","305","104","1900"
"9999","305","106","1900"
"9999","305","150","1900"
"9999","305","174","1900"
"9999","305","203","1900"
"9999","305","210","1900"
"9999","305","229","1900"
"9999","305","255","1900"
"9999","305","256","1900"
"9999","330","33","1900"
"9999","330","138","1900"
"9999","330","231","1900"
"9999","342","10","1900"
"9999","342","11","1900"
"9999","342","15","1900"
"9999","342","33","1900"
"9999","342","40","1900"
"9999","342","54","1900"
"9999","342","63","1900"
"9999","342","67","1900"
"9999","342","68","1900"
"9999","342","77","1900"
"9999","342","78","1900"
"9999","342","79","1900"
"9999","342","84","1900"
"9999","342","97","1900"
"9999","342","99","1900"
"9999","342","104","1900"
"9999","342","105","1900"
"9999","342","106","1900"
"9999","342","110","1900"
"9999","342","117","1900"
"9999","342","119","2016"
"9999","342","126","1900"
"9999","342","138","1900"
"9999","342","150","1900"
"9999","342","156","1900"
"9999","342","162","1900"
"9999","342","167","1993"
"9999","342","173","1900"
"9999","342","174","1900"
"9999","342","198","1900"
"9999","342","199","1900"
"9999","342","203","1900"
"9999","342","210","1900"
"9999","342","211","1900"
"9999","342","223","1900"
"9999","342","229","1900"
"9999","342","231","1900"
"9999","342","255","1900"
"9999","342","256","1900"
"9999","379","11","1995"
"9999","379","27","2007"
"9999","379","50","2004"
"9999","379","54","1973"
"9999","379","63","2004"
"9999","379","67","1995"
"9999","379","68","1958"
"9999","379","79","1958"
"9999","379","84","1981"
"9999","379","97","2004"
"9999","379","98","2013"
"9999","379","104","1973"
"9999","379","106","1958"
"9999","379","119","2004"
"9999","379","126","2004"
"9999","379","134","2004"
"9999","379","150","1958"
"9999","379","167","2004"
"9999","379","173","2004"
"9999","379","174","1986"
"9999","379","183","2007"
"9999","379","198","2004"
"9999","379","199","2004"
"9999","379","203","1986"
"9999","379","210","1995"
