"End_Year","Group","Member","Start_Year"
"9999","352","2","1900"
"9999","352","10","1900"
"9999","352","16","1900"
"9999","352","18","1900"
"9999","352","25","1900"
"9999","352","26","2013"
"9999","352","28","1900"
"9999","352","38","1900"
"9999","352","41","1900"
"9999","352","47","1900"
"9999","352","66","1900"
"9999","352","83","1999"
"9999","352","96","1900"
"9999","352","100","1900"
"9999","352","101","1900"
"9999","352","102","1900"
"9999","352","110","1900"
"9999","352","115","1900"
"9999","352","116","1900"
"9999","352","117","1900"
"9999","352","120","1900"
"9999","352","127","1999"
"9999","352","128","1900"
"9999","352","131","1900"
"9999","352","132","1900"
"9999","352","141","1900"
"9999","352","145","2003"
"9999","352","148","2001"
"9999","352","149","1900"
"9999","352","155","1900"
"9999","352","156","1900"
"9999","352","160","1999"
"9999","352","165","1900"
"9999","352","168","1900"
"9999","352","171","1900"
"9999","352","176","1999"
"9999","352","180","1999"
"9999","352","200","2013"
"9999","352","214","1900"
"9999","352","216","1900"
"9999","352","218","1900"
"9999","352","219","1900"
"9999","352","227","2003"
"9999","352","237","1900"
"9999","352","244","1900"
"9999","353","4","1900"
"9999","353","13","1900"
"9999","353","59","1900"
"9999","353","103","1900"
"9999","353","112","1900"
"9999","353","118","1900"
"9999","353","121","1900"
"9999","353","124","1900"
"9999","353","136","1900"
"9999","353","143","1900"
"9999","353","179","1900"
"9999","353","194","1900"
"9999","353","206","1900"
"9999","353","212","1900"
"9999","353","221","1900"
"9999","353","222","1900"
"9999","353","225","1900"
"9999","353","249","1900"
"9999","353","298","1956"
"9999","353","299","1900"
"9999","443","7","1900"
"9999","443","20","1900"
"9999","443","29","1900"
"9999","443","32","1900"
"9999","443","35","1900"
"9999","443","37","1900"
"9999","443","39","1900"
"9999","443","45","1900"
"9999","443","46","1900"
"9999","443","53","1900"
"9999","443","61","1900"
"1992","443","62","1900"
"9999","443","72","1900"
"9999","443","74","1900"
"9999","443","75","1900"
"9999","443","81","1900"
"9999","443","90","1900"
"9999","443","107","1900"
"9999","443","114","1900"
"9999","443","122","1900"
"9999","443","123","1900"
