"End_Year","Group","Member","Start_Year"
"9999","342","10","1900"
"9999","342","11","1900"
"9999","342","15","1900"
"9999","342","33","1900"
"9999","342","40","1900"
"9999","342","44","2020"
"9999","342","48","2021"
"9999","342","54","1900"
"9999","342","63","1900"
"9999","342","67","1900"
"9999","342","68","1900"
"9999","342","77","1900"
"9999","342","78","1900"
"9999","342","79","1900"
"9999","342","84","1900"
"9999","342","97","1900"
"9999","342","99","1900"
"9999","342","104","1900"
"9999","342","105","1900"
"9999","342","106","1900"
"9999","342","110","1900"
"9999","342","117","1900"
"9999","342","119","2016"
"9999","342","126","1900"
"9999","342","138","1900"
"9999","342","150","1900"
"9999","342","156","1900"
"9999","342","162","1900"
"9999","342","167","1993"
"9999","342","173","1900"
"9999","342","174","1900"
"9999","342","198","1900"
"9999","342","199","1900"
"9999","342","203","1900"
"9999","342","210","1900"
"9999","342","211","1900"
"9999","342","223","1900"
"9999","342","229","1900"
"9999","342","231","1900"
"9999","342","255","1900"
"9999","342","256","1900"
"9999","378","5","1900"
"9999","378","8","1900"
"9999","378","12","1900"
"9999","378","14","1900"
"9999","378","17","2010"
"9999","378","22","1900"
"9999","378","23","1900"
"9999","378","25","1900"
"9999","378","35","1900"
"9999","378","36","2010"
"9999","378","45","1900"
"9999","378","47","1900"
"9999","378","49","1900"
"9999","378","55","1900"
"9999","378","56","1900"
"9999","378","66","1900"
"9999","378","70","1900"
"9999","378","83","1900"
"9999","378","86","1900"
"9999","378","87","2010"
"9999","378","88","1900"
"9999","378","91","1900"
"9999","378","93","1900"
"9999","378","109","1900"
"9999","378","127","1900"
"9999","378","132","1900"
"9999","378","135","2010"
"9999","378","137","1900"
"9999","378","142","1900"
"9999","378","145","1900"
"9999","378","148","1900"
"9999","378","151","1900"
"9999","378","153","1900"
"9999","378","155","1900"
"9999","378","160","1900"
"9999","378","163","1900"
"9999","378","168","1900"
"9999","378","175","1900"
"9999","378","176","1900"
"9999","378","177","1900"
"9999","378","180","1900"
"9999","378","188","1900"
"9999","378","189","1900"
"9999","378","191","1900"
"9999","378","193","1900"
"9999","378","196","1900"
"9999","378","200","1900"
"9999","378","207","1900"
"9999","378","219","1900"
"9999","378","220","1900"
"9999","378","224","2010"
"9999","378","227","1900"
"9999","378","239","1900"
"9999","378","240","1900"
"9999","378","244","1900"
"9999","378","258","1900"
"9999","378","286","2010"
"9999","378","289","2017"
"9999","381","11","1995"
"9999","381","27","2007"
"9999","381","50","2004"
"9999","381","54","1973"
"9999","381","63","2004"
"9999","381","67","1995"
"9999","381","68","1958"
"9999","381","79","1958"
"9999","381","84","1981"
"9999","381","97","2004"
"9999","381","98","2013"
"9999","381","104","1973"
"9999","381","106","1958"
"9999","381","119","2004"
"9999","381","126","2004"
"9999","381","134","2004"
"9999","381","150","1958"
"9999","381","167","2004"
"9999","381","173","2004"
"9999","381","174","1986"
"9999","381","183","2007"
"9999","381","198","2004"
"9999","381","199","2004"
"9999","381","203","1986"
"9999","381","210","1995"
"9999","381","255","1958"
"9999","381","256","1958"
"9999","401","2","1900"
"9999","401","7","1900"
"9999","401","8","1900"
"9999","401","14","1900"
"9999","401","16","1900"
"9999","401","20","1900"
"9999","401","25","1900"
"9999","401","28","1900"
"9999","401","29","1900"
"9999","401","37","1900"
"9999","401","38","1900"
"9999","401","39","1900"
"9999","401","45","1900"
"9999","401","49","1900"
"9999","401","53","1900"
"9999","401","55","1900"
"9999","401","56","1900"
"9999","401","59","1900"
"9999","401","60","1900"
"1992","401","62","1900"
"9999","401","72","1900"
"9999","401","74","1900"
"9999","401","75","1900"
"9999","401","83","1900"
"9999","401","86","1900"
"9999","401","90","1900"
"9999","401","93","1900"
