"End_Year","Group","Member","Start_Year"
"9999","469","1","1900"
"1992","473","51","1900"
"9999","469","52","1900"
"9999","469","57","1900"
"1992","468","62","1900"
"9999","469","63","1900"
"9999","469","73","1900"
"9999","466","80","1992"
"9999","466","98","1992"
"9999","469","108","1900"
"9999","469","113","1900"
"9999","469","119","1900"
"9999","469","126","1900"
"9999","469","146","1900"
"9999","466","154","1992"
"9999","473","167","1993"
"9999","468","178","1993"
"9999","469","185","1900"
"9999","466","186","1992"
"9999","466","198","1992"
"9999","473","199","1993"
"9999","469","208","1900"
"9999","469","213","1900"
"9999","469","228","1900"
"9999","469","230","1900"
"9999","469","235","1900"
"9999","468","238","1993"
"1991","466","248","1900"
"9999","466","272","2006"
"9999","466","273","2006"
