"Group","Member","Start Year","End Year"
"1000","24","1900","9999"
"1000","29","1900","9999"
"1011","283","2010","9999"
"1011","286","2010","9999"
"1011","287","2007","9999"
"1011","288","2007","9999"
"1011","289","2010","9999"
"1015","285","1900","9999"
"1015","282","2003","9999"
"1015","284","1900","9999"
"1000","45","1900","9999"
"1000","72","1900","9999"
"1000","178","1900","9999"
"1000","238","1900","9999"
"1000","62","1900","9999"
"1000","114","1900","9999"
"1000","129","1900","9999"
"1000","130","1900","9999"
"1000","137","1900","9999"
"1000","270","1900","9999"
"1000","144","1900","9999"
"1000","184","1900","9999"
"1000","182","1900","9999"
"1000","196","1900","9999"
"1000","201","1900","9999"
"1000","215","1900","9999"
"1000","226","1900","9999"
"1000","251","1900","9999"
"1000","181","1900","9999"
"1001","7","1900","9999"
"1001","32","1900","9999"
"1001","37","1900","9999"
"1001","39","1900","9999"
"1001","250","1900","9999"
"1001","46","1900","9999"
"1001","61","1900","9999"
"1001","74","1900","9999"
"1001","193","1900","9999"
"1002","108","1900","9999"
"1002","113","1900","9999"
"1002","208","1900","9999"
"1002","213","1900","9999"
"1002","235","1900","9999"
"1003","4","1900","9999"
"1003","59","1900","9999"
"1003","124","1900","9999"
"1003","143","1900","9999"
"1003","206","1900","9999"
"1003","222","1900","9999"
"1003","205","1900","9999"
"1004","20","1900","9999"
"1004","122","1900","9999"
"1004","147","1900","9999"
"1004","202","1900","9999"
"1004","209","1900","9999"
"1005","53","1900","9999"
"1005","233","1900","9999"
"1005","35","1900","9999"
"1005","107","1900","9999"
"1005","75","1900","9999"
"1005","81","1900","9999"
"1005","90","1900","9999"
"1005","175","1900","9999"
"1005","123","1900","9999"
"1005","133","1900","9999"
"1005","136","1900","9999"
"1005","158","1900","9999"
"1005","159","1900","9999"
"1005","187","1900","9999"
"1005","195","1900","9999"
"1005","197","1900","9999"
"1005","217","1900","9999"
"1006","41","1900","9999"
"1006","96","1900","9999"
"1006","128","1900","9999"
"1006","110","1900","9999"
"1006","116","1900","9999"
"1006","117","1900","9999"
"1006","141","1900","9999"
"1006","214","1900","9999"
"1007","2","1900","9999"
"1007","16","1900","9999"
"1007","18","1900","9999"
"1007","100","1900","9999"
"1007","102","1900","9999"
"1007","132","1900","9999"
"1007","149","1900","9999"
"1007","165","1900","9999"
"1007","38","1900","9999"
"1008","26","1900","9999"
"1008","115","1900","9999"
"1008","101","1900","9999"
"1008","120","1900","9999"
"1008","131","1900","9999"
"1008","28","1900","9999"
"1008","171","1900","9999"
"1008","200","1900","9999"
"1008","216","1900","9999"
"1008","176","1900","9999"
"1008","237","1900","9999"
"1009","1","1900","9999"
"1009","52","1900","9999"
"1009","13","1900","9999"
"1009","50","1900","9999"
"1009","73","1900","9999"
"1009","103","1900","9999"
