"End_Year","Group","Member","Start_Year"
"9999","331","6","0"
"9999","331","10","0"
"9999","331","11","0"
"9999","331","15","0"
"9999","331","33","0"
"9999","331","54","0"
"9999","331","64","0"
"9999","331","67","0"
"9999","331","68","0"
"9999","331","79","0"
"9999","331","82","0"
"9999","331","84","0"
"9999","331","94","0"
"9999","331","99","0"
"9999","331","104","0"
"9999","331","105","0"
"9999","331","106","0"
"9999","331","110","0"
"9999","331","125","0"
"9999","331","134","0"
"9999","331","140","0"
"9999","331","150","0"
"9999","331","156","0"
"9999","331","162","0"
"9999","331","174","0"
"9999","331","192","0"
"9999","331","203","0"
"9999","331","210","0"
"9999","331","211","0"
"9999","331","229","0"
"9999","331","231","0"
"9999","331","255","0"
"9999","331","256","0"
"9999","331","259","0"
"9999","331","260","0"
"9999","331","264","0"
"9999","331","282","2003"
"9999","331","284","1900"
"9999","331","285","1900"
"9999","331","294","1900"
"9999","362","1","1992"
"9999","362","2","1900"
"9999","362","3","1900"
"9999","362","4","1900"
"9999","362","5","1900"
"9999","362","6","1900"
"9999","362","7","1900"
"9999","362","8","1900"
"9999","362","9","1900"
"9999","362","10","1900"
"9999","362","11","1900"
"9999","362","12","1900"
"9999","362","13","1900"
"9999","362","14","1900"
"9999","362","15","1900"
"9999","362","16","1900"
"9999","362","17","1900"
"9999","362","18","1900"
"9999","362","19","1900"
"9999","362","20","1900"
"9999","362","21","1900"
"9999","362","22","1900"
"9999","362","23","1900"
"9999","362","24","1900"
"9999","362","25","1900"
"9999","362","26","1900"
"9999","362","27","1900"
"9999","362","28","1900"
"9999","362","29","1900"
"9999","362","30","1900"
"9999","362","31","1900"
"9999","362","32","1900"
"9999","362","33","1900"
"9999","362","34","1900"
"9999","362","35","1900"
"9999","362","36","1900"
"9999","362","37","1900"
"9999","362","38","1900"
"9999","362","39","1900"
"9999","362","40","1900"
"9999","362","41","1900"
"9999","362","42","1900"
"9999","362","43","1900"
"9999","362","44","1900"
"9999","362","45","1900"
"9999","362","46","1900"
"9999","362","47","1900"
"9999","362","48","1900"
"9999","362","49","1900"
"9999","362","50","1900"
"1992","362","51","1900"
"9999","362","52","1992"
"9999","362","53","1900"
"9999","362","54","1900"
"9999","362","55","1900"
"9999","362","56","1900"
"9999","362","57","1992"
"9999","362","58","1900"
"9999","362","59","1900"
"9999","362","60","1900"
"9999","362","61","1900"
"1992","362","62","1900"
"9999","362","63","1992"
"9999","362","64","1900"
"9999","362","65","1900"
"9999","362","66","1900"
"9999","362","67","1900"
"9999","362","68","1900"
"9999","362","69","1900"
"9999","362","70","1900"
"9999","362","71","1900"
"9999","362","72","1900"
"9999","362","73","1992"
"9999","362","74","1900"
"9999","362","75","1900"
"9999","362","76","1900"
"9999","362","79","1900"
"9999","362","80","1992"
"9999","362","81","1900"
"9999","362","82","1900"
"9999","362","83","1900"
"9999","362","84","1900"
"9999","362","85","1900"
"9999","362","86","1900"
"9999","362","87","1900"
"9999","362","88","1900"
"9999","362","89","1900"
"9999","362","90","1900"
"9999","362","91","1900"
"9999","362","92","1900"
"9999","362","93","1900"
"9999","362","94","1900"
"9999","362","95","1900"
"9999","362","96","1900"
"9999","362","97","1900"
"9999","362","98","1992"
"9999","362","99","1900"
"9999","362","100","1900"
"9999","362","101","1900"
