"Group","Member"
"1113","247"
"1124","294"
"1111","7"
"1111","53"
"1111","20"
"1111","233"
"1111","29"
"1111","35"
"1111","32"
"1111","37"
"1111","39"
"1111","45"
"1111","46"
"1111","250"
"1111","107"
"1111","72"
"1111","61"
"1111","178"
"1111","238"
"1111","62"
"1111","74"
"1111","75"
"1111","81"
"1111","90"
"1111","175"
"1111","114"
"1111","122"
"1111","123"
"1111","129"
"1111","130"
"1111","133"
"1111","136"
"1111","137"
"1111","270"
"1111","144"
"1111","147"
"1111","158"
"1111","159"
"1111","182"
"1111","184"
"1111","193"
"1111","195"
"1111","196"
"1111","197"
"1111","201"
"1111","202"
"1111","290"
"1111","209"
"1111","215"
"1111","217"
"1111","226"
"1111","251"
"1111","276"
"1111","181"
"1111","24"
"1111","71"
"1111","187"
"1112","4"
"1112","59"
"1112","124"
"1112","143"
"1112","298"
"1112","206"
"1112","222"
"1112","205"
"1113","1"
"1113","52"
"1113","13"
"1113","50"
"1113","73"
"1113","103"
"1113","105"
"1113","112"
"1113","118"
"1113","121"
"1113","221"
"1113","299"
"1113","179"
"1113","194"
"1113","212"
"1113","223"
"1113","225"
"1113","249"
"1114","108"
"1114","113"
"1114","208"
"1114","213"
"1114","235"
"1115","2"
"1115","16"
"1115","18"
"1115","38"
"1115","100"
"1115","102"
"1115","132"
"1115","149"
"1115","165"
"1116","41"
"1116","214"
"1116","96"
"1116","116"
"1116","117"
"1116","128"
"1116","141"
"1116","110"
"1117","26"
"1117","115"
"1117","101"
"1117","120"
"1117","131"
"1117","28"
"1117","171"
"1117","200"
"1117","216"
"1117","176"
"1117","237"
"1118","258"
"1118","8"
"1118","22"
"1118","12"
"1118","14"
"1118","283"
"1118","239"
"1118","36"
"1118","49"
"1118","286"
"1118","55"
"1118","56"
"1118","86"
"1118","87"
"1118","93"
"1118","109"
"1118","135"
"1118","142"
"1118","151"
"1118","177"
"1118","188"
"1118","189"
"1118","191"
"1118","289"
"1118","220"
"1118","224"
"1118","240"
"1118","207"
"1118","288"
"1118","287"
"1119","48"
"1119","60"
"1119","89"
"1119","95"
"1119","138"
"1119","157"
"1119","166"
"1120","23"
"1120","9"
"1120","19"
"1120","21"
"1120","40"
"1120","44"
"1120","58"
"1120","65"
"1120","271"
"1120","69"
"1120","91"
"1120","169"
"1120","170"
"1120","234"
"1120","236"
"1121","10"
"1121","42"
"1121","43"
"1121","92"
"1121","156"
"1121","161"
"1122","25"
"1122","47"
"1122","66"
"1122","70"
"1122","83"
"1122","148"
"1122","153"
"1122","155"
"1122","160"
"1122","163"
"1122","145"
"1122","127"
"1122","180"
"1122","88"
"1122","168"
"1122","172"
"1122","218"
"1122","219"
"1122","227"
"1122","243"
"1122","244"
"1122","5"
"1122","232"
"1123","17"
"1123","33"
"1123","85"
"1123","231"
"1123","190"
"1124","3"
"1124","6"
"1124","11"
"1124","255"
"1124","80"
"1124","27"
"1124","57"
"1124","98"
"1124","51"
"1124","167"
"1124","54"
"1124","63"
"1124","64"
"1124","67"
"1124","282"
"1124","68"
"1124","79"
"1124","84"
"1124","97"
"1124","99"
"1124","104"
"1124","106"
"1124","119"
"1124","125"
"1124","126"
"1124","256"
"1124","134"
"1124","140"
"1124","146"
"1124","273"
"1124","150"
"1124","162"
"1124","173"
"1124","174"
"1124","183"
"1124","185"
"1124","192"
"1124","272"
"1124","199"
"1124","198"
"1124","203"
"1124","210"
"1124","211"
"1124","230"
"1124","154"
"1124","229"
"1124","259"
"1124","284"
"1124","285"
"1124","264"
"1124","248"
"1124","186"
"1124","82"
"1124","260"
"1113","246"
