"Group","Member","Start Year","End Year"
"503","144","1900","9999"
"505","32","1900","9999"
"511","3","1900","9999"
"511","136","1900","9999"
"511","197","1900","9999"
"513","197","1900","9999"
"522","53","1900","9999"
"522","81","1900","9999"
"522","107","1900","9999"
"522","123","1900","9999"
"522","159","1900","9999"
"522","217","1900","9999"
"501","41","1900","9999"
"501","96","1900","9999"
"501","128","1900","9999"
"501","214","1900","9999"
"503","178","1900","9999"
"511","59","1900","9999"
"511","191","1900","9999"
"513","101","1900","9999"
"513","215","1900","9999"
"519","56","1900","9999"
"511","159","1900","9999"
"519","44","1900","9999"
"519","49","1900","9999"
"519","55","1900","9999"
"519","68","1900","9999"
"519","86","1900","9999"
"519","89","1900","9999"
"519","90","1900","9999"
"519","91","1900","9999"
"519","93","1900","9999"
"519","95","1900","9999"
"519","109","1900","9999"
"519","110","1900","9999"
"519","117","1900","9999"
"519","138","1900","9999"
"519","150","1900","9999"
"519","157","1900","9999"
"519","166","1900","9999"
"519","188","1900","9999"
"519","189","1900","9999"
"519","191","1900","9999"
"519","203","1900","9999"
"519","207","1900","9999"
"519","220","1900","9999"
"519","229","1900","9999"
"519","231","1900","9999"
"519","236","1900","9999"
"520","26","1900","9999"
"520","28","1900","9999"
"520","115","1900","9999"
"520","101","1900","9999"
"520","110","1900","9999"
"520","120","1900","9999"
"520","131","1900","9999"
"520","171","1900","9999"
"520","200","1900","9999"
"520","237","1900","9999"
"520","216","1900","9999"
"521","64","1900","9999"
"521","85","1900","9999"
"521","99","1900","9999"
"521","162","1900","9999"
"521","185","1900","9999"
"512","85","1900","9999"
"512","64","1900","9999"
"512","126","1900","9999"
"500","176","1900","9999"
"503","276","1900","9999"
"513","276","1900","9999"
"500","10","1900","9999"
"500","16","1900","9999"
"500","28","1900","9999"
"500","115","1900","9999"
"500","38","1900","9999"
"500","41","1900","9999"
"500","214","1900","9999"
"500","68","1900","9999"
"500","96","1900","9999"
"500","100","1900","9999"
"500","101","1900","9999"
"500","110","1900","9999"
"500","117","1900","9999"
"500","128","1900","9999"
"500","131","1900","9999"
"500","149","1900","9999"
"500","156","1900","9999"
"500","165","1900","9999"
"500","171","1900","9999"
"500","237","1900","9999"
"500","216","1900","9999"
"500","229","1900","9999"
"500","231","1900","9999"
"501","9","1900","9999"
"501","10","1900","9999"
"501","255","1900","9999"
"501","21","1900","9999"
"501","40","1900","9999"
"501","68","1900","9999"
"501","79","1900","9999"
"501","100","1900","9999"
"501","106","1900","9999"
"501","110","1900","9999"
"501","117","1900","9999"
"501","147","1900","9999"
"501","156","1900","9999"
"501","162","1900","9999"
"501","173","1900","9999"
"501","185","1900","9999"
"501","202","1900","9999"
"501","203","1900","9999"
"501","210","1900","9999"
"501","230","1900","9999"
"501","229","1900","9999"
"501","231","1900","9999"
"501","234","1900","9999"
"502","7","1900","9999"
"502","32","1900","9999"
"502","35","1900","9999"
"502","46","1900","9999"
"502","250","1900","9999"
"502","49","1900","9999"
"502","53","1900","9999"
"502","61","1900","9999"
"502","68","1900","9999"
"502","74","1900","9999"
"502","75","1900","9999"
"502","81","1900","9999"
"502","84","1900","9999"
"502","90","1900","9999"
"502","106","1900","9999"
"502","107","1900","9999"
"502","110","1900","9999"
"502","117","1900","9999"
"502","123","1900","9999"
"502","136","1900","9999"
"502","143","1900","9999"
"502","150","1900","9999"
"502","159","1900","9999"
"502","162","1900","9999"
"502","173","1900","9999"
"502","175","1900","9999"
"502","183","1900","9999"
"502","193","1900","9999"
"502","195","1900","9999"
"502","197","1900","9999"
"502","203","1900","9999"
"502","217","1900","9999"
"502","231","1900","9999"
"503","20","1900","9999"
"503","29","1900","9999"
"503","32","1900","9999"
"503","37","1900","9999"
"503","39","1900","9999"
"503","46","1900","9999"
"503","250","1900","9999"
"503","53","1900","9999"
"503","238","1900","9999"
"503","74","1900","9999"
"503","75","1900","9999"
"503","81","1900","9999"
"503","90","1900","9999"
"503","107","1900","9999"
"503","114","1900","9999"
"503","122","1900","9999"
"503","129","1900","9999"
"503","130","1900","9999"
"503","133","1900","9999"
"503","137","1900","9999"
"503","158","1900","9999"
"503","159","1900","9999"
"503","184","1900","9999"
"503","195","1900","9999"
"503","197","1900","9999"
"503","201","1900","9999"
"503","181","1900","9999"
"503","206","1900","9999"
"503","209","1900","9999"
"503","217","1900","9999"
"503","226","1900","9999"
"503","59","1900","9999"
"503","215","1900","9999"
"503","233","1900","9999"
"503","251","1900","9999"
"504","9","1900","9999"
"504","19","1900","9999"
"504","21","1900","9999"
"504","40","1900","9999"
"504","44","1900","9999"
"504","48","1900","9999"
"504","49","1900","9999"
"504","56","1900","9999"
"504","58","1900","9999"
"504","60","1900","9999"
