"Abbreviation","Code","Identifier","Name_Ar","Name_En","Name_Es","Name_Fr"
"SUX","01.9","111","شباك التحويط (غير مدرجة في موضع آخر)","Surrounding nets (nei)","Redes de cerco (sin especificar)","Filet tournants (non spécifiées)"
"MIS","10.9","112","معدات الصيد (غير مدرجة في موضع آخر)","Gear nei","Artes diversas","Divers"
"LA","01.2","201","شباك  التحويط بدون حلقات وحبال الغلق السفلي (لمبارة)","Surrounding nets without purse lines","Redes de cerco sin jareta (lámparos, etc.)","Filet tournants sans coulisse (filet lamparas)"
"SB","02.1","202","الشباك الكيسية الشاطئية (الضواغي)","Beach seines","Chinchorros de playa","Sennes de plage"
"SV","02.2","203","الشباك الكيسية التي يتم سحبها من المركب","Boat seines","Redes de tiro desde embaraciones","Sennes halées à bord"
"SX","02.9","204","الشباك الكيسية (غير مدرجة في موضع آخر)","Seine nets (nei)","Redes de tiro (sin especificar)","Sennes (non spécifiées)"
"TB","03.19","206","شباك الجر القاعية الثنائية (غير مدرجة في موضع آخر)","Bottom trawls (nei)","Redes de arrastre de fondo - redes de arrastre de fondo (sin especificar)","Chaluts de fond (non spécifiés)"
"OTT","03.13","208","شباك الجر القاعية المزدوجة بالأبواب (الابواب)","Twin bottom otter trawls","Redes de arrastre gemelas con puertas","Chaluts jumeaux à panneaux"
"OTP","03.14","209","شباك الجر القاعية بالأبواب المتعددة","Multiple bottom otter trawls","","Chaluts de fond à panneaux multiples"
"TSP","03.3","210","شباك الجر نصف السطحية","Semipelagic trawls","","Chaluts semi-pélagiques"
"TX","03.9","211","شباك الجر (غير مدرجة في موضع آخر)","Trawls (nei)","Otras redes de arrastre (sin especificar)","Autres chaluts (non spécifiés)"
"DRB","04.1","212","جرافات المحاريات المقطورة بواسطة المركب","Towed dredges","Rastras para embarcación","Dragues remorquées par bateau"
"DRH","04.2","213","جرافات المحاريات اليدوية","Hand dredges","Rastras de mano","Dragues à main"
"LNP","05.1","214","الشباك المرفوعة المحمولة","Portable lift nets","Portátiles","Filets soulevés portatif"
"LNB","05.2","215","الشباك المرفوعة التي تحرّك من المركب","Boat-operated lift nets","Para embarcación","Filets soulevés manoeuvrés du bateau"
"LN","05.9","216","الشباك المرفوعة (غير مدرجة في موضع آخر)","Lift nets (nei)","Redes izadas (sin especificar)","Filets soulevés (non spécifiés)"
"FCN","06.1","217","الطراحة، الغل، الغدف","Cast nets","Esparaveles","Eperviers"
"FCO","06.2","218","أقفاص الصيد المغطاة /الشباك القنديلية","Cover pots/Lantern nets","Cabreros","Paniers coiffants filets lanternes"
"GNS","07.1","219","الشباك الخيشومية المثبّتة بالمراسي","Set gillnets (anchored)","Redes calada","Filets maillants calés (ancrés)"
"GND","07.2","220","الشباك الخيشومية المنجرفة","Drift gillnets","Redes de deriva","Filets maillants dérivants (filets dérivants)"
