"Identifier","Standard Abbreviation","Name_En","Name_Fr","Name_Es"
"205","","Bottom trawls","Chaluts de fond","Redes de arrastre de fondo"
"243","","Recreational Fishing Gears","Engins de pêche recreative","Artes par la pesca recreativa"
"250","","Ring nets","Filet tournants sans coulisse (""ring net"")","Redes de cerco sin jareta (""ring net"")"
"302","","Danish seines","Sennes danoises","Redes de tiro danesas"
"303","","Scottish seines","Sennes écossaises","Redes de tiro escocesas"
"304","","Pair seines","Sennes manoeuvrées par deux bateaux","Redes de tiro pareja"
"314","","Pole and Lines","Lignes à main et lignes à cannes","Líneas de mano y caña"
"316","","Rakes","Râteaux","Rastros"
"317","","Tongs","Pinces","Tenazas"
"318","","Spears","Harpons; Tridents","Fisgas, tridentes"
"319","","Wrenching gears","Wrenching gears","Wrenching gears"
"110","","Grappling and wounding gears","Engins de pêche par accrochage ou pour blessure","Artefactos de herir y aferrar"
