"ISSCFG_Code","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Gear_Group_L1","Identifier"
"01.9","Surrounding nets (nei)","Filet tournants (non spécifiées)","Redes de cerco (sin especificar)","شباك التحويط (غير مدرجة في موضع آخر)","","","Surrounding nets","111"
"10.9","Gear nei","Divers","Artes diversas","معدات الصيد (غير مدرجة في موضع آخر)","","","Miscellaneous Gears","112"
"01.2","Surrounding nets without purse lines","Filet tournants sans coulisse (filet lamparas)","Redes de cerco sin jareta (lámparos, etc.)","شباك  التحويط بدون حلقات وحبال الغلق السفلي (لمبارة)","","","Surrounding nets","201"
"02.1","Beach seines","Sennes de plage","Chinchorros de playa","الشباك الكيسية الشاطئية (الضواغي)","","","Seine nets","202"
"02.2","Boat seines","Sennes halées à bord","Redes de tiro desde embaraciones","الشباك الكيسية التي يتم سحبها من المركب","","","Seine nets","203"
"02.9","Seine nets (nei)","Sennes (non spécifiées)","Redes de tiro (sin especificar)","الشباك الكيسية (غير مدرجة في موضع آخر)","","","Seine nets","204"
"03.19","Bottom trawls (nei)","Chaluts de fond (non spécifiés)","Redes de arrastre de fondo - redes de arrastre de fondo (sin especificar)","شباك الجر القاعية الثنائية (غير مدرجة في موضع آخر)","","","Trawls","206"
"03.13","Twin bottom otter trawls","Chaluts jumeaux à panneaux","Redes de arrastre gemelas con puertas","شباك الجر القاعية المزدوجة بالأبواب (الابواب)","","","Trawls","208"
"03.14","Multiple bottom otter trawls","Chaluts de fond à panneaux multiples","","شباك الجر القاعية بالأبواب المتعددة","","","Trawls","209"
"03.3","Semipelagic trawls","Chaluts semi-pélagiques","","شباك الجر نصف السطحية","","","Trawls","210"
"03.9","Trawls (nei)","Autres chaluts (non spécifiés)","Otras redes de arrastre (sin especificar)","شباك الجر (غير مدرجة في موضع آخر)","","","Trawls","211"
"04.1","Towed dredges","Dragues remorquées par bateau","Rastras para embarcación","جرافات المحاريات المقطورة بواسطة المركب","","","Dredges","212"
"04.2","Hand dredges","Dragues à main","Rastras de mano","جرافات المحاريات اليدوية","","","Dredges","213"
"05.1","Portable lift nets","Filets soulevés portatif","Portátiles","الشباك المرفوعة المحمولة","","","Lift nets","214"
"05.2","Boat-operated lift nets","Filets soulevés manoeuvrés du bateau","Para embarcación","الشباك المرفوعة التي تحرّك من المركب","","","Lift nets","215"
"05.9","Lift nets (nei)","Filets soulevés (non spécifiés)","Redes izadas (sin especificar)","الشباك المرفوعة (غير مدرجة في موضع آخر)","","","Lift nets","216"
"06.1","Cast nets","Eperviers","Esparaveles","الطراحة، الغل، الغدف","","","Falling gear","217"
"06.2","Cover pots/Lantern nets","Paniers coiffants filets lanternes","Cabreros","أقفاص الصيد المغطاة /الشباك القنديلية","","","Falling gear","218"
"07.1","Set gillnets (anchored)","Filets maillants calés (ancrés)","Redes calada","الشباك الخيشومية المثبّتة بالمراسي","","","Gillnets and entangling nets","219"
"07.2","Drift gillnets","Filets maillants dérivants (filets dérivants)","Redes de deriva","الشباك الخيشومية المنجرفة","","","Gillnets and entangling nets","220"
"07.3","Encircling gillnets","Filets maillants encerclants","Redes de batir de cerco","شباك التحويط الخيشومية","","","Gillnets and entangling nets","221"
"07.5","Trammel nets","Trémails","Redes de trasmallo","الشباك الثلاثية (المبطّنة)","","","Gillnets and entangling nets","223"
"07.9","Gillnets and entangling nets (nei)","Filets maillants et filets emmélants (non spécifiés)","Redes de enmalle y de enredo","الشباك الخيشومية وشباك التشابك (غير مدرجة في موضع آخر)","","","Gillnets and entangling nets","224"
"08.2","Pots","Nasses (casiers)","Nasas","الأقفاص","","","Traps","225"
"08.3","Fyke nets","Verveux","Garlitos","الشباك الكيسية","","","Traps","226"
"08.4","Stow nets","Filets à l'étalage (diables)","Butirones","شباك التخزين","","","Traps","227"
"08.5","Barriers, fences, weirs, etc.","Barrages, parcs, bordigues, etc.","Barretas, cercotes, corrales, etc.","الحواجز والمصايد الثابتة (شباك الحجز)","","","Traps","228"
"08.6","Aerial traps","Pièges aériens","Trampas aéreas","الفخاخ الجوية (السطحية)","","","Traps","229"
"08.9","Traps (nei)","Pièges (non spécifiés)","Trampas (sin especificar)","الفخاخ (غير مدرجة في موضع آخر)","","","Traps","230"
"09.4","Vertical lines","Lignes verticales","Líneas verticales","الخيوط العمودية","","","Hooks and lines","231"
"09.31","Set longlines","Palangres calées","Palangres calados","الخيوط الطويلة المثبتة","","","Hooks and lines","232"
"09.32","Drifting longlines","Palangres dérivantes","Palangres de deriva","الخيوط الطويلة السطحية المنجرفة","","","Hooks and lines","233"
"09.39","Longlines (nei)","Palangres (non spécifiées)","Palangres (sin especificar)","الخيوط الطويلة (غير مدرجة في موضع آخر)","","","Hooks and lines","234"
"09.5","Trolling lines","Lignes de traîne","Curricanes","الخيوط المجرورة","","","Hooks and lines","235"
"09.9","Hooks and lines (nei)","Hameçons et lignes (non spécifiés)","Sedal y anzuelo (sin especificar)","الصنانير والخيوط (غير مدرجة في موضع آخر)","","","Hooks and lines","236"
"10.1","Harpoons","Harpons","Arpones","الحراب والرماح","","","Miscellaneous Gears","237"
"10.3","Pumps","Pompes","Bombas","المضخات","","","Miscellaneous Gears","238"
"04.3","Mechanized dredges","Dragues mécanisées","Dragas mecanizadas","الجرافات الآلية لصيد المحاريات","","","Dredges","239"
"04.9","Dredges (nei)","Dragues (non spécifiés)","Rastras (sin especificar)","جرافات صيد المحاريات (غير مدرجة في موضع آخر)","","","Dredges","240"
"10.4","Electric fishing","Pêche électrique","Pesca eléctrica","الصيد بالكهرباء","","","Miscellaneous Gears","242"
"99.9","Gear not known","Engins inconnus ou non specifiés","Artes desconocidos o no especificados","معدات صيد غير معرفة","","","Gear not known","245"
"08.1","Stationary uncovered pound nets","Filets-pièges fixes non couverts","Almadrabas fijas descubiertas","شباك الفخ الثابتة وغير المغطاة","","","Traps","246"
"07.4","Fixed gillnets (on stakes)","Filets maillants fixes (sur perches)","Redes de enmalle fijas (en estacas)","الشباك الخيشومية المثبتة على الأعمدة","","","Gillnets and entangling nets","247"
"09.1","Handlines and hand-operated pole-and-lines","Lignes à main et lignes à cannes (manoeuvrées à la main)","Líneas de mano y caña (manuales)","الخيوط اليدوية والخيوط المشدودة في القصبة المسحوبة باليد","","","Hooks and lines","248"
"01.1","Purse seines","Filet tournants avec coulisse","Redes de cerco con jareta","الشباك الجرافة الكبيرة","","","Surrounding nets","249"
"07.6","Combined gillnets-trammel nets","Trémails et filets maillants combinés","Redes de enmalle-trasmallo","الشباك الخيشومية-الثلاثية المدمجة","","","Gillnets and entangling nets","252"
"10.5","Pushnets","Pusseux; Troubles","Rastrillos; Angazas","الشباك الدفعية","","","Miscellaneous Gears","253"
"10.6","Scoopnets","Epuissettes; Salabardes","Salabardos","شباك الغرف","","","Miscellaneous Gears","254"
"05.3","Shore-operated stationary lift nets","Filets soulevés fixes manoeuvrés du rivage","Estacionarias de playa","الشباك المرفوعة الثابتة التي تحرك من الشاطئ","","","Lift nets","255"
"03.11","Beam trawls","Chaluts à perche","Redes de arrastre de fondo - de vara","شباك الجر القاعية المثبة على الأعمدة","","","Trawls","305"
"03.12","Single boat bottom otter trawls","Chaluts de fond à panneaux","Redes de arrastre de fondo - de puertas","شباك الجر القاعية بالأبواب التي يتم مناورتها بمركب واحد","","","Trawls","306"
"03.15","Bottom pair trawls","Chaluts-boeufs de fond","Redes de arrastre de fondo - a la pareja","شباك الجر القاعية الثنائية","","","Trawls","307"
"03.21","Single boat midwater otter trawls","Chaluts pélagiques à panneaux","Redes de arrastre pelágico - de puertas","شباك الجر نصف السطحية التي يتم مناورتها بمركب واحد","","","Trawls","309"
"03.22","Midwater pair trawls","Chaluts-boeufs pélagiques","Redes de arrastre pelágico - a la pareja","شباك الجر المزدوجة نصف السطحية","","","Trawls","310"
"09.2","Mechanized lines and pole-and-lines","Lignes à main et lignes à cannes (mécanisées)","Líneas de mano y caña (mecanizadas)","الخيوط المجهزة بمعدة سحب والخيوط المشدودة في القصب","","","Hooks and lines","313"
"10.2","Hand Implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)","Engins à main (pinces, râteaux, lances)","Hand Implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)","الأدوات اليدوية (معدات الربط و السحب ، المشابك ، المكابس ، الرماح)","","","Miscellaneous Gears","315"
"10.7","Drive-in nets","Filets de rabattage","Redes de batir","شباك الاستدراج","","","Miscellaneous Gears","325"
"10.8","Diving","Plongée","Buceo","الغوص","","","Miscellaneous Gears","326"
"03.29","Midwater trawls (nei)","Chaluts pélagiques (non spécifiés)","Redes de arrastre pelágico - redes de arrastre pelágico (sin especificar)","شباك الجر نصف السطحية (غير مدرجة في موضع آخر)","","","Trawls","400"
"06.9","Falling gear (nei)","Autres engins retombants (non spécifiés)","Redes de caída (sin especificar)","الشباك المسقطة (غير مدرجة في موضع آخر)","","","Falling gear","440"
