"Code","Identifier","Name_Ar","Name_En","Name_Es","Name_Fr"
"01","101","شباك  التحويط","Surrounding nets","Redes de cerco","Filet tournants"
"02","102","الشباك الكيسية","Seine nets","Redes de tiro","Sennes"
"03","103","شباك الجر","Trawls","Redes de arrastre","Chaluts"
"04","104","جرافات صيد المحاريات","Dredges","Rastras","Dragues"
"05","105","الشباك المرفوعة","Lift nets","Redes izadas","Filets souleves"
"06","106","الشباك الاسقاط","Falling gear","Redes de caida","Engins retombants"
"07","107","الشباك الخيشومية وشباك التشابك","Gillnets and entangling nets","Redes de enmalle y de enredo","Filet maillant et filet emmelants"
"08","108","الفخاخ","Traps","Trampas","Pieges"
"09","109","الصنانير والخيوط","Hooks and lines","Sedal y anzuelo","Lignes et hamecons"
"10","113","معدات صيد أخرى","Miscellaneous Gears","Artefactos de herir y aferrar","Engins de pêche par accrochage ou pour blessure"
"99","244","معدات صيد غير معرفة","Gear not known","Artes desconocidos o no especificados","Engins inconnus ou non specifiés"
