"ISSCFG_Code","Identifier","Standard Abbreviation","Name_En","Name_Fr","Name_Es"
"01.9","111","SUX","Surrounding nets (nei)","Filet tournants (non spécifiées)","Redes de cerco (sin especificar)"
"10.9","112","MIS","Gear nei","Divers","Artes diversas"
"01.2","201","LA","Surrounding nets without purse lines","Filet tournants sans coulisse (filet lamparas)","Redes de cerco sin jareta (lámparos, etc.)"
"02.1","202","SB","Beach seines","Sennes de plage","Chinchorros de playa"
"02.2","203","SV","Boat seines","Sennes halées à bord","Redes de tiro desde embaraciones"
"02.9","204","SX","Seine nets (nei)","Sennes (non spécifiées)","Redes de tiro (sin especificar)"
"03.19","206","TB","Bottom trawls (nei)","Chaluts de fond (non spécifiés)","Redes de arrastre de fondo - redes de arrastre de fondo (sin especificar)"
"03.13","208","OTT","Twin bottom otter trawls","Chaluts jumeaux à panneaux","Redes de arrastre gemelas con puertas"
"03.14","209","OTP","Multiple bottom otter trawls","",""
"03.3","210","TSP","Semipelagic trawls","",""
"03.9","211","TX","Trawls (nei)","Autres chaluts (non spécifiés)","Otras redes de arrastre (sin especificar)"
"04.1","212","DRB","Towed dredges","Dragues remorquées par bateau","Rastras para embarcación"
"04.2","213","DRH","Hand dredges","Dragues à main","Rastras de mano"
"05.1","214","LNP","Portable lift nets","Filets soulevés portatif","Portátiles"
"05.2","215","LNB","Boat-operated lift nets","Filets soulevés manoeuvrés du bateau","Para embarcación"
"05.9","216","LN","Lift nets (nei)","Filets soulevés (non spécifiés)","Redes izadas (sin especificar)"
"06.1","217","FCN","Cast nets","Eperviers","Esparaveles"
"06.2","218","FCO","Cover pots/Lantern nets","Paniers coiffants filets lanternes","Cabreros"
"07.1","219","GNS","Set gillnets (anchored)","Filets maillants calés (ancrés)","Redes calada"
"07.2","220","GND","Drift gillnets","Filets maillants dérivants (filets dérivants)","Redes de deriva"
"07.3","221","GNC","Encircling gillnets","Filets maillants encerclants","Redes de batir de cerco"
"07.5","223","GTR","Trammel nets","Trémails","Redes de trasmallo"
"07.9","224","GEN","Gillnets and entangling nets (nei)","Filets maillants et filets emmélants (non spécifiés)","Redes de enmalle y de enredo"
