"Code","Identifier","Name_En","Name_Es","Name_Fr"
"AFA","260","Afghani","Afghani","Afghani"
"DZD","261","Algerian Dinar","Dinar argelino","Dinar algérien"
"ADP","262","Andorran Peseta","",""
"ARA","263","Argentine Austral","",""
"ARP","264","Argentine Peso","Peso argentino","Peso argentin"
"ARS","265","Argentine Peso","Peso argentino","Peso argentin"
"AMD","266","Armeniam Dram","Dram armeniano","Dram arménien"
"AWG","267","Aruban Florin","Florín arubeño","Florin d'Aruba"
"AUD","268","Australian Dollar","Dólar australiano","Dollar australien"
"AZM","269","Azerbaijanian Manat","Manat","Manat"
"BSD","270","Bahamian Dollar","Dólar de las Bahamas","Dollar des Bahamas"
"BHD","271","Bahraini Dinar","Dinar de Bahrein","Dinar de Bahreïn"
"THB","272","Baht","Baht","Baht"
"PAB","273","Balboa","Balboa","Balboa"
"BBD","274","Barbados Dollar","Dólar de Barbados","Dollar de Barbade"
"BYB","275","Belarussian Ruble","",""
"BYR","276","Belarusian Ruble","Rublo belaruso","Rouble bélorussien"
"BEF","277","Belgian Franc","Franco belga","Franc belge"
"BZD","278","Belize Dollar","Dólar de Belice","Dollar de Belize"
"BMD","279","Bermudian Dollar","Dólar de Bermudas","Dollar des Bermudes"
"VEB","280","Bolivar","Bolívar","Bolivar"
"BOP","281","Bolivian Peso","",""
"BOB","282","Boliviano","Boliviano","Boliviano"
"BRL","283","Brazilian Real","Real","Real"
"BND","284","Brunei Dollar","Dólar de Brunei","Dollar de Brunei"
"BGN","285","Bulgarian Lev","Lev","Lev"
"BIF","286","Burundi Franc","Franco burundí","Franc du Burundi"
"XAF","287","CFA Franc (BEAC)","Franco CFA (BEAC)","Franc CFA (BEAC)"
"XOF","288","CFA Franc (BCEAO)","Franco CFA (BCEAO)","Franc CFA (BCEAO)"
"XPF","289","CFP Franc","Franco CFP","Franc CFP"
"CAD","290","Canadian Dollar","Dólar canadiense","Dollar canadien"
"CVE","291","Cabo Verde Escudo","Escudo de Cabo Verde","Escudo du Cabo Verde"
"KYD","292","Cayman Islands Dollar","Dólar de las Islas Caimán","Dollar des Îles Caïmanes"
