"Identifier","SWS_Identifier","Scientific_Name","Taxonomic_Code"
"57000","7000","PHALLOSTETHIDAE","1565101"
"57001","7001","BEDOTIIDAE","1565021"
"57002","7002","MELANOTAENIIDAE","1565031"
"57003","7003","PSEUDOMUGILIDAE","1565041"
"57004","7004","NOTOCHEIRIDAE","1565061"
"57005","7005","TELMATHERINIDAE","1565051"
"57006","7006","DENTATHERINIDAE","1565091"
"57007","7007","CYPRINODONTIDAE","1570061"
"57008","7008","GOODEIDAE","1570081"
"57009","7009","ANABLEPIDAE","1570111"
"57010","7010","POECILIIDAE","1570101"
"57011","7011","APLOCHEILIDAE","1570011"
"57012","7012","FUNDULIDAE","1570051"
"57013","7013","VALENCIIDAE","1570131"
"57014","7014","PROFUNDULIDAE","1570071"
"57015","7015","ADRIANICHTHYIDAE","1568061"
"57016","7016","HEMIRAMPHIDAE","1568031"
"57017","7017","LEPISOSTEIDAE","1174010"
"57018","7018","HIODONTIDAE","1176011"
"57019","7019","PANTODONTIDAE","1178011"
"57020","7020","MORMYRIDAE","1178051"
"57021","7021","GYMNARCHIDAE","1178061"
"57022","7022","NOTACANTHIDAE","1195020"
"57023","7023","HETERENCHELYIDAE","1200131"
"57024","7024","MORINGUIDAE","1200041"
"57025","7025","NEMICHTHYIDAE","1200061"
"57026","7026","CHLOPSIDAE","1200011"
"57027","7027","MYROCONGRIDAE","1200141"
"57028","7028","SYNAPHOBRANCHIDAE","1200031"
"57029","7029","COLOCONGRIDAE","1200161"
"57030","7030","NETTASTOMATIDAE","1200201"
"57031","7031","SERRIVOMERIDAE","1200071"
"57032","7032","OPHICHTHIDAE","1200181"
"57033","7033","DERICHTHYIDAE","1200171"
"57034","7034","SACCOPHARYNGIDAE","1200121"
"57035","7035","EURYPHARYNGIDAE","1200111"
"57036","7036","MONOGNATHIDAE","1200091"
"57037","7037","CYEMATIDAE","1200081"
"57038","7038","DENTICIPITIDAE","1210011"
"57039","7039","EHIRAVIDAE","1210081"
"57040","7040","OPISTHOPROCTIDAE","1416021"
"57041","7041","PLATYTROCTIDAE","1215150"
"57042","7042","LEPIDOGALAXIIDAE","1412011"
"57043","7043","SYNBRANCHIDAE","1531041"
"57045","7045","CENTROPOMIDAE","1551021"
"57046","7046","SERRANIDAE","1700011"
"57047","7047","TERAPONTIDAE","1795061"
"57048","7048","MORONIDAE","1820031"
"57049","7049","PERCICHTHYIDAE","1795141"
"57050","7050","CENTRARCHIDAE","1795111"
"57051","7051","PRIACANTHIDAE","1820281"
"57052","7052","APOGONIDAE","1501021"
"57053","7053","ACROPOMATIDAE","1800031"
"57054","7054","PERCIDAE","1700061"
"57055","7055","SILLAGINIDAE","1820021"
"57056","7056","LATILIDAE","1820141"
"57057","7057","LACTARIIDAE","1551031"
"57058","7058","POMATOMIDAE","1525071"
"57059","7059","RACHYCENTRIDAE","1556301"
"57060","7060","CARANGIDAE","1556281"
"57061","7061","BRAMIDAE","1525131"
"57062","7062","CORYPHAENIDAE","1556311"
"57063","7063","ARRIPIDAE","1525091"
"57064","7064","EMMELICHTHYIDAE","1820111"
"57065","7065","LUTJANIDAE","1820121"
"57066","7066","NEMIPTERIDAE","1820221"
"57067","7067","POLYNEMIDAE","1552051"
"57068","7068","LEIOGNATHIDAE","1820171"
"57069","7069","GALAXIIDAE","1428011"
"57070","7070","SALANGIDAE","1435031"
"57071","7071","CHLOROPHTHALMIDAE","1455021"
"57072","7072","EUCLICHTHYIDAE","1480081"
"57073","7073","INDOSTOMIDAE","1531031"
"57074","7074","CARISTIIDAE","1525121"
"57075","7075","HAEMULIDAE","1820081"
"57076","7076","SCIAENIDAE","1820061"
"57077","7077","LETHRINIDAE","1820231"
"57078","7078","SPARIDAE","1820241"
"57080","7080","MULLIDAE","1510031"
"57081","7081","DICHISTIIDAE","1795071"
"57082","7082","KYPHOSIDAE","1795031"
"57083","7083","CHAETODONTIDAE","1820161"
"57084","7084","CICHLIDAE","1601021"
"57085","7085","LABRIDAE","1797021"
"57087","7087","CHEILODACTYLIDAE","1795201"
"57088","7088","LATRIDAE","1795211"
"57089","7089","DINOLESTIDAE","1800111"
"57090","7090","NOTOTHENIIDAE","1715141"
"57091","7091","BATHYDRACONIDAE","1715161"
"57092","7092","CHANNICHTHYIDAE","1715171"
"57093","7093","HARPAGIFERIDAE","1715151"
"57094","7094","GERREIDAE","1820011"
"57095","7095","PETROMYZONTIDAE","1020010"
"57096","7096","MYXINIDAE","1011031"
"57097","7097","HEXANCHIDAE","1031020"
"57098","7098","CETORHINIDAE","1060070"
"57099","7099","ODONTASPIDIDAE","1060030"
"57100","7100","ALOPIIDAE","1060060"
"57101","7101","LAMNIDAE","1060080"
"57102","7246","BRACHAELURIDAE","1051030"
"57103","7245","HEMISCYLLIIDAE","1051050"
"57104","57104","PENTANCHIDAE","1080028"
"57105","57105","CARCHARIIDAE","1060020"
"57106","7106","SPHYRNIDAE","1080100"
"57107","7107","TRIAKIDAE","1080060"
"57108","7108","PSEUDOTRIAKIDAE","1080031"
"57109","57109","DALATIIDAE","1090010"
"57110","7110","SQUATINIDAE","1093010"
"57111","7111","OXYNOTIDAE","1090040"
"57112","7112","ECHINORHINIDAE","1091010"
"57113","7113","RHINOBATIDAE","1103010"
"57114","7114","PRISTIDAE","1103040"
"57115","7115","RAJIDAE","1105010"
"57116","7116","DASYATIDAE","1108030"
"57117","7117","MYLIOBATIDAE","1108100"
"57119","7119","GYMNURIDAE","1108060"
"57120","7120","TORPEDINIDAE","1101050"
