"Faostat_ID","Identifier","Name_En","Name_Es","Name_Fr","Unit"
"1501","1601","Freshwater and Diadromous Fish","Peces de agua dulce y diádromos","Poissons d'eau douce et diadromes","t"
"1514","1614","Demersal Marine Fish","Peces demersales","Poissons démersaux","t"
"1527","1627","Pelagic Marine Fish","Peces pelágicos","Poissons pélagiques","t"
"1540","1640","Marine Fish NEI","Peces marinos NEP","Poissons marins NCA","t"
"1553","1653","Crustaceans","Crustáceos","Crustacés","t"
"1562","1662","Molluscs excl. Cephalopods","Moluscos exc. Cephalópodos","Mollusques excluant céphalopodes","t"
"1570","1670","Cephalopods","Cephalópodos","Céphalopodes","t"
"1579","1679","Aquatic Mammals","Mamíferos acuáticos","Mammifères aquatiques",""
"1587","1687","Aquatic Animals NEI","Animales acuáticos diversos","Animaux aquatiques divers","t"
"1594","1694","Aquatic Plants","Plantas acuáticas","Plantes aquatiques","t"
