"Taxonomic_Code","Identifier","Name_En","Name_Fr","Name_Es","Name_Ar","Name_Cn","Name_Ru","Scientific_Name","Author","Major_Group","Yearbook_Group","ISSCAAP_Group","CPC_Class","CPC_Group"
"10201XXXXX","2000","Lampreys nei","Lamproies nca","Lampreas nep","","","Миноговые","Petromyzontidae","","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous diadromous fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1020100201","2002","River lamprey","Lamproie de rivière","Lamprea de río","","","Минога речная","Lampetra fluviatilis","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Miscellaneous diadromous fishes","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1050200201","2003","Bluntnose sixgill shark","Requin griset","Cañabota gris","","","","Hexanchus griseus","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1050200502","2004","Broadnose sevengill shark","Platnez","Cañabota gata","","","","Notorynchus cepedianus","(Péron 1807)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1060100301","2005","Basking shark","Pèlerin","Peregrino","","","Акула гигантская","Cetorhinus maximus","(Gunnerus 1765)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1060200501","2006","Sand tiger shark","Requin taureau","Toro bacota","قِرش ثَور","锥齿鲨","","Carcharias taurus","Rafinesque 1810","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"10606006XX","2007","Thresher sharks nei","Renards de mer nca","Zorros nep","","","","Alopias spp","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1060600601","2008","Thresher","Renard","Zorro","القرش الثّعلب","狐形长尾鲨","Лисица морская обыкновенная","Alopias vulpinus","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1060600602","2009","Pelagic thresher","Renard pélagique","Zorro pelágico","","","","Alopias pelagicus","Nakamura 1935","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"10608002XX","2010","Mako sharks","Taupes","Marrajos","السّنفقيات القرشيات","鲭鲨属未定种","","Isurus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1060800201","2011","Shortfin mako","Taupe bleue","Marrajo dientuso","","","Акула-мако","Isurus oxyrinchus","Rafinesque 1810","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1060800303","2012","Salmon shark","Requin-taupe saumon","Marrajo salmón","","","","Lamna ditropis","Hubbs & Follett 1947","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1070300901","2013","Nurse shark","Requin-nourrice","Gata nodriza","","","","Ginglymostoma cirratum","(Bonnaterre 1788)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"108XXXXXXX","2014","Ground sharks","","","","","","Carcharhiniformes","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"10801001XX","2015","Crest-tail catsharks nei","Chiens galeus nca","Pintarrojas nep","","","","Galeus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1080100301","2016","Small-spotted catshark","Petite roussette","Pintarroja","غرَّاء مُبَقَّعة صغيرة","小点猫鲨","","Scyliorhinus canicula","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"10801014XX","2017","Deep-water catsharks","Holbiches","Pejegatos","أقراش المِياه العميقة","光尾鲨未定种","","Apristurus spp","","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1080200401","2018","Blue shark","Peau bleue","Tiburón azul","","","Акула синяя","Prionace glauca","(Linnaeus 1758)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
"1080201005","2019","Blacktip reef shark","Requin pointes noires","Tiburón de puntas negras","","","","Carcharhinus melanopterus","(Quoy & Gaimard 1824)","PISCES","Fish, crustaceans and molluscs, etc.","Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
