"ISSCAAP_Code","Identifier","Name_En","Name_Es","Name_Fr","Unit"
"11","1401","Carps, barbels and other cyprinids","Carpas, barbos y otros ciprínidos","Carpes, barbeaux et autres cyprinidés","t"
"12","1402","Tilapias and other cichlids","Tilapias y otros cíclidos","Tilapias et autres cichlidés","t"
"13","1403","Miscellaneous freshwater fishes","Peces de agua dulce diversos","Poissons d'eau douce divers","t"
"21","1404","Sturgeons, paddlefishes","Esturiones, sollos","Esturgeons, spatules","t"
"22","1405","River eels","Anguilas","Anguilles","t"
"23","1406","Salmons, trouts, smelts","Salmones, truchas, eperlanos","Saumons, truites, éperlans","t"
"24","1407","Shads","Sábalos","Aloses","t"
"25","1408","Miscellaneous diadromous fishes","Peces diádromos diversos","Poissons diadromes divers","t"
"31","1409","Flounders, halibuts, soles","Platijas, halibuts, lenguados","Flets, flétans, soles","t"
"32","1410","Cods, hakes, haddocks","Bacalaos, merluzas, eglefinos","Morues, merlus, églefins","t"
"33","1411","Miscellaneous coastal fishes","Peces costeros diversos","Poissons côtiers divers","t"
"34","1412","Miscellaneous demersal fishes","Peces demersales diversos","Poissons démersaux divers","t"
"35","1413","Herrings, sardines, anchovies","Arenques, sardinas, anchoas","Harengs, sardines, anchois","t"
"36","1414","Tunas, bonitos, billfishes","Atunes, bonitos, agujas","Thons, pélamides, marlins","t"
"37","1415","Miscellaneous pelagic fishes","Peces pelágicos diversos","Poissons pélagiques divers","t"
"38","1416","Sharks, rays, chimaeras","Tiburones, rayas, quimeras","Squales, raies, chimères","t"
"39","1417","Marine fishes not identified","Peces marinos no identificados","Poissons marins non identifiés","t"
"41","1418","Freshwater crustaceans","Crustáceos de agua dulce","Crustacés d'eau douce","t"
"42","1419","Crabs, sea-spiders","Cangrejos, centollas","Crabes, araignées de mer","t"
"43","1420","Lobsters, spiny-rock lobsters","Bogavantes, langostas","Homards, langoustes","t"
"44","1421","King crabs, squat-lobsters","Cangrejos reales, galateidos","Crabes royaux, galatées","t"
"45","1422","Shrimps, prawns","Gambas, camarones","Crevettes","t"
"46","1423","Krill, planktonic crustaceans","Krill, crustáceos planctónicos","Krill, crustacés planctoniques","t"
"47","1424","Miscellaneous marine crustaceans","Crustáceos marinos diversos","Crustacés marins divers","t"
"51","1425","Freshwater molluscs","Moluscos de agua dulce","Mollusques d'eau douce","t"
"52","1426","Abalones, winkles, conchs","Orejas de mar, bígaros, estrombos","Ormeaux, bigorneaux, strombes","t"
"53","1427","Oysters","Ostras","Huîtres","t"
"54","1428","Mussels","Mejillones","Moules","t"
"55","1429","Scallops, pectens","Vieiras","Coquilles St-Jacques","t"
"56","1430","Clams, cockles, arkshells","Almejas, berberechos, arcas","Clams, coques, arches","t"
"57","1431","Squids, cuttlefishes, octopuses","Calamares, jibias, pulpos","Encornets, seiches, poulpes","t"
"58","1432","Miscellaneous marine molluscs","Moluscos marinos diversos","Mollusques marins divers","t"
"61","1433","Blue-whales, fin-whales","Ballenas azules, rorcuales","Baleines bleues, rorquals communs","no"
"62","1434","Sperm-whales, pilot-whales","Cachalotes, calderones","Cachalots, globicéphales","no"
"63","1435","Eared seals, hair seals, walruses","Lobos marinos, focas, morsas","Otaries, phoques, morses","no"
"64","1436","Miscellaneous aquatic mammals","Mamíferos acuáticos diversos","Mammifères aquatiques divers","t"
"71","1437","Frogs and other amphibians","Ranas y otros anfibios","Grenouilles et autres amphibies","t"
"72","1438","Turtles","Tortugas","Tortues","t"
"73","1439","Crocodiles and alligators","Cocodrilos y aligátores","Crocodiles et alligators","no"
"74","1440","Sea-squirts and other tunicates","Ascidias y otros tunicados","Ascidiens et autres tuniciers","t"
"75","1441","Horseshoe crabs and other arachnoids","Límulos y otros arácnidos","Limules et autres arachnoïdés","t"
"76","1442","Sea-urchins and other echinoderms","Erizos de mar y otros equinodermos","Oursins et autres échinodermes","t"
"77","1443","Miscellaneous aquatic invertebrates","Invertebrados acuáticos diversos","Invertébrés aquatiques divers","t"
"81","1444","Pearls, mother-of-pearl, shells","Perlas, madreperlas, conchas","Perles, nacres, coquilles","t"
"82","1445","Corals","Corales","Coraux","t"
"83","1446","Sponges","Esponjas","Éponges","t"
"91","1447","Brown seaweeds","Algas pardas","Algues brunes","t"
"92","1448","Red seaweeds","Algas rojas","Algues rouges","t"
"93","1449","Green seaweeds","Algas verdes","Algues vertes","t"
"94","1450","Miscellaneous aquatic plants","Diversas plantas acuáticas","Plantes aquatiques diverses","t"
